page	record	locus	field_ordinal	event_count	surface_sequence	r2_atomic_literal_sequence_German	local_creative_translation_German
f83r	1	f83r.8	2	4	shecthedchy qoky chedy chary	OPAQUE HOST ECTHEDCHY=UNBEKANNT | KANDIDAT GANZKARTE OKY=NUTZE | OPAQUE HOST Y=UNBEKANNT + INNER-D=FORMAL-D | OPAQUE HOST ARY=UNBEKANNT	wende es an der markierten Stelle an ; Die aktive Portion verwenden ; rühre, bis alles gleichmäßig vermischt ist ; und lasse es abkühlen
f83r	1	f83r.11	1	2	sor shedy	KANDIDAT HOST OR=ANSATZ | KANDIDAT HOST E=BIS + DY=SCHLUSS	Die bereitete Arbeitsflüssigkeit ; lasse es bis zur Bereitschaft stehen und beende den Schritt
f83r	1	f83r.11	2	4	qokaiin chkain shcthey qokedy	KANDIDAT HOST OK=ITEM + RIGHT AIIN=R-AIIN | OPAQUE HOST K=UNBEKANNT + RIGHT AIN=R-AIN | OPAQUE HOST CTHEY=UNBEKANNT | KANDIDAT GANZKARTE OKE=SPÜLE + DY=SCHLUSS	beginne den nächsten abgemessenen Posten ; ein abgemessener Anteil ; unter derselben Einstellung ; spüle die bezeichnete Stelle einmal und beende den Schritt
f83r	1	f83r.11	3	2	okair sheedy	KANDIDAT HOST OK=ITEM + RIGHT AIR=R-AIR | OPAQUE HOST EE=UNBEKANNT + DY=SCHLUSS	öffne danach den oberen Lauf ; wasche einmal und beende den Schritt
f83r	1	f83r.11	4	1	lchedy	KANDIDAT GANZKARTE LCHE=ABLASS + DY=SCHLUSS	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f83r	1	f83r.11	5	1	lo	OPAQUE HOST LO=UNBEKANNT	schließe den unteren Ablauf
f83r	1	f83r.14	1	1	qokchedy	OPAQUE HOST OKCHE=UNBEKANNT + DY=SCHLUSS	lasse es abkühlen und beende den Schritt
f83r	1	f83r.14	2	1	qokeedy	OPAQUE HOST OKEE=UNBEKANNT + DY=SCHLUSS	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f83r	1	f83r.14	3	1	shedy	KANDIDAT HOST E=BIS + DY=SCHLUSS	lasse es bis zur Bereitschaft stehen und beende den Schritt
f83r	1	f83r.14	4	1	qokshedy	OPAQUE HOST OKSHE=UNBEKANNT + DY=SCHLUSS	koche sanft und beende diesen Arbeitsschritt
f83r	1	f83r.14	5	2	dal lchedy	KANDIDAT HOST AL=ZU | KANDIDAT GANZKARTE LCHE=ABLASS + DY=SCHLUSS	An die bezeichnete Zielstelle führen ; lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f83r	1	f83r.14	6	4	qokaiin shcthy dal sy	KANDIDAT HOST OK=ITEM + RIGHT AIIN=R-AIIN | KANDIDAT GANZKARTE CTHY=BEREIT | KANDIDAT HOST AL=ZU | OPAQUE HOST Y=UNBEKANNT	beginne den nächsten abgemessenen Posten ; Sobald die Zubereitung gebrauchsfertig ist ; An die bezeichnete Zielstelle führen ; Diese aktive Portion
f83r	1	f83r.15	1	7	saiin shedal shecthy chey tal shcthy dalchdy	KANDIDAT GANZKARTE AIIN=MASS | OPAQUE HOST ED=UNBEKANNT + RIGHT AL=R-AL | OPAQUE HOST ECTHY=UNBEKANNT | OPAQUE HOST Y=UNBEKANNT | KANDIDAT HOST AL=ZU | KANDIDAT GANZKARTE CTHY=BEREIT | OPAQUE HOST ALCH=UNBEKANNT + DY=SCHLUSS	Ein vorgeschriebenes Maß ; für einen Zeitabschnitt ; warmes Wasser ; Diese aktive Portion ; An die bezeichnete Zielstelle führen ; Sobald die Zubereitung gebrauchsfertig ist ; behalte den Rückstand und beende den Schritt
f83r	1	f83r.15	2	1	qotchedy	OPAQUE HOST CHE=UNBEKANNT + FRAME OT=FORMAL-OT + DY=SCHLUSS	mische zu gleichen Teilen und beende den Schritt
f83r	1	f83r.15	3	1	lchedy	KANDIDAT GANZKARTE LCHE=ABLASS + DY=SCHLUSS	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f83r	1	f83r.16	1	1	tchedy	OPAQUE HOST CHE=UNBEKANNT + DY=SCHLUSS	spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt
f83r	1	f83r.16	2	1	qokchdy	OPAQUE HOST OKCH=UNBEKANNT + DY=SCHLUSS	erwärme es einmal und beende den Schritt
f83r	1	f83r.16	3	6	cheedar chldaiin chedy qokain checthy chealror	OPAQUE HOST ED=UNBEKANNT + RIGHT AR=R-AR | OPAQUE HOST LD=UNBEKANNT + RIGHT AIIN=R-AIIN | OPAQUE HOST Y=UNBEKANNT + INNER-D=FORMAL-D | KANDIDAT HOST OK=ITEM + RIGHT AIN=R-AIN | KANDIDAT GANZKARTE CTHY=BEREIT | OPAQUE HOST ALROR=UNBEKANNT	setze die Person an das Becken ; nach dem Absetzen ; rühre, bis alles gleichmäßig vermischt ist ; gib einen abgemessenen Anteil in das Gefäß ; Sobald die Zubereitung gebrauchsfertig ist ; bis der Strom klar wird
f83r	1	f83r.20	1	1	solkeedy	OPAQUE HOST OLKEE=UNBEKANNT + DY=SCHLUSS	lasse die Flüssigkeit sich setzen und beende den Schritt
f83r	1	f83r.20	2	1	qoteedy	OPAQUE HOST EE=UNBEKANNT + FRAME OT=FORMAL-OT + DY=SCHLUSS	binde es auf die Stelle und beende den Schritt
f83r	1	f83r.20	3	2	qokeey qokedy	KANDIDAT GANZKARTE OKEEY=LAUWARM | KANDIDAT GANZKARTE OKE=SPÜLE + DY=SCHLUSS	temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; spüle die bezeichnete Stelle einmal und beende den Schritt
f83r	1	f83r.20	4	3	sol cheeety qokedy	OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O | OPAQUE HOST EETY=UNBEKANNT | KANDIDAT GANZKARTE OKE=SPÜLE + DY=SCHLUSS	Mit der vorigen Zubereitung weiter ; nach der ersten Spülung ; spüle die bezeichnete Stelle einmal und beende den Schritt
f83r	1	f83r.20	5	2	qoky saiin	KANDIDAT GANZKARTE OKY=NUTZE | KANDIDAT GANZKARTE AIIN=MASS	Die aktive Portion verwenden ; Ein vorgeschriebenes Maß
f83r	1	f83r.22	1	2	schedair otchedy	OPAQUE HOST CHED=UNBEKANNT + RIGHT AIR=R-AIR | OPAQUE HOST CHE=UNBEKANNT + FRAME OT=FORMAL-OT + DY=SCHLUSS	ziehe die klare Flüssigkeit ab ; mische zu gleichen Teilen und beende den Schritt
f83r	1	f83r.22	2	1	qokeedy	OPAQUE HOST OKEE=UNBEKANNT + DY=SCHLUSS	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f83r	1	f83r.22	3	5	chedain chedy qotedaiin otaiin otedy	OPAQUE HOST D=UNBEKANNT + RIGHT AIN=R-AIN | OPAQUE HOST Y=UNBEKANNT + INNER-D=FORMAL-D | OPAQUE HOST ED=UNBEKANNT + FRAME OT=FORMAL-OT + RIGHT AIIN=R-AIIN | OPAQUE HOST OT=UNBEKANNT + RIGHT AIIN=R-AIIN | KANDIDAT HOST E=BIS + FRAME OT=FORMAL-OT + DY=SCHLUSS	beginne die Spülung ; rühre, bis alles gleichmäßig vermischt ist ; das breite Gefäß ; für dieselbe Dauer wie zuvor ; lasse es bis zur Klarheit ziehen und beende den Schritt
f83r	1	f83r.22	4	1	ldy	OPAQUE HOST L=UNBEKANNT + DY=SCHLUSS	ziehe es ab und beende den Schritt
f83r	1	f83r.24	1	6	soiiin checthy chety otaiin olsaly shedy	OPAQUE HOST OIIIN=UNBEKANNT | KANDIDAT GANZKARTE CTHY=BEREIT | OPAQUE HOST TY=UNBEKANNT | OPAQUE HOST OT=UNBEKANNT + RIGHT AIIN=R-AIIN | OPAQUE HOST OLSALY=UNBEKANNT | KANDIDAT HOST E=BIS + DY=SCHLUSS	bis es klar ist ; Sobald die Zubereitung gebrauchsfertig ist ; Gleichmäßig bearbeiten ; für dieselbe Dauer wie zuvor ; das untere Becken ; lasse es bis zur Bereitschaft stehen und beende den Schritt
f83r	2	f83r.25	1	1	qokeedy	OPAQUE HOST OKEE=UNBEKANNT + DY=SCHLUSS	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f83r	2	f83r.25	2	3	qolchey qokeey qokedy	OPAQUE HOST OLCHEY=UNBEKANNT | KANDIDAT GANZKARTE OKEEY=LAUWARM | KANDIDAT GANZKARTE OKE=SPÜLE + DY=SCHLUSS	fülle danach das Gefäß ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; spüle die bezeichnete Stelle einmal und beende den Schritt
f83r	2	f83r.25	3	2	chedy otal	OPAQUE HOST Y=UNBEKANNT + INNER-D=FORMAL-D | OPAQUE HOST OT=UNBEKANNT + RIGHT AL=R-AL	rühre, bis alles gleichmäßig vermischt ist ; zum unteren Ablauf hin
f83r	2	f83r.26	1	5	otchey qokeey qoky tol shedy	KANDIDAT HOST CHEY=ANTEIL + FRAME OT=FORMAL-OT | KANDIDAT GANZKARTE OKEEY=LAUWARM | KANDIDAT GANZKARTE OKY=NUTZE | OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O | KANDIDAT HOST E=BIS + DY=SCHLUSS	Nimm den bezeichneten Anteil ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; Die aktive Portion verwenden ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt
f83r	2	f83r.26	2	1	qokylddy	OPAQUE HOST OKYLD=UNBEKANNT + DY=SCHLUSS	binde es auf die Stelle und beende den Schritt
f83r	2	f83r.27	1	3	dain chedy qokeedy	OPAQUE HOST AIN=UNBEKANNT | OPAQUE HOST Y=UNBEKANNT + INNER-D=FORMAL-D | OPAQUE HOST OKEE=UNBEKANNT + DY=SCHLUSS	durch ein Tuch ; rühre, bis alles gleichmäßig vermischt ist ; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f83r	2	f83r.27	2	1	shckhedy	OPAQUE HOST CKHE=UNBEKANNT + DY=SCHLUSS	seihe es einmal durch ein Tuch und beende den Schritt
f83r	2	f83r.27	3	1	shckhedy	OPAQUE HOST CKHE=UNBEKANNT + DY=SCHLUSS	seihe es einmal durch ein Tuch und beende den Schritt
f83r	2	f83r.28	1	4	saiin cheeky sheey qokedy	KANDIDAT GANZKARTE AIIN=MASS | OPAQUE HOST EKY=UNBEKANNT | OPAQUE HOST EEY=UNBEKANNT | KANDIDAT GANZKARTE OKE=SPÜLE + DY=SCHLUSS	Ein vorgeschriebenes Maß ; solange es noch warm ist ; die erste Öffnung ; spüle die bezeichnete Stelle einmal und beende den Schritt
f83r	2	f83r.28	2	1	shedy	KANDIDAT HOST E=BIS + DY=SCHLUSS	lasse es bis zur Bereitschaft stehen und beende den Schritt
f83r	2	f83r.28	3	1	oldy	OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O + DY=SCHLUSS	koche sanft und beende diesen Arbeitsschritt
f83r	2	f83r.35	1	5	saiin cheky okeeol okain chdy	KANDIDAT GANZKARTE AIIN=MASS | OPAQUE HOST KY=UNBEKANNT | OPAQUE HOST OKEEOL=UNBEKANNT | KANDIDAT HOST OK=ITEM + RIGHT AIN=R-AIN | OPAQUE HOST Y=UNBEKANNT + INNER-D=FORMAL-D	Ein vorgeschriebenes Maß ; bei sanfter Wärme ; das breite Gefäß ; gib einen abgemessenen Anteil in das Gefäß ; rühre, bis alles gleichmäßig vermischt ist
f83r	2	f83r.37	1	2	sol lkedy	OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O | OPAQUE HOST LKE=UNBEKANNT + DY=SCHLUSS	Mit der vorigen Zubereitung weiter ; wasche zweimal und beende den Schritt
f83r	2	f83r.37	2	1	lchedy	KANDIDAT GANZKARTE LCHE=ABLASS + DY=SCHLUSS	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f83r	2	f83r.37	3	2	qokol shedy	OPAQUE HOST OKOL=UNBEKANNT | KANDIDAT HOST E=BIS + DY=SCHLUSS	lasse die Mischung einlaufen ; lasse es bis zur Bereitschaft stehen und beende den Schritt
f83r	2	f83r.38	1	4	or chey qockhey dairydy	KANDIDAT HOST OR=ANSATZ | OPAQUE HOST Y=UNBEKANNT | OPAQUE HOST OCKHEY=UNBEKANNT | OPAQUE HOST AIRY=UNBEKANNT + DY=SCHLUSS	Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; über der örtlich bezeichneten Stelle ; gebrauche sie sofort und beende den Schritt
f83r	2	f83r.39	1	4	qokain shey kain chckhal	KANDIDAT HOST OK=ITEM + RIGHT AIN=R-AIN | KANDIDAT GANZKARTE EY=FERTIG | OPAQUE HOST K=UNBEKANNT + RIGHT AIN=R-AIN | OPAQUE HOST CKH=UNBEKANNT + RIGHT AL=R-AL	gib einen abgemessenen Anteil in das Gefäß ; Bis die Flüssigkeit klar abläuft ; ein abgemessener Anteil ; für die angegebene Dauer
f83r	2	f83r.41	1	2	solkey lchedy	OPAQUE HOST OLKEY=UNBEKANNT | KANDIDAT GANZKARTE LCHE=ABLASS + DY=SCHLUSS	öffne danach den oberen Lauf ; lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f83r	2	f83r.41	2	2	qolkain dal	OPAQUE HOST OLK=UNBEKANNT + RIGHT AIN=R-AIN | KANDIDAT HOST AL=ZU	das untere Becken ; An die bezeichnete Zielstelle führen
f83r	2	f83r.44	1	2	skar shedy	OPAQUE HOST K=UNBEKANNT + RIGHT AR=R-AR | KANDIDAT HOST E=BIS + DY=SCHLUSS	gieße das erwärmte Wasser ein ; lasse es bis zur Bereitschaft stehen und beende den Schritt
f83r	3	f83r.47	1	1	otchdy	OPAQUE HOST CH=UNBEKANNT + FRAME OT=FORMAL-OT + DY=SCHLUSS	ziehe es ab und beende den Schritt
f83r	3	f83r.47	2	1	qokchdy	OPAQUE HOST OKCH=UNBEKANNT + DY=SCHLUSS	erwärme es einmal und beende den Schritt
f83r	3	f83r.47	3	1	shedal	OPAQUE HOST ED=UNBEKANNT + RIGHT AL=R-AL	für einen Zeitabschnitt
f83r	3	f83r.48	1	5	dal cheol lol chdal aiin	KANDIDAT HOST AL=ZU | OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O | OPAQUE HOST LOL=UNBEKANNT | OPAQUE HOST D=UNBEKANNT + RIGHT AL=R-AL | KANDIDAT GANZKARTE AIIN=MASS	An die bezeichnete Zielstelle führen ; Mit der vorigen Zubereitung weiter ; bis es warm ist ; mit der vorigen Mischung ; Ein vorgeschriebenes Maß
f83r	3	f83r.49	1	3	sol daiiin chedy	OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O | OPAQUE HOST AIIIN=UNBEKANNT | OPAQUE HOST Y=UNBEKANNT + INNER-D=FORMAL-D	Mit der vorigen Zubereitung weiter ; die zweite Öffnung ; rühre, bis alles gleichmäßig vermischt ist
f83r	4	f83r.52	1	4	solkeey qekey raly ol	OPAQUE HOST OLKEEY=UNBEKANNT | OPAQUE HOST EKEY=UNBEKANNT | OPAQUE HOST RALY=UNBEKANNT | OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O	setze die Person an das Becken ; ohne Kochen ; die erste Öffnung ; Mit der vorigen Zubereitung weiter
f83r	4	f83r.54	1	5	daiin ol dain chey ldalor	KANDIDAT GANZKARTE AIIN=MASS | OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O | OPAQUE HOST AIN=UNBEKANNT | OPAQUE HOST Y=UNBEKANNT | OPAQUE HOST LDALOR=UNBEKANNT	Ein vorgeschriebenes Maß ; Mit der vorigen Zubereitung weiter ; durch ein Tuch ; Diese aktive Portion ; an der bezeichneten Stelle
