surface	events	running_events	pages	transfer_class	source_surface	edit_distance	component_recipe	portable_default_de	confidence
doly	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
doteey	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	oteey	1	OT+EE+Y	DANACH · LÄNGER · POSTEN	MEDIUM_HIGH
dshdy	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	dshedy	1	SH+E+DY	HALTEN · KURZ · SCHLUSS	MEDIUM_HIGH
dshedy	2	2	f76r	EXACT_REGISTERED_SURFACE	dshedy	0	SH+E+DY	HALTEN · KURZ · SCHLUSS	HIGH
dshody	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	dshedy	1	SH+E+DY	HALTEN · KURZ · SCHLUSS	MEDIUM_HIGH
dy	11	9	f18r|f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	dy	0	Y	POSTEN	HIGH
edy	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	dy	1	Y	POSTEN	MEDIUM_HIGH
eedy	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	eeedy	1	EEE+DY	VOLL · SCHLUSS	MEDIUM_HIGH
eeer	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	eeedy	2	EEE+DY	VOLL · SCHLUSS	WORKING
eeesaly	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
eky	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	ey	1	E+Y	KURZ · POSTEN	MEDIUM_HIGH
eol	2	2	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	ol	1	OL	FORTSETZEN	MEDIUM_HIGH
eteeey	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	teeey	1	T+EEE+Y	STELLEN · VOLL · POSTEN	MEDIUM_HIGH
ey	1	1	f18r	EXACT_REGISTERED_SURFACE	ey	0	E+Y	KURZ · POSTEN	HIGH
fydy	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
g	1	1	f18r	ONE_EDIT_REGISTERED_ALLOGRAPH	y	1	Y	POSTEN	MEDIUM_HIGH
k	1	0	f76r	LOCAL_SECTION_MARKER	k	0	SECTION_MARKER	ABSCHNITT	OWNER_BOUND
kain	1	1	f76r	EXACT_REGISTERED_SURFACE	kain	0	K+AIN	GEBEN · PORTION	HIGH
kal	2	2	f76r	EXACT_REGISTERED_SURFACE	kal	0	K+AL	GEBEN · ZIEL	HIGH
kar	1	1	f76r	EXACT_REGISTERED_SURFACE	kar	0	K+AR	GEBEN · QUELLE	HIGH
kchaiin	1	1	f18r	EXACT_REGISTERED_SURFACE	kchaiin	0	K+CH+AIIN	GEBEN · NEHMEN · MASS	HIGH
kchor	1	1	f18r	EXACT_REGISTERED_SURFACE	kchor	0	K+CH+OR	GEBEN · NEHMEN · ANSATZ	HIGH
keedy	1	1	f76r	EXACT_REGISTERED_SURFACE	keedy	0	K+EE+DY	GEBEN · LÄNGER · SCHLUSS	HIGH
keeo	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	keeod	1	K+EE+O+D_ADDR	GEBEN · LÄNGER · AUSFÜHREN · TEIL	MEDIUM_HIGH
keeokechy	1	1	f89r	VISIBLE_NEW_COMPOSITION	chokchy	4	K+EE+O+K+E+CH+Y	GEBEN · LÄNGER · AUSFÜHREN · GEBEN · KURZ · NEHMEN · POSTEN	WORKING_COMPOSITION
keey	4	4	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	keey	0	K+EE+Y	GEBEN · LÄNGER · POSTEN	HIGH
keodal	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	teodal	1	T+E+O+D_ADDR+AL	STELLEN · KURZ · AUSFÜHREN · TEIL · ZIEL	MEDIUM_HIGH
keodar	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	qodar	2	O+D_ADDR+AR	AUSFÜHREN · TEIL · QUELLE	WORKING
keol	1	1	f89r	EXACT_REGISTERED_SURFACE	keol	0	K+E+OL	GEBEN · KURZ · FORTSETZEN	HIGH
koey	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	keey	1	K+EE+Y	GEBEN · LÄNGER · POSTEN	MEDIUM_HIGH
kol	1	1	f72r	EXACT_REGISTERED_SURFACE	kol	0	K+OL	GEBEN · FORTSETZEN	HIGH
kolches	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	olchey	2	OL+Y	FORTSETZEN · POSTEN	WORKING
koldam	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	koldy	2	K+OL+DY	GEBEN · FORTSETZEN · SCHLUSS	WORKING
kolpy	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	koldy	1	K+OL+DY	GEBEN · FORTSETZEN · SCHLUSS	MEDIUM_HIGH
koly	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	oly	1	OL+Y	FORTSETZEN · POSTEN	MEDIUM_HIGH
korainy	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ky	2	2	f76r|f89r	EXACT_REGISTERED_SURFACE	ky	0	K+Y	GEBEN · POSTEN	HIGH
l	7	6	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	l	0	L	LEITEN	HIGH
laiin	1	1	f76r	EXACT_REGISTERED_SURFACE	laiin	0	L+AIIN	LEITEN · MASS	HIGH
lchar	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	char	1	AR	QUELLE	MEDIUM_HIGH
lchedy	8	8	f76r	EXACT_REGISTERED_SURFACE	lchedy	0	L+CHD+DY	LEITEN · UMSETZEN · SCHLUSS	HIGH
lcheey	1	1	f76r	EXACT_REGISTERED_SURFACE	lcheey	0	L+EE+Y	LEITEN · LÄNGER · POSTEN	HIGH
lchey	2	2	f76r	EXACT_REGISTERED_SURFACE	lchey	0	L+Y	LEITEN · POSTEN	HIGH
lchy	1	1	f76r	EXACT_REGISTERED_SURFACE	lchy	0	L+CH+Y	LEITEN · NEHMEN · POSTEN	HIGH
ldaiin	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	daiin	1	AIIN	MASS	MEDIUM_HIGH
ldain	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	dain	1	AIN	PORTION	MEDIUM_HIGH
lkaiin	1	1	f76r	EXACT_REGISTERED_SURFACE	lkaiin	0	L+K+AIIN	LEITEN · GEBEN · MASS	HIGH
lkain	2	2	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	kain	1	K+AIN	GEBEN · PORTION	MEDIUM_HIGH
lkar	2	2	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	kar	1	K+AR	GEBEN · QUELLE	MEDIUM_HIGH
lkedy	2	2	f76r	EXACT_REGISTERED_SURFACE	lkedy	0	L+K+E+DY	LEITEN · GEBEN · KURZ · SCHLUSS	HIGH
lkeedy	2	2	f76r	EXACT_REGISTERED_SURFACE	lkeedy	0	L+K+EE+D_ADDR+Y	LEITEN · GEBEN · LÄNGER · TEIL · POSTEN	HIGH
lkeopol	1	1	f89r	VISIBLE_NEW_COMPOSITION	cheorol	3	L+K+E+O+P+OL	LEITEN · GEBEN · KURZ · AUSFÜHREN · EINSETZEN · FORTSETZEN	WORKING_COMPOSITION
lkey	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	lkedy	1	L+K+E+DY	LEITEN · GEBEN · KURZ · SCHLUSS	MEDIUM_HIGH
lklchey	1	1	f76r	TWO_EDIT_ROOTED_VARIANT	lchey	2	L+Y	LEITEN · POSTEN	WORKING
llaiir	1	1	f76r	TWO_EDIT_ROOTED_VARIANT	laiin	2	L+AIIN	LEITEN · MASS	WORKING
loiiin	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	oiiin	1	O+IIN	AUSFÜHREN · STUFE	MEDIUM_HIGH
lol	2	2	f76r	EXACT_REGISTERED_SURFACE	lol	0	L+OL	LEITEN · FORTSETZEN	HIGH
lor	1	1	f76r	EXACT_REGISTERED_SURFACE	lor	0	L+OR	LEITEN · ANSATZ	HIGH
loral	1	1	f76r	TWO_EDIT_ROOTED_VARIANT	oraly	2	OR+AL+Y	ANSATZ · ZIEL · POSTEN	WORKING
lsh	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	lsho	1	LSH+O	SPÜLEN · AUSFÜHREN	MEDIUM_HIGH
lshcthy	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	shcthy	1	SH+CTH+Y	HALTEN · BEREIT · POSTEN	MEDIUM_HIGH
lshed	1	1	f76r	EXACT_REGISTERED_SURFACE	lshed	0	L+SHED	LEITEN · ABSETZEN	HIGH
lshedy	1	1	f76r	EXACT_REGISTERED_SURFACE	lshedy	0	LSH+E+DY	SPÜLEN · KURZ · SCHLUSS	HIGH
lsheedy	1	1	f76r	EXACT_REGISTERED_SURFACE	lsheedy	0	LSH+EE+D_ADDR+Y	SPÜLEN · LÄNGER · TEIL · POSTEN	HIGH
lshey	1	1	f76r	EXACT_REGISTERED_SURFACE	lshey	0	L+SH+E+Y	LEITEN · HALTEN · KURZ · POSTEN	HIGH
o	12	10	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	o	0	O	AUSFÜHREN	HIGH
oaiin	1	0	f72r	LOCAL_OWNER_ADDRESS	oaiin	0	LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ocheol	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	cheol	1	CHEO+L	AUSZUG · LEITEN	MEDIUM_HIGH
ochey	1	0	f72r	LOCAL_OWNER_ADDRESS	ochey	0	LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ochol	1	0	f72r	LOCAL_OWNER_ADDRESS	ochol	0	LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ockhey	1	1	f89r	EXACT_REGISTERED_SURFACE	ockhey	0	O+CKH+E+Y	AUSFÜHREN · DURCHLASS · KURZ · POSTEN	HIGH
ockhy	1	1	f89r	EXACT_REGISTERED_SURFACE	ockhy	0	O+CKH+Y	AUSFÜHREN · DURCHLASS · POSTEN	HIGH
octheolarl	1	1	f72r	VISIBLE_NEW_COMPOSITION	octheol	3	O+CTH+E+OL+AR+L	AUSFÜHREN · BEREIT · KURZ · FORTSETZEN · QUELLE · LEITEN	WORKING_COMPOSITION
octho	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
octhor	1	1	f18r	ONE_EDIT_REGISTERED_ALLOGRAPH	cthor	1	CTH+OR	BEREIT · ANSATZ	MEDIUM_HIGH
odory	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
oeckhy	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	ockhy	1	O+CKH+Y	AUSFÜHREN · DURCHLASS · POSTEN	MEDIUM_HIGH
oeeesaiin	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
oeeodaiin	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
oeeor	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	oteor	1	OT+E+OR	DANACH · KURZ · ANSATZ	MEDIUM_HIGH
oes	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	os	1	OS	DAZU	MEDIUM_HIGH
of	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ofakal	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ofaralar	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ofchdamy	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ofsholdy	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
oiiin	3	3	f72r|f89r	EXACT_REGISTERED_SURFACE	oiiin	0	O+IIN	AUSFÜHREN · STUFE	HIGH
oiin	1	1	f72r	EXACT_REGISTERED_SURFACE	oiin	0	O+IIN	AUSFÜHREN · STUFE	HIGH
oin	1	1	f76r	EXACT_REGISTERED_SURFACE	oin	0	O+IIN	AUSFÜHREN · STUFE	HIGH
okaiin	8	6	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	okaiin	0	OK+AIIN	SETZEN · MASS	HIGH
okaiir	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	okaiin	1	OK+AIIN	SETZEN · MASS	MEDIUM_HIGH
okain	8	7	f18r|f76r|f89r	EXACT_REGISTERED_SURFACE	okain	0	OK+AIN	SETZEN · PORTION	HIGH
okaipchy	1	1	f72r	VISIBLE_NEW_COMPOSITION	okaikaly	3	OK+A_ADDR+LOCAL_CHAR_I+P+CH+Y	SETZEN · ORT · UNTERSTUFE · EINSETZEN · NEHMEN · POSTEN	WORKING_COMPOSITION
okaircham	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
okairy	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
okal	7	5	f18r|f72r|f76r	EXACT_REGISTERED_SURFACE	okal	0	OK+AL	SETZEN · ZIEL	HIGH
okalaiin	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	okaiin	2	OK+AIIN	SETZEN · MASS	WORKING
okalal	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	okalar	1	OK+AL+AR	SETZEN · ZIEL · QUELLE	MEDIUM_HIGH
okalam	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
okalar	2	0	f72r	LOCAL_OWNER_ADDRESS	okalar	0	LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
okalchal	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	okchal	2	OK+CH+AL	SETZEN · NEHMEN · ZIEL	WORKING
okaldy	1	0	f72r	LOCAL_OWNER_ADDRESS	okaldy	0	LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
okalshey	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	salshey	2	S+A_ADDR+LSH+E+Y	AUSWÄHLEN · ORT · SPÜLEN · KURZ · POSTEN	WORKING
okaly	3	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	okal	1	OK+AL	SETZEN · ZIEL	MEDIUM_HIGH
okam	1	0	f72r	LOCAL_OWNER_ADDRESS	okam	0	LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
okar	7	7	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	okar	0	OK+AR	SETZEN · QUELLE	HIGH
okaram	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
okarar	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	okalar	1	OK+AL+AR	SETZEN · ZIEL · QUELLE	MEDIUM_HIGH
okarcham	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
okchal	1	1	f18r	EXACT_REGISTERED_SURFACE	okchal	0	OK+CH+AL	SETZEN · NEHMEN · ZIEL	HIGH
okcheeg	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	okchey	2	OK+Y	SETZEN · POSTEN	WORKING
okchshy	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
okchy	1	1	f76r	EXACT_REGISTERED_SURFACE	okchy	0	OK+Y	SETZEN · POSTEN	HIGH
okeal	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
okealar	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
okedal	2	2	f72r|f76r	TWO_EDIT_ROOTED_VARIANT	okal	2	OK+AL	SETZEN · ZIEL	WORKING
okedalor	1	1	f76r	VISIBLE_NEW_COMPOSITION	chealor	3	OK+E+D_ADDR+AL+OR	SETZEN · KURZ · TEIL · ZIEL · ANSATZ	WORKING_COMPOSITION
okedor	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	okeeor	1	OK+EE+OR	SETZEN · LÄNGER · ANSATZ	MEDIUM_HIGH
okedy	4	4	f76r	EXACT_REGISTERED_SURFACE	okedy	0	OK+E+DY	SETZEN · KURZ · SCHLUSS	HIGH
okee	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	okeey	1	OK+EE+Y	SETZEN · LÄNGER · POSTEN	MEDIUM_HIGH
okeeas	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	okeey	2	OK+EE+Y	SETZEN · LÄNGER · POSTEN	WORKING
okeed	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	okeedy	1	OK+EE+DY	SETZEN · LÄNGER · SCHLUSS	MEDIUM_HIGH
okeedal	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	qokeedal	1	OK+EE+AL	SETZEN · LÄNGER · ZIEL	MEDIUM_HIGH
okeedy	5	5	f72r|f76r	EXACT_REGISTERED_SURFACE	okeedy	0	OK+EE+DY	SETZEN · LÄNGER · SCHLUSS	HIGH
okeeey	2	2	f72r|f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	okeey	1	OK+EE+Y	SETZEN · LÄNGER · POSTEN	MEDIUM_HIGH
okeeo	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	okeo	1	OK+E+O	SETZEN · KURZ · AUSFÜHREN	MEDIUM_HIGH
okeeody	1	1	f72r	EXACT_REGISTERED_SURFACE	okeeody	0	OK+EE+O+D_ADDR+Y	SETZEN · LÄNGER · AUSFÜHREN · TEIL · POSTEN	HIGH
okeeol	3	3	f72r|f89r	EXACT_REGISTERED_SURFACE	okeeol	0	OK+EE+OL	SETZEN · LÄNGER · FORTSETZEN	HIGH
okeeols	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	okeeol	1	OK+EE+OL	SETZEN · LÄNGER · FORTSETZEN	MEDIUM_HIGH
okees	3	3	f72r|f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	okeey	1	OK+EE+Y	SETZEN · LÄNGER · POSTEN	MEDIUM_HIGH
okeey	10	8	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	okeey	0	OK+EE+Y	SETZEN · LÄNGER · POSTEN	HIGH
okeo	3	3	f72r|f89r	EXACT_REGISTERED_SURFACE	okeo	0	OK+E+O	SETZEN · KURZ · AUSFÜHREN	HIGH
okeodaly	1	1	f72r	EXACT_REGISTERED_SURFACE	okeodaly	0	OK+E+O+D_ADDR+AL+Y	SETZEN · KURZ · AUSFÜHREN · TEIL · ZIEL · POSTEN	HIGH
okeody	2	2	f72r	EXACT_REGISTERED_SURFACE	okeody	0	OK+E+O+D_ADDR+Y	SETZEN · KURZ · AUSFÜHREN · TEIL · POSTEN	HIGH
okeol	4	4	f72r|f89r	EXACT_REGISTERED_SURFACE	okeol	0	OK+E+OL	SETZEN · KURZ · FORTSETZEN	HIGH
okeolaiin	1	1	f72r	VISIBLE_NEW_COMPOSITION	keeodaiin	3	OK+E+OL+AIIN	SETZEN · KURZ · FORTSETZEN · MASS	WORKING_COMPOSITION
okeolor	1	1	f76r	TWO_EDIT_ROOTED_VARIANT	okeol	2	OK+E+OL	SETZEN · KURZ · FORTSETZEN	WORKING
okeor	3	3	f18r|f72r|f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	okor	1	OK+OR	SETZEN · ANSATZ	MEDIUM_HIGH
okeos	2	2	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	okeo	1	OK+E+O	SETZEN · KURZ · AUSFÜHREN	MEDIUM_HIGH
okeoy	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	qokeoy	1	OK+E+O+Y	SETZEN · KURZ · AUSFÜHREN · POSTEN	MEDIUM_HIGH
okey	3	3	f76r|f89r	EXACT_REGISTERED_SURFACE	okey	0	OK+E+Y	SETZEN · KURZ · POSTEN	HIGH
oklairdy	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
okochey	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	okchey	1	OK+Y	SETZEN · POSTEN	MEDIUM_HIGH
okoiin	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	okaiin	1	OK+AIIN	SETZEN · MASS	MEDIUM_HIGH
okol	1	0	f89r	LOCAL_OWNER_ADDRESS	okol	0	LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
okor	2	2	f72r|f89r	EXACT_REGISTERED_SURFACE	okor	0	OK+OR	SETZEN · ANSATZ	HIGH
okshal	1	1	f18r	ONE_EDIT_REGISTERED_ALLOGRAPH	okchal	1	OK+CH+AL	SETZEN · NEHMEN · ZIEL	MEDIUM_HIGH
okshdchos	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
oky	4	4	f76r|f89r	EXACT_REGISTERED_SURFACE	oky	0	OK+Y	SETZEN · POSTEN	HIGH
okyd	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ol	17	17	f18r|f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	ol	0	OL	FORTSETZEN	HIGH
olaiin	6	5	f72r|f76r	EXACT_REGISTERED_SURFACE	olaiin	0	OL+AIIN	FORTSETZEN · MASS	HIGH
olain	3	3	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	olaiin	1	OL+AIIN	FORTSETZEN · MASS	MEDIUM_HIGH
olalsy	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
olay	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
olchdar	1	1	f76r	TWO_EDIT_ROOTED_VARIANT	lchedar	2	L+CHD+AR	LEITEN · UMSETZEN · QUELLE	WORKING
olchdy	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	olchedy	1	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	MEDIUM_HIGH
olchedy	2	2	f76r	EXACT_REGISTERED_SURFACE	olchedy	0	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	HIGH
olcheol	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	olcheody	2	OL+CHEO+DY	FORTSETZEN · AUSZUG · SCHLUSS	WORKING
olcheor	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	olcheody	2	OL+CHEO+DY	FORTSETZEN · AUSZUG · SCHLUSS	WORKING
olchy	1	1	f76r	EXACT_REGISTERED_SURFACE	olchy	0	OL+CH+Y	FORTSETZEN · NEHMEN · POSTEN	HIGH
oldaiin	2	2	f89r	EXACT_REGISTERED_SURFACE	oldaiin	0	OL+D_ADDR+AIIN	FORTSETZEN · TEIL · MASS	HIGH
oldain	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	oldaiin	1	OL+D_ADDR+AIIN	FORTSETZEN · TEIL · MASS	MEDIUM_HIGH
oldam	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
oldy	2	2	f76r|f89r	EXACT_REGISTERED_SURFACE	oldy	0	OL+DY	FORTSETZEN · SCHLUSS	HIGH
oleeed	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	oeeed	1	O+EEE+D_ADDR	AUSFÜHREN · VOLL · TEIL	MEDIUM_HIGH
oletal	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
olfsheoral	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
olkalaiin	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
olkedy	1	1	f76r	EXACT_REGISTERED_SURFACE	olkedy	0	SOLK+E+DY	AUFFANGEN · KURZ · SCHLUSS	HIGH
olkeey	1	1	f76r	EXACT_REGISTERED_SURFACE	olkeey	0	SOLK+EE+Y	AUFFANGEN · LÄNGER · POSTEN	HIGH
olkey	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	olkeey	1	SOLK+EE+Y	AUFFANGEN · LÄNGER · POSTEN	MEDIUM_HIGH
olky	1	1	f76r	EXACT_REGISTERED_SURFACE	olky	0	SOLK+Y	AUFFANGEN · POSTEN	HIGH
ollchy	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	olchy	1	OL+CH+Y	FORTSETZEN · NEHMEN · POSTEN	MEDIUM_HIGH
olody	1	1	f18r	ONE_EDIT_REGISTERED_ALLOGRAPH	oldy	1	OL+DY	FORTSETZEN · SCHLUSS	MEDIUM_HIGH
olol	1	1	f72r	EXACT_REGISTERED_SURFACE	olol	0	OL+OL	FORTSETZEN · FORTSETZEN	HIGH
olsheed	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	olsheedy	1	OL+SH+EE+DY	FORTSETZEN · HALTEN · LÄNGER · SCHLUSS	MEDIUM_HIGH
olsheol	1	1	f76r	TWO_EDIT_ROOTED_VARIANT	olkeol	2	OL+K+E+OL	FORTSETZEN · GEBEN · KURZ · FORTSETZEN	WORKING
oly	5	5	f72r|f76r	EXACT_REGISTERED_SURFACE	oly	0	OL+Y	FORTSETZEN · POSTEN	HIGH
om	2	2	f18r|f89r	EXACT_REGISTERED_SURFACE	om	0	O+AM_ADDR	AUSFÜHREN · INNEN	HIGH
opalal	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
opar	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	par	1	P+AR	EINSETZEN · QUELLE	MEDIUM_HIGH
opchdy	2	2	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	pchdy	1	P+CHD+Y	EINSETZEN · UMSETZEN · POSTEN	MEDIUM_HIGH
opchedy	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	pchedy	1	P+CHD+DY	EINSETZEN · UMSETZEN · SCHLUSS	MEDIUM_HIGH
