surface	component_recipe	portable_core_de	events	physical_pages	registers	layers	cross_layer	cross_register	event_ids
otchy	OT+CH+Y	DANACH · NEHMEN · DIES	2	f56r|f69v	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0393|P912-E2133
oteedy	OT+EE+DY	DANACH · LÄNGER · SCHLIESSEN	3	f70v|f75r	BATH_STATION|CELESTIAL_LOOKUP	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0799|P912-E2165|P912-E2319
oteey	OT+EE+Y	DANACH · LÄNGER · DIES	7	f69v|f70v|f82r	BATH_STATION|CELESTIAL_LOOKUP	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E1139|P912-E1329|P912-E2109|P912-E2110|P912-E2301|P912-E2315|P912-E2346
otey	OT+E+Y	DANACH · KURZ · DIES	3	f70v|f75r	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0525|P912-E0788|P912-E2232
otody	OT+O+DY	DANACH · AUSFÜHREN · SCHLIESSEN	3	f69v|f70v|f75r	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0677|P912-E2121|P912-E2281
otol	OT+OL	DANACH · FORTSETZEN	4	f10r|f11r|f68r1|f75r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0065|P912-E0140|P912-E0845|P912-E1987
otor	OT+OR	DANACH · SATZ	7	f10r|f68r1|f70v|f83r|f88r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0079|P912-E1562|P912-E1615|P912-E1945|P912-E1988|P912-E2149|P912-E2461
oty	OT+Y	DANACH · DIES	6	f56r|f69v|f70v|f75r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0339|P912-E0750|P912-E0834|P912-E2037|P912-E2275|P912-E2278
qoteor	OT+E+OR	DANACH · KURZ · SATZ	2	f69v|f82r	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E1178|P912-E2089
raiin	R+AIIN	MARKIEREN · SOLLWERT	4	f70v|f82r	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E1307|P912-E1311|P912-E1360|P912-E2148
s	S	AUSWÄHLEN	27	f11r|f13r|f55v|f56r|f67r2|f70v|f75r|f81v|f82r|f83r|f88r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0138|P912-E0146|P912-E0170|P912-E0172|P912-E0216|P912-E0306|P912-E0413|P912-E0746|P912-E0916|P912-E1236|P912-E1258|P912-E1493|P912-E1520|P912-E1651|P912-E1665|P912-E1750|P912-E1778|P912-E1893|P912-E1899|P912-E2151|P912-E2217|P912-E2263|P912-E2384|P912-E2438|P912-E2440|P912-E2469|P912-E2485
saiin	S+AIIN	AUSWÄHLEN · SOLLWERT	9	f67r2|f70v|f75r|f81v|f83r|f88r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0571|P912-E0881|P912-E1537|P912-E1588|P912-E1640|P912-E1674|P912-E1821|P912-E2204|P912-E2401
sal	S+AL	AUSWÄHLEN · ZIEL	7	f67r2|f70v|f75r|f81v|f82r	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0517|P912-E0848|P912-E1079|P912-E1306|P912-E1874|P912-E2187|P912-E2241
sar	S+AR	AUSWÄHLEN · QUELLE	11	f55v|f69v|f75r|f81v|f82r|f83r|f88r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0246|P912-E0603|P912-E0638|P912-E0873|P912-E1151|P912-E1569|P912-E1598|P912-E1715|P912-E2007|P912-E2112|P912-E2383
saral	S+AR+AL	AUSWÄHLEN · QUELLE · ZIEL	2	f67r2|f69v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	NO	P912-E1800|P912-E2128
shal	SH+AL	HALTEN · ZIEL	2	f70v|f75r	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0591|P912-E2347
shchey	SH+Y	HALTEN · DIES	2	f70v|f81v	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E1088|P912-E2303
sheey	SH+EE+Y	HALTEN · LÄNGER · DIES	6	f69v|f81v|f82r|f83r	BATH_STATION|CELESTIAL_LOOKUP	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0994|P912-E1287|P912-E1321|P912-E1382|P912-E1642|P912-E2056
shey	SH+E+Y	HALTEN · KURZ · DIES	25	f11r|f13r|f68r1|f70v|f75r|f81v|f82r|f83r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0098|P912-E0220|P912-E0448|P912-E0470|P912-E0472|P912-E0474|P912-E0521|P912-E0541|P912-E0545|P912-E0607|P912-E0609|P912-E0614|P912-E0620|P912-E0631|P912-E0635|P912-E0859|P912-E1100|P912-E1120|P912-E1416|P912-E1578|P912-E1682|P912-E1695|P912-E1958|P912-E2237|P912-E2323
shol	SH+OL	HALTEN · FORTSETZEN	7	f13r|f56r|f70v|f81v|f83r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0154|P912-E0157|P912-E0388|P912-E1064|P912-E1085|P912-E1414|P912-E2202
tar	T+AR	EINSTELLEN · QUELLE	3	f55v|f70v|f83r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0283|P912-E1518|P912-E2183
tchy	T+Y	EINSTELLEN · DIES	2	f10r|f70v	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0021|P912-E2234
todaiin	T+O+AIIN	EINSTELLEN · AUSFÜHREN · SOLLWERT	2	f67r2|f70v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	NO	P912-E1867|P912-E2268
tol	T+OL	EINSTELLEN · FORTSETZEN	2	f67r2|f83r	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E1632|P912-E1881
y	Y	DIES	23	f10r|f11r|f13r|f55v|f56r|f67r2|f69v|f81v	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0055|P912-E0103|P912-E0129|P912-E0133|P912-E0139|P912-E0171|P912-E0173|P912-E0293|P912-E0312|P912-E0324|P912-E0338|P912-E0376|P912-E0395|P912-E1087|P912-E1788|P912-E1878|P912-E2021|P912-E2024|P912-E2028|P912-E2058|P912-E2064|P912-E2068|P912-E2073
ychey	Y+Y	DIES · DIES	3	f69v|f75r|f88r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0851|P912-E2080|P912-E2454
ykair	Y+K+AIR	DIES · GEBEN · LAUF	2	f55v|f70v	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0269|P912-E2324
ykar	Y+K+AR	DIES · GEBEN · QUELLE	5	f55v|f67r2|f69v|f88r	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0314|P912-E1767|P912-E2046|P912-E2071|P912-E2480
ykchy	Y+K+Y	DIES · GEBEN · DIES	3	f13r|f67r2	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0167|P912-E0180|P912-E1763
ykeey	Y+K+EE+Y	DIES · GEBEN · LÄNGER · DIES	5	f69v|f70v|f75r|f81v|f82r	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0466|P912-E0958|P912-E1256|P912-E2116|P912-E2233
yteos	Y+T+E+O+S_ADDR	DIES · EINSTELLEN · KURZ · AUSFÜHREN · STERNORT	2	f67r2|f70v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	NO	P912-E1846|P912-E2246
yto	Y+T+O	DIES · EINSTELLEN · AUSFÜHREN	2	f67r2|f69v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	NO	P912-E1812|P912-E2035
ytody	Y+T+O+DY	DIES · EINSTELLEN · AUSFÜHREN · SCHLIESSEN	2	f67r2|f69v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	NO	P912-E1820|P912-E2119
