statement_id	page	record	owner_de	events	fifth_hand_surface_sequence	component_sequence	phrase_ids	phrase_first_reading_de	fluent_workshop_reading_de	restored_after_107_statement_omission
B2-S022	f82r	B2	die Randstationen des unteren Beckens	1	lochedy	L+O+CHD+DY	NONE	LEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	An den Randstationen des unteren Beckens: Im Arbeitsgang leiten und umsetzen; den Schritt schliessen.	NO
B3-S001	f83r	B3	die obere offene Faecherstation	1	olkeedy	SOLK+EE+DY	NONE	SAMMELN · DREI KURZE ARBEITSGAENGE · SCHLUSS	An der oberen offenen Faecherstation: Laenger sammeln und den Schritt schliessen.	NO
B3-S002	f83r	B3	die obere offene Faecherstation	2	qotal chkeedy	OT+AL | CHK+EE+DY	NONE	DANACH · ZIELSTELLE; WAERMEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	An der oberen offenen Faecherstation: Danach zur Zielstelle; dann laenger erwaermen; den Schritt schliessen.	NO
B3-S003	f83r	B3	die obere offene Faecherstation	4	chey daiin chey lchedy	Y | AIIN | Y | L+CHD+DY	CPH14	CPH14[DEN AKTUELLEN POSTEN NACH SOLLMASS WEITERFUEHREN]; LEITEN · UMSETZEN · SCHLUSS	An der oberen offenen Faecherstation: Den laufenden Posten nach Sollmass beibehalten, anschliessend leiten und umsetzen, dann schliessen.	NO
B3-S004	f83r	B3	die obere offene Faecherstation	3	qokaiin qotal char	OK+AIIN | OT+AL | AR	NONE	ANSETZEN · EIN KLEINER SCHOEPFBECHER; DANACH · ZIELSTELLE; QUELLE	An der oberen offenen Faecherstation: Nach Sollmass ansetzen; danach zur Zielstelle wechseln und aus der Quelle weiterarbeiten.	NO
B3-S005	f83r	B3	das runde Mittelgefaess	1	schedy	CHD+DY	NONE	UMSETZEN · SCHLUSS	Am runden Mittelgefaess: Umsetzen; den Schritt schliessen.	NO
B3-S006	f83r	B3	das runde Mittelgefaess	3	chedchy qokal qolchedy	CHD+Y | OK+AL | OL+CHD+DY	NONE	UMSETZEN · POSTEN; ANSETZEN · ZIELSTELLE; WEITER · UMSETZEN · SCHLUSS	Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zur Zielstelle ansetzen; dann weiter umsetzen; den Schritt schliessen.	NO
B3-S007	f83r	B3	das runde Mittelgefaess	3	qokaiin chedy qokeedy	OK+AIIN | CHD+Y | OK+EE+DY	NONE	ANSETZEN · EIN KLEINER SCHOEPFBECHER; UMSETZEN · POSTEN; ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	Am runden Mittelgefaess: Nach Sollmass ansetzen; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen.	NO
B3-S008	f83r	B3	das runde Mittelgefaess	1	lchedy	L+CHD+DY	NONE	LEITEN · UMSETZEN · SCHLUSS	Am runden Mittelgefaess: Leiten und umsetzen; den Schritt schliessen.	NO
B3-S009	f83r	B3	das runde Mittelgefaess	1	qoky	OK+Y	NONE	ANSETZEN · POSTEN	Am runden Mittelgefaess: Den laufenden Posten ansetzen.	NO
B3-S010	f83r	B3	das untere Korbgefaess	2	pchedal otedy	P+CHD+AL | OT+E+DY	NONE	EINBRINGEN · UMSETZEN · ZIELSTELLE; DANACH · EIN KURZER ARBEITSGANG · SCHLUSS	Am unteren Korbgefaess: An der Zielstelle einbringen und umsetzen; danach den kurzen Folgeschritt schliessen.	NO
B3-S011	f83r	B3	das untere Korbgefaess	4	shecthedchy qoky chedy chary	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	NONE	HALTEN · EIN KURZER ARBEITSGANG · BEREITEN · UMSETZEN · POSTEN; ANSETZEN · POSTEN; UMSETZEN · POSTEN; QUELLE · POSTEN	Am unteren Korbgefaess: Kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus der Quelle.	NO
B3-S012	f83r	B3	das untere Korbgefaess	2	or shedy	OR | SHED+DY	NONE	ANSATZ; STEHENLASSEN · SCHLUSS	Am unteren Korbgefaess: Den Ansatz stehen lassen und den Schritt schliessen.	NO
B3-S013	f83r	B3	das untere Korbgefaess	4	qokaiin kain qcthey qokedy	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	NONE	ANSETZEN · EIN KLEINER SCHOEPFBECHER; ZUGEBEN · EIN ABGEGRENZTER TEIL; BEREITEN · EIN KURZER ARBEITSGANG · POSTEN; ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am unteren Korbgefaess: Nach Sollmass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen.	NO
B3-S014	f83r	B3	das untere Korbgefaess	2	okair sheedy	OK+AIR | SH+EE+DY	NONE	ANSETZEN · WASSER; HALTEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	Am unteren Korbgefaess: Das laufende Wasser ansetzen; dann laenger halten; den Schritt schliessen.	NO
B3-S015	f83r	B3	das untere Korbgefaess	1	lchedy	L+CHD+DY	NONE	LEITEN · UMSETZEN · SCHLUSS	Am unteren Korbgefaess: Leiten und umsetzen; den Schritt schliessen.	NO
B3-S016	f83r	B3	das untere Korbgefaess und der bildlich unverbundene Zwischenabschnitt	2	lo okchedy	L+O | OK+CHD+DY	NONE	LEITEN · ARBEITSGANG; ANSETZEN · UMSETZEN · SCHLUSS	Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Arbeitsgang leiten; dann ansetzen und umsetzen; den Schritt schliessen.	NO
B3-S017	f83r	B3	der bildlich unverbundene Zwischenabschnitt	1	qokeedy	OK+EE+DY	NONE	ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Laenger ansetzen; den Schritt schliessen.	NO
B3-S018	f83r	B3	der bildlich unverbundene Zwischenabschnitt	1	shedy	SHED+DY	NONE	STEHENLASSEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Stehen lassen; den Schritt schliessen.	NO
B3-S019	f83r	B3	der bildlich unverbundene Zwischenabschnitt	1	qokshedy	OK+SH+E+DY	NONE	ANSETZEN · HALTEN · EIN KURZER ARBEITSGANG · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Kurz ansetzen und halten; den Schritt schliessen.	NO
B3-S020	f83r	B3	der bildlich unverbundene Zwischenabschnitt	2	dal lchedy	AL | L+CHD+DY	NONE	ZIELSTELLE; LEITEN · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: An der Zielstelle leiten, umsetzen und den Schritt schliessen.	NO
B3-S021	f83r	B3	der bildlich unverbundene Zwischenabschnitt	11	qokaiin checthy dal chey daiin shedal shecthy chey dal checthy dalchdy	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY	CPH12	ANSETZEN · EIN KLEINER SCHOEPFBECHER; BEREITEN · POSTEN; ZIELSTELLE; CPH12[DEN POSTEN AUF SOLLMASS BRINGEN]; STEHENLASSEN · ZIELSTELLE; HALTEN · EIN KURZER ARBEITSGANG · BEREITEN · POSTEN; POSTEN; ZIELSTELLE; BEREITEN · POSTEN; ZIELSTELLE · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass stehen lassen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen.	NO
B3-S022	f83r	B3	der bildlich unverbundene Zwischenabschnitt	1	qotchedy	OT+CHD+DY	NONE	DANACH · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Danach umsetzen; den Schritt schliessen.	NO
B3-S023	f83r	B3	der bildlich unverbundene Zwischenabschnitt	1	lchedy	L+CHD+DY	NONE	LEITEN · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Leiten und umsetzen; den Schritt schliessen.	NO
B3-S024	f83r	B3	der bildlich unverbundene Zwischenabschnitt	1	schedy	CHD+DY	NONE	UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Umsetzen; den Schritt schliessen.	NO
B3-S025	f83r	B3	der bildlich unverbundene Zwischenabschnitt	1	qokchdy	OK+CHD+DY	NONE	ANSETZEN · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Ansetzen und umsetzen; den Schritt schliessen.	NO
B3-S026	f83r	B3	der bildlich unverbundene Zwischenabschnitt und das durch den Bogen verbundene Hauptpaar	7	cheedar chldaiin chedy qokain checthy chealror olkeedy	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	NONE	DREI KURZE ARBEITSGAENGE · QUELLE; LEITEN · EIN KLEINER SCHOEPFBECHER; UMSETZEN · POSTEN; ANSETZEN · EIN ABGEGRENZTER TEIL; BEREITEN · POSTEN; ZIELSTELLE · KUEHLEN · ANSATZ; SAMMELN · DREI KURZE ARBEITSGAENGE · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Sollmass leiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz an der Zielstelle kuehlen, laenger sammeln und schliessen.	NO
B3-S027	f83r	B3	das durch den Bogen verbundene Hauptpaar	1	qoteedy	OT+EE+DY	NONE	DANACH · DREI KURZE ARBEITSGAENGE · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Danach laenger; den Schritt schliessen.	NO
B3-S028	f83r	B3	das durch den Bogen verbundene Hauptpaar	2	qokeey qokedy	OK+EE+Y | OK+E+DY	NONE	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN; ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Laenger den laufenden Posten ansetzen; dann kurz ansetzen; den Schritt schliessen.	NO
B3-S029	f83r	B3	das durch den Bogen verbundene Hauptpaar	3	ol cheeety qokedy	OL | EEE+T+Y | OK+E+DY	NONE	WEITER; BIS DER GANZE POSTEN ERFASST IST · BEARBEITEN · POSTEN; ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; dann den laufenden Posten vollstaendig bearbeiten; dann kurz ansetzen; den Schritt schliessen.	NO
B3-S030	f83r	B3	das durch den Bogen verbundene Hauptpaar	4	qoky daiin schedair otchedy	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	CPH05	CPH05[DEN POSTEN NACH SOLLMASS ANSETZEN]; DAS WASSER UMSETZEN; DANACH · UMSETZEN · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Sollmass ansetzen, das laufende Wasser umsetzen; danach nochmals umsetzen und schliessen.	NO
B3-S031	f83r	B3	das durch den Bogen verbundene Hauptpaar	1	qokeedy	OK+EE+DY	NONE	ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Laenger ansetzen; den Schritt schliessen.	NO
B3-S032	f83r	B3	das durch den Bogen verbundene Hauptpaar	5	chedain chedy qotedaiin otaiin otedy	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY	NONE	UMSETZEN · EIN ABGEGRENZTER TEIL; UMSETZEN · POSTEN; DANACH · EIN KURZER ARBEITSGANG · EIN KLEINER SCHOEPFBECHER; DANACH · EIN KLEINER SCHOEPFBECHER; DANACH · EIN KURZER ARBEITSGANG · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen.	NO
B3-S033	f83r	B3	das durch den Bogen verbundene Hauptpaar	1	ldy	L+DY	NONE	LEITEN · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Leiten; den Schritt schliessen.	NO
B3-S034	f83r	B3	das durch den Bogen verbundene Hauptpaar	6	oiiin checthy chety otaiin olsaly shedy	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	NONE	ARBEITSGANG · EINE EINGESTELLTE ARBEITSSTUFE; BEREITEN · POSTEN; BEARBEITEN · POSTEN; DANACH · EIN KLEINER SCHOEPFBECHER; WEITER · ZIELSTELLE · POSTEN; STEHENLASSEN · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Stufe fuehren; den Posten bereitet halten und bearbeiten; danach nach Sollmass an der Zielstelle weiterfuehren, stehen lassen und schliessen.	NO
B4-S001	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	1	qokeedy	OK+EE+DY	NONE	ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Laenger ansetzen und den Schritt schliessen.	NO
B4-S002	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	3	qolchey qokeey qokedy	OL+Y | OK+EE+Y | OK+E+DY	NONE	WEITER · POSTEN; ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN; ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten weiterarbeiten; dann ihn laenger ansetzen; dann kurz ansetzen; den Schritt schliessen.	NO
B4-S003	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	7	chedy qotal otchey qokeey qoky ol shedy	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	CPH13	UMSETZEN · POSTEN; DANACH · ZIELSTELLE; DANACH DIESEN POSTEN; CPH13[DEN POSTEN LAENGER ANSETZEN, ERNEUT ANSETZEN UND WEITERARBEITEN]; STEHENLASSEN · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, weiterarbeiten, stehen lassen und schliessen.	NO
B4-S004	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	1	qokylddy	OK+Y+LD+DY	NONE	ANSETZEN · POSTEN · BEFESTIGEN · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten ansetzen und befestigen; den Schritt schliessen.	NO
B4-S005	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	3	dain chedy qokeedy	AIN | CHD+Y | OK+EE+DY	NONE	EIN ABGEGRENZTER TEIL; UMSETZEN · POSTEN; ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Eine Portion als laufenden Posten umsetzen, laenger ansetzen und den Schritt schliessen.	NO
B4-S006	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	1	shckhedy	SH+CKH+E+DY	NONE	HALTEN · DURCHLASS · EIN KURZER ARBEITSGANG · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.	NO
B4-S007	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	1	shckhedy	SH+CKH+E+DY	NONE	HALTEN · DURCHLASS · EIN KURZER ARBEITSGANG · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.	NO
B4-S008	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	4	daiin cheeky sheey qokedy	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	NONE	EIN KLEINER SCHOEPFBECHER; WAERMEN · DREI KURZE ARBEITSGAENGE · POSTEN; HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN; ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Sollmass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen.	NO
B4-S009	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	1	shedy	SHED+DY	NONE	STEHENLASSEN · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Stehen lassen; den Schritt schliessen.	NO
B4-S010	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	1	oldy	OL+DY	NONE	WEITER · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; den Schritt schliessen.	NO
B4-S011	f83r	B4	die linke offene Randstation	7	daiin cheky okeeol qokain chedy ol lkedy	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	CPH03	EIN KLEINER SCHOEPFBECHER; WAERMEN · EIN KURZER ARBEITSGANG · POSTEN; ANSETZEN · DREI KURZE ARBEITSGAENGE · WEITER; ANSETZEN · EIN ABGEGRENZTER TEIL; CPH03[DEN POSTEN UMSETZEN UND WEITERFUEHREN]; KURZ WEITERLEITEN UND SCHLIESSEN	An der linken offenen Randstation: Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, weiterarbeiten, kurz leiten und zugeben, dann schliessen.	NO
B4-S012	f83r	B4	die linke offene Randstation	1	lchedy	L+CHD+DY	NONE	LEITEN · UMSETZEN · SCHLUSS	An der linken offenen Randstation: Leiten und umsetzen; den Schritt schliessen.	NO
B4-S013	f83r	B4	die linke offene Randstation	2	qokol shedy	OK+OL | SHED+DY	NONE	ANSETZEN · WEITER; STEHENLASSEN · SCHLUSS	An der linken offenen Randstation: Weiter ansetzen; dann stehen lassen; den Schritt schliessen.	NO
B4-S014	f83r	B4	die linke offene Randstation	4	or chey qockhey dairydy	OR | Y | O+CKH+E+Y | AIR+Y+DY	CPH11	CPH11[DEN ANSATZ ALS LAUFENDEN POSTEN FUEHREN]; DEN POSTEN KURZ DURCH DEN DURCHLASS FUEHREN; WASSER · POSTEN · SCHLUSS	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, das laufende Wasser als aktuellen Posten fuehren und schliessen.	NO
B4-S015	f83r	B4	die linke offene Randstation und die rechte S-Lauf-Mehrfachstation	6	qokain cheey kain chckhal solkey lchedy	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	NONE	ANSETZEN · EIN ABGEGRENZTER TEIL; HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN; ZUGEBEN · EIN ABGEGRENZTER TEIL; ENTNEHMEN · DURCHLASS · ZIELSTELLE; SAMMELN · EIN KURZER ARBEITSGANG · POSTEN; LEITEN · UMSETZEN · SCHLUSS	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass an der Zielstelle entnehmen, kurz sammeln, leiten, umsetzen und schliessen.	NO
B4-S016	f83r	B4	die rechte S-Lauf-Mehrfachstation	4	olkain dal skar shedy	OL+K+AIN | AL | K+AR | SHED+DY	CPH09	CPH09[EINE PORTION WEITER AN DIE ZIELSTELLE GEBEN]; AUS DER QUELLE ZUGEBEN; STEHENLASSEN · SCHLUSS	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, an der Zielstelle aus der Quelle nachzugeben, stehen lassen und schliessen.	NO
B5-S001	f83r	B5	die linke offene Nebenstation	1	otchdy	OT+CHD+DY	NONE	DANACH · UMSETZEN · SCHLUSS	An der linken offenen Nebenstation: Danach umsetzen und den Schritt schliessen.	NO
B5-S002	f83r	B5	die linke offene Nebenstation	1	qokchdy	OK+CHD+DY	NONE	ANSETZEN · UMSETZEN · SCHLUSS	An der linken offenen Nebenstation: Ansetzen und umsetzen; den Schritt schliessen.	NO
B5-S003	f83r	B5	die linke offene Nebenstation	9	shedal dal ol lol chdal daiin ol daiiin chedy	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	CPH02	STEHENLASSEN · ZIELSTELLE; CPH02[AN DER ZIELSTELLE WEITERARBEITEN]; VON DORT WEITERLEITEN; UMSETZEN · ZIELSTELLE; EIN KLEINER SCHOEPFBECHER; WEITER; ZWEI · EINE EINGESTELLTE ARBEITSSTUFE; UMSETZEN · POSTEN	An der linken offenen Nebenstation: An der Zielstelle stehen lassen und dort weiterarbeiten; leiten und weiterarbeiten, an der Zielstelle umsetzen, nach Sollmass weiterarbeiten, bis zur zweiten Stufe fuehren und den Posten umsetzen.	NO
B6-S001	f83r	B6	die rechte S-Lauf-Nebenstation	9	solkeey qekey raly ol daiin ol dain chey ldalor	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR	CPH07	SAMMELN · DREI KURZE ARBEITSGAENGE · POSTEN; EIN KURZER ARBEITSGANG · ZUGEBEN · EIN KURZER ARBEITSGANG · POSTEN; KUEHLEN · ZIELSTELLE · POSTEN; CPH07[NACH SOLLMASS WEITERARBEITEN]; WEITER; EIN ABGEGRENZTER TEIL; POSTEN; LEITEN · ZIELSTELLE · ANSATZ	An der rechten S-Lauf-Nebenstation: Den Posten laenger sammeln, kurz zugeben, an der Zielstelle kuehlen, nach Sollmass weiterarbeiten, eine Portion nehmen und den Ansatz zur Zielstelle leiten.	NO
