surface	component_recipe	atomic_pocket_gloss_de	workshop_composition_de	image_composition_de	events	physical_pages	registers	observed_channels	channel_class
a	A_ADDR	ADRESSE	lokale Arbeitsstelle	lokale Bildadresse	1	f69v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
aildy	A_ADDR+IIN+L+DY	ADRESSE + STUFE + VERBINDUNG + ENDE	lokale Arbeitsstelle; Arbeitsstufe; entlang des Arbeitswegs führen; Arbeitsschritt schließen	lokale Bildadresse; Wertstufe; Bildverbindung; Bildeintrag schließen	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
airchy	AIR+Y	LAUFWEG + DIES	Flüssigkeits- oder Stationslauf; dieser Arbeitsgegenstand	Ringlauf; dieser Bildplatz	1	f69v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
ajy	A_ADDR+Y	ADRESSE + DIES	lokale Arbeitsstelle; dieser Arbeitsgegenstand	lokale Bildadresse; dieser Bildplatz	1	f75r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
alaiin	AL+AIIN	ZIEL + SOLLWERT	Ziel- oder Anschlussstelle; Sollmaß	Zielplatz; verzeichneter Sollwert	1	f67r2	ZODIAC	WORKSHOP_PROSE	PROSE_ONLY
alain	AL+AIN	ZIEL + EINHEIT	Ziel- oder Anschlussstelle; Portion	Zielplatz; Einheit oder Index	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
alals	AL+AL+S_ADDR	ZIEL + ZIEL + STERNORT	Ziel- oder Anschlussstelle; Ziel- oder Anschlussstelle; bezeichnete s-Stelle	Zielplatz; Zielplatz; Stern- oder s-Stelle	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
aldaiin	AL+D_ADDR+AIIN	ZIEL + UNTER + SOLLWERT	Ziel- oder Anschlussstelle; bezeichneter Teil; Sollmaß	Zielplatz; Unterplatz; verzeichneter Sollwert	1	f67r2	ZODIAC	WORKSHOP_PROSE	PROSE_ONLY
alody	AL+O+DY	ZIEL + GANG + ENDE	Ziel- oder Anschlussstelle; Arbeitsgang ausführen; Arbeitsschritt schließen	Zielplatz; Reihe aufrufen; Bildeintrag schließen	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
alos	AL+O+S_ADDR	ZIEL + GANG + STERNORT	Ziel- oder Anschlussstelle; Arbeitsgang ausführen; bezeichnete s-Stelle	Zielplatz; Reihe aufrufen; Stern- oder s-Stelle	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
alsy	AL+S+Y	ZIEL + WAHL + DIES	Ziel- oder Anschlussstelle; Arbeitsvariante auswählen; dieser Arbeitsgegenstand	Zielplatz; Bildklasse auswählen; dieser Bildplatz	1	f88r	PHARMA	WORKSHOP_PROSE	PROSE_ONLY
altedy	AL+T+E+D_ADDR+Y	ZIEL + EINSTELLUNG + KURZ + UNTER + DIES	Ziel- oder Anschlussstelle; Arbeitsgang einstellen; kurz oder direkt; bezeichneter Teil; dieser Arbeitsgegenstand	Zielplatz; Platz oder Wert einstellen; erster Grad; Unterplatz; dieser Bildplatz	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
aly	AL+Y	ZIEL + DIES	Ziel- oder Anschlussstelle; dieser Arbeitsgegenstand	Zielplatz; dieser Bildplatz	1	f75r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
alys	AL+Y+S	ZIEL + DIES + WAHL	Ziel- oder Anschlussstelle; dieser Arbeitsgegenstand; Arbeitsvariante auswählen	Zielplatz; dieser Bildplatz; Bildklasse auswählen	1	f69v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
amdy	AM_ADDR+DY	INNEN + ENDE	Innenstelle; Arbeitsschritt schließen	Innenplatz; Bildeintrag schließen	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
amy	AM_ADDR+Y	INNEN + DIES	Innenstelle; dieser Arbeitsgegenstand	Innenplatz; dieser Bildplatz	1	f67r2	ZODIAC	WORKSHOP_PROSE	PROSE_ONLY
araiin	AR+AIIN	QUELLE + SOLLWERT	Entnahmestelle; Sollmaß	Quell- oder Bezugsstelle; verzeichneter Sollwert	1	f82r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
aral	AR+AL	QUELLE + ZIEL	Entnahmestelle; Ziel- oder Anschlussstelle	Quell- oder Bezugsstelle; Zielplatz	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
araly	AR+AL+Y	QUELLE + ZIEL + DIES	Entnahmestelle; Ziel- oder Anschlussstelle; dieser Arbeitsgegenstand	Quell- oder Bezugsstelle; Zielplatz; dieser Bildplatz	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
aram	AR+AM_ADDR	QUELLE + INNEN	Entnahmestelle; Innenstelle	Quell- oder Bezugsstelle; Innenplatz	1	f67r2	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
araydy	AR+A_ADDR+Y+DY	QUELLE + ADRESSE + DIES + ENDE	Entnahmestelle; lokale Arbeitsstelle; dieser Arbeitsgegenstand; Arbeitsschritt schließen	Quell- oder Bezugsstelle; lokale Bildadresse; dieser Bildplatz; Bildeintrag schließen	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
ashyteed	A_ADDR+SH+Y+T+EE+D_ADDR	ADRESSE + HALT + DIES + EINSTELLUNG + LANG + UNTER	lokale Arbeitsstelle; Arbeitsgegenstand halten; dieser Arbeitsgegenstand; Arbeitsgang einstellen; länger oder gehalten; bezeichneter Teil	lokale Bildadresse; Bezug festhalten; dieser Bildplatz; Platz oder Wert einstellen; zweiter Grad; Unterplatz	1	f81v	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
cfholdy	CFH+OL+DY	TRENNEN + WEITER + ENDE	trennen; im selben Arbeitsgang fortfahren; Arbeitsschritt schließen	Trennklasse; dieselbe Reihe fortführen; Bildeintrag schließen	1	f13r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY
chair	CH+AIR	AUSWAHL + LAUFWEG	bezeichneten Anteil entnehmen; Flüssigkeits- oder Stationslauf	Klasse oder Figur kennzeichnen; Ringlauf	1	f10r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY
chalaly	CH+AL+AL+Y	AUSWAHL + ZIEL + ZIEL + DIES	bezeichneten Anteil entnehmen; Ziel- oder Anschlussstelle; Ziel- oder Anschlussstelle; dieser Arbeitsgegenstand	Klasse oder Figur kennzeichnen; Zielplatz; Zielplatz; dieser Bildplatz	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
chary	AR+Y	QUELLE + DIES	Entnahmestelle; dieser Arbeitsgegenstand	Quell- oder Bezugsstelle; dieser Bildplatz	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chchs	CH+CH+S	AUSWAHL + AUSWAHL + WAHL	bezeichneten Anteil entnehmen; bezeichneten Anteil entnehmen; Arbeitsvariante auswählen	Klasse oder Figur kennzeichnen; Klasse oder Figur kennzeichnen; Bildklasse auswählen	1	f56r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY
chckhal	CH+CKH+AL	AUSWAHL + DURCHLASS + ZIEL	bezeichneten Anteil entnehmen; durch einen Durchlass führen; Ziel- oder Anschlussstelle	Klasse oder Figur kennzeichnen; Verbindung oder Durchlass; Zielplatz	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chckhey	CH+CKH+E+Y	AUSWAHL + DURCHLASS + KURZ + DIES	bezeichneten Anteil entnehmen; durch einen Durchlass führen; kurz oder direkt; dieser Arbeitsgegenstand	Klasse oder Figur kennzeichnen; Verbindung oder Durchlass; erster Grad; dieser Bildplatz	1	f82r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chcthdy	CH+CTH+D_ADDR+Y	AUSWAHL + BEREIT + UNTER + DIES	bezeichneten Anteil entnehmen; bis bereit führen; bezeichneter Teil; dieser Arbeitsgegenstand	Klasse oder Figur kennzeichnen; Bereitschaftsklasse; Unterplatz; dieser Bildplatz	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chcthedy	CH+CTH+E+DY	AUSWAHL + BEREIT + KURZ + ENDE	bezeichneten Anteil entnehmen; bis bereit führen; kurz oder direkt; Arbeitsschritt schließen	Klasse oder Figur kennzeichnen; Bereitschaftsklasse; erster Grad; Bildeintrag schließen	1	f75r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chcthey	CH+CTH+E+Y	AUSWAHL + BEREIT + KURZ + DIES	bezeichneten Anteil entnehmen; bis bereit führen; kurz oder direkt; dieser Arbeitsgegenstand	Klasse oder Figur kennzeichnen; Bereitschaftsklasse; erster Grad; dieser Bildplatz	1	f82r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chcthol	CH+CTH+OL	AUSWAHL + BEREIT + WEITER	bezeichneten Anteil entnehmen; bis bereit führen; im selben Arbeitsgang fortfahren	Klasse oder Figur kennzeichnen; Bereitschaftsklasse; dieselbe Reihe fortführen	1	f88r	PHARMA	WORKSHOP_PROSE	PROSE_ONLY
chda	CHD+A_ADDR	WECHSEL + ADRESSE	Arbeitsgut umsetzen; lokale Arbeitsstelle	zu Gegen- oder Folgeplatz wechseln; lokale Bildadresse	1	f69v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
chdal	CHD+AL	WECHSEL + ZIEL	Arbeitsgut umsetzen; Ziel- oder Anschlussstelle	zu Gegen- oder Folgeplatz wechseln; Zielplatz	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chealror	AL+R+OR	ZIEL + MARKE + EINTRAG	Ziel- oder Anschlussstelle; Zustand kennzeichnen; Ansatz oder Zubereitung	Zielplatz; Zustandsmarke; Eintragsklasse	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
checholtar	CH+E+OL+T+AR	AUSWAHL + KURZ + WEITER + EINSTELLUNG + QUELLE	bezeichneten Anteil entnehmen; kurz oder direkt; im selben Arbeitsgang fortfahren; Arbeitsgang einstellen; Entnahmestelle	Klasse oder Figur kennzeichnen; erster Grad; dieselbe Reihe fortführen; Platz oder Wert einstellen; Quell- oder Bezugsstelle	1	f81v	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
checkho	CH+E+CKH+O	AUSWAHL + KURZ + DURCHLASS + GANG	bezeichneten Anteil entnehmen; kurz oder direkt; durch einen Durchlass führen; Arbeitsgang ausführen	Klasse oder Figur kennzeichnen; erster Grad; Verbindung oder Durchlass; Reihe aufrufen	1	f82r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
checphedy	CH+E+CPH+E+DY	AUSWAHL + KURZ + GEGENLAUF + KURZ + ENDE	bezeichneten Anteil entnehmen; kurz oder direkt; umleiten; kurz oder direkt; Arbeitsschritt schließen	Klasse oder Figur kennzeichnen; erster Grad; Gegenplatz; erster Grad; Bildeintrag schließen	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
ched	CHD	WECHSEL	Arbeitsgut umsetzen	zu Gegen- oder Folgeplatz wechseln	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chedain	CHD+AIN	WECHSEL + EINHEIT	Arbeitsgut umsetzen; Portion	zu Gegen- oder Folgeplatz wechseln; Einheit oder Index	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chedchy	CHD+Y	WECHSEL + DIES	Arbeitsgut umsetzen; dieser Arbeitsgegenstand	zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chedol	CHD+OL	WECHSEL + WEITER	Arbeitsgut umsetzen; im selben Arbeitsgang fortfahren	zu Gegen- oder Folgeplatz wechseln; dieselbe Reihe fortführen	1	f82r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chedykar	CHD+Y+K+AR	WECHSEL + DIES + ZUORDNUNG + QUELLE	Arbeitsgut umsetzen; dieser Arbeitsgegenstand; Material zugeben; Entnahmestelle	zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz; Wert zuordnen; Quell- oder Bezugsstelle	1	f75r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chedyqokam	CHD+Y+OK+AM_ADDR	WECHSEL + DIES + START + INNEN	Arbeitsgut umsetzen; dieser Arbeitsgegenstand; Arbeitsgang ansetzen; Innenstelle	zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz; Bildplatz aktivieren; Innenplatz	1	f75r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
cheeckhody	CH+EE+CKH+O+DY	AUSWAHL + LANG + DURCHLASS + GANG + ENDE	bezeichneten Anteil entnehmen; länger oder gehalten; durch einen Durchlass führen; Arbeitsgang ausführen; Arbeitsschritt schließen	Klasse oder Figur kennzeichnen; zweiter Grad; Verbindung oder Durchlass; Reihe aufrufen; Bildeintrag schließen	1	f56r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY
cheedar	EE+AR	LANG + QUELLE	länger oder gehalten; Entnahmestelle	zweiter Grad; Quell- oder Bezugsstelle	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
cheeety	EEE+T+Y	VOLL + EINSTELLUNG + DIES	vollständig; Arbeitsgang einstellen; dieser Arbeitsgegenstand	dritter oder voller Grad; Platz oder Wert einstellen; dieser Bildplatz	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
cheeor	CH+EE+OR	AUSWAHL + LANG + EINTRAG	bezeichneten Anteil entnehmen; länger oder gehalten; Ansatz oder Zubereitung	Klasse oder Figur kennzeichnen; zweiter Grad; Eintragsklasse	1	f88r	PHARMA	WORKSHOP_PROSE	PROSE_ONLY
cheeteey	CH+EE+T+EE+Y	AUSWAHL + LANG + EINSTELLUNG + LANG + DIES	bezeichneten Anteil entnehmen; länger oder gehalten; Arbeitsgang einstellen; länger oder gehalten; dieser Arbeitsgegenstand	Klasse oder Figur kennzeichnen; zweiter Grad; Platz oder Wert einstellen; zweiter Grad; dieser Bildplatz	1	f68r1	ZODIAC	WORKSHOP_PROSE	PROSE_ONLY
cheg	CH+E+LOCAL_CHAR_G	AUSWAHL + KURZ + EINMAL	bezeichneten Anteil entnehmen; kurz oder direkt; einmal ausführen	Klasse oder Figur kennzeichnen; erster Grad; Einzelmarke	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chekal	CHK+AL	BEHANDLUNG + ZIEL	Arbeitsgegenstand behandeln; Ziel- oder Anschlussstelle	Behandlungsklasse; Zielplatz	1	f81v	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chekam	CHK+AM_ADDR	BEHANDLUNG + INNEN	Arbeitsgegenstand behandeln; Innenstelle	Behandlungsklasse; Innenplatz	1	f75r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chekar	CHK+AR	BEHANDLUNG + QUELLE	Arbeitsgegenstand behandeln; Entnahmestelle	Behandlungsklasse; Quell- oder Bezugsstelle	1	f75r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chekeal	CHK+E+AL	BEHANDLUNG + KURZ + ZIEL	Arbeitsgegenstand behandeln; kurz oder direkt; Ziel- oder Anschlussstelle	Behandlungsklasse; erster Grad; Zielplatz	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
chekeedy	CHK+EE+DY	BEHANDLUNG + LANG + ENDE	Arbeitsgegenstand behandeln; länger oder gehalten; Arbeitsschritt schließen	Behandlungsklasse; zweiter Grad; Bildeintrag schließen	1	f75r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chekey	CHK+E+Y	BEHANDLUNG + KURZ + DIES	Arbeitsgegenstand behandeln; kurz oder direkt; dieser Arbeitsgegenstand	Behandlungsklasse; erster Grad; dieser Bildplatz	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
chekody	CHK+O+D_ADDR+Y	BEHANDLUNG + GANG + UNTER + DIES	Arbeitsgegenstand behandeln; Arbeitsgang ausführen; bezeichneter Teil; dieser Arbeitsgegenstand	Behandlungsklasse; Reihe aufrufen; Unterplatz; dieser Bildplatz	1	f67r2	ZODIAC	WORKSHOP_PROSE	PROSE_ONLY
cheo	CHEO	AUSZUG	Auszug	lokaler Eintrag	1	f69v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
cheoar	CH+E+O+AR	AUSWAHL + KURZ + GANG + QUELLE	bezeichneten Anteil entnehmen; kurz oder direkt; Arbeitsgang ausführen; Entnahmestelle	Klasse oder Figur kennzeichnen; erster Grad; Reihe aufrufen; Quell- oder Bezugsstelle	1	f55v	HERBAL	WORKSHOP_PROSE	PROSE_ONLY
cheojam	CHEO+LOCAL_CHAR_J+A_ADDR+AM_ADDR	AUSZUG + VERBUND + ADRESSE + INNEN	Auszug; im verbundenen Gang; lokale Arbeitsstelle; Innenstelle	lokaler Eintrag; Verbundstelle; lokale Bildadresse; Innenplatz	1	f88r	PHARMA	WORKSHOP_PROSE	PROSE_ONLY
cheokeeo	CH+E+OK+EE+O	AUSWAHL + KURZ + START + LANG + GANG	bezeichneten Anteil entnehmen; kurz oder direkt; Arbeitsgang ansetzen; länger oder gehalten; Arbeitsgang ausführen	Klasse oder Figur kennzeichnen; erster Grad; Bildplatz aktivieren; zweiter Grad; Reihe aufrufen	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
cheokeo	CH+E+OK+E+O	AUSWAHL + KURZ + START + KURZ + GANG	bezeichneten Anteil entnehmen; kurz oder direkt; Arbeitsgang ansetzen; kurz oder direkt; Arbeitsgang ausführen	Klasse oder Figur kennzeichnen; erster Grad; Bildplatz aktivieren; erster Grad; Reihe aufrufen	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
cheokorchey	CHEO+K+OR+CH+E+Y	AUSZUG + ZUORDNUNG + EINTRAG + AUSWAHL + KURZ + DIES	Auszug; Material zugeben; Ansatz oder Zubereitung; bezeichneten Anteil entnehmen; kurz oder direkt; dieser Arbeitsgegenstand	lokaler Eintrag; Wert zuordnen; Eintragsklasse; Klasse oder Figur kennzeichnen; erster Grad; dieser Bildplatz	1	f68r1	ZODIAC	WORKSHOP_PROSE	PROSE_ONLY
cheoky	CHEO+K+Y	AUSZUG + ZUORDNUNG + DIES	Auszug; Material zugeben; dieser Arbeitsgegenstand	lokaler Eintrag; Wert zuordnen; dieser Bildplatz	1	f82r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
cheoltey	CH+E+OL+T+E+Y	AUSWAHL + KURZ + WEITER + EINSTELLUNG + KURZ + DIES	bezeichneten Anteil entnehmen; kurz oder direkt; im selben Arbeitsgang fortfahren; Arbeitsgang einstellen; kurz oder direkt; dieser Arbeitsgegenstand	Klasse oder Figur kennzeichnen; erster Grad; dieselbe Reihe fortführen; Platz oder Wert einstellen; erster Grad; dieser Bildplatz	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
cheotey	CHEO+T+E+Y	AUSZUG + EINSTELLUNG + KURZ + DIES	Auszug; Arbeitsgang einstellen; kurz oder direkt; dieser Arbeitsgegenstand	lokaler Eintrag; Platz oder Wert einstellen; erster Grad; dieser Bildplatz	1	f88r	PHARMA	WORKSHOP_PROSE	PROSE_ONLY
chepol	CH+E+P+OL	AUSWAHL + KURZ + EINSATZ + WEITER	bezeichneten Anteil entnehmen; kurz oder direkt; Material einsetzen; im selben Arbeitsgang fortfahren	Klasse oder Figur kennzeichnen; erster Grad; Platz besetzen; dieselbe Reihe fortführen	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
ches	CH+E+S	AUSWAHL + KURZ + WAHL	bezeichneten Anteil entnehmen; kurz oder direkt; Arbeitsvariante auswählen	Klasse oder Figur kennzeichnen; erster Grad; Bildklasse auswählen	1	f82r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chetalchs	CH+E+T+AL+CH+S_ADDR	AUSWAHL + KURZ + EINSTELLUNG + ZIEL + AUSWAHL + STERNORT	bezeichneten Anteil entnehmen; kurz oder direkt; Arbeitsgang einstellen; Ziel- oder Anschlussstelle; bezeichneten Anteil entnehmen; bezeichnete s-Stelle	Klasse oder Figur kennzeichnen; erster Grad; Platz oder Wert einstellen; Zielplatz; Klasse oder Figur kennzeichnen; Stern- oder s-Stelle	1	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
chetchy	CH+E+T+CH+Y	AUSWAHL + KURZ + EINSTELLUNG + AUSWAHL + DIES	bezeichneten Anteil entnehmen; kurz oder direkt; Arbeitsgang einstellen; bezeichneten Anteil entnehmen; dieser Arbeitsgegenstand	Klasse oder Figur kennzeichnen; erster Grad; Platz oder Wert einstellen; Klasse oder Figur kennzeichnen; dieser Bildplatz	1	f88r	PHARMA	WORKSHOP_PROSE	PROSE_ONLY
chetedy	CH+E+T+E+D_ADDR+Y	AUSWAHL + KURZ + EINSTELLUNG + KURZ + UNTER + DIES	bezeichneten Anteil entnehmen; kurz oder direkt; Arbeitsgang einstellen; kurz oder direkt; bezeichneter Teil; dieser Arbeitsgegenstand	Klasse oder Figur kennzeichnen; erster Grad; Platz oder Wert einstellen; erster Grad; Unterplatz; dieser Bildplatz	1	f81v	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
cheteeser	CH+E+T+EE+S_ADDR+E+R	AUSWAHL + KURZ + EINSTELLUNG + LANG + STERNORT + KURZ + MARKE	bezeichneten Anteil entnehmen; kurz oder direkt; Arbeitsgang einstellen; länger oder gehalten; bezeichnete s-Stelle; kurz oder direkt; Zustand kennzeichnen	Klasse oder Figur kennzeichnen; erster Grad; Platz oder Wert einstellen; zweiter Grad; Stern- oder s-Stelle; erster Grad; Zustandsmarke	1	f69v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
chetody	CH+E+T+O+D_ADDR+Y	AUSWAHL + KURZ + EINSTELLUNG + GANG + UNTER + DIES	bezeichneten Anteil entnehmen; kurz oder direkt; Arbeitsgang einstellen; Arbeitsgang ausführen; bezeichneter Teil; dieser Arbeitsgegenstand	Klasse oder Figur kennzeichnen; erster Grad; Platz oder Wert einstellen; Reihe aufrufen; Unterplatz; dieser Bildplatz	1	f69v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
chety	T+Y	EINSTELLUNG + DIES	Arbeitsgang einstellen; dieser Arbeitsgegenstand	Platz oder Wert einstellen; dieser Bildplatz	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
cheyky	CH+E+Y+K+Y	AUSWAHL + KURZ + DIES + ZUORDNUNG + DIES	bezeichneten Anteil entnehmen; kurz oder direkt; dieser Arbeitsgegenstand; Material zugeben; dieser Arbeitsgegenstand	Klasse oder Figur kennzeichnen; erster Grad; dieser Bildplatz; Wert zuordnen; dieser Bildplatz	1	f69v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
chkain	CHK+AIN	BEHANDLUNG + EINHEIT	Arbeitsgegenstand behandeln; Portion	Behandlungsklasse; Einheit oder Index	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chkal	CHK+AL	BEHANDLUNG + ZIEL	Arbeitsgegenstand behandeln; Ziel- oder Anschlussstelle	Behandlungsklasse; Zielplatz	1	f75r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chkar	CHK+AR	BEHANDLUNG + QUELLE	Arbeitsgegenstand behandeln; Entnahmestelle	Behandlungsklasse; Quell- oder Bezugsstelle	1	f75r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chkchdar	CHK+CHD+AR	BEHANDLUNG + WECHSEL + QUELLE	Arbeitsgegenstand behandeln; Arbeitsgut umsetzen; Entnahmestelle	Behandlungsklasse; zu Gegen- oder Folgeplatz wechseln; Quell- oder Bezugsstelle	1	f67r2	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
chkchykoly	CHK+CH+Y+K+OL+Y	BEHANDLUNG + AUSWAHL + DIES + ZUORDNUNG + WEITER + DIES	Arbeitsgegenstand behandeln; bezeichneten Anteil entnehmen; dieser Arbeitsgegenstand; Material zugeben; im selben Arbeitsgang fortfahren; dieser Arbeitsgegenstand	Behandlungsklasse; Klasse oder Figur kennzeichnen; dieser Bildplatz; Wert zuordnen; dieselbe Reihe fortführen; dieser Bildplatz	1	f68r1	ZODIAC	WORKSHOP_PROSE	PROSE_ONLY
chkeedy	CHK+EE+DY	BEHANDLUNG + LANG + ENDE	Arbeitsgegenstand behandeln; länger oder gehalten; Arbeitsschritt schließen	Behandlungsklasse; zweiter Grad; Bildeintrag schließen	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chkeey	CHK+EE+Y	BEHANDLUNG + LANG + DIES	Arbeitsgegenstand behandeln; länger oder gehalten; dieser Arbeitsgegenstand	Behandlungsklasse; zweiter Grad; dieser Bildplatz	1	f82r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chkor	CHK+OR	BEHANDLUNG + EINTRAG	Arbeitsgegenstand behandeln; Ansatz oder Zubereitung	Behandlungsklasse; Eintragsklasse	1	f56r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY
chldaiin	L+AIIN	VERBINDUNG + SOLLWERT	entlang des Arbeitswegs führen; Sollmaß	Bildverbindung; verzeichneter Sollwert	1	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
choaiin	CH+O+AIIN	AUSWAHL + GANG + SOLLWERT	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; Sollmaß	Klasse oder Figur kennzeichnen; Reihe aufrufen; verzeichneter Sollwert	1	f69v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY
chochor	HO+CH+OR	TEIL + AUSWAHL + EINTRAG	Teil des sichtbaren Gegenstands; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	Teil oder Mitglied der Bildklasse; Klasse oder Figur kennzeichnen; Eintragsklasse	1	f56r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY
choctheeey	CH+O+CTH+EEE+Y	AUSWAHL + GANG + BEREIT + VOLL + DIES	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bis bereit führen; vollständig; dieser Arbeitsgegenstand	Klasse oder Figur kennzeichnen; Reihe aufrufen; Bereitschaftsklasse; dritter oder voller Grad; dieser Bildplatz	1	f68r1	ZODIAC	WORKSHOP_PROSE	PROSE_ONLY
chocthy	CH+O+CTH+Y	AUSWAHL + GANG + BEREIT + DIES	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bis bereit führen; dieser Arbeitsgegenstand	Klasse oder Figur kennzeichnen; Reihe aufrufen; Bereitschaftsklasse; dieser Bildplatz	1	f10r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY
