event_serial	statement_id	record_unit_id	page	visible_surface	master_form	previous_visible_surface	next_visible_surface	revised_portable_default_de	continuous_statement_context_de
304	B3-S032	B3	f83r	chedy	chdy	chedain	qotedaiin	diesen Posten übertragen	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze eine Portion um, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.
310	B3-S034	B3	f83r	checthy	checthy	soiiin	chety	diesen Posten bereitstellen	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.
311	B3-S034	B3	f83r	chety	chety	checthy	otaiin	einen Teil abtrennen	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.
319	B4-S003	B4	f83r	chedy	chdy	STATEMENT_START	otal	diesen Posten übertragen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe
321	B4-S003	B4	f83r	otchey	otchey	otal	qokeey	der nächste Posten	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe
323	B4-S003	B4	f83r	qoky	choky	qokeey	tol	diesen Posten einsetzen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe
324	B4-S003	B4	f83r	tol	cheol	qoky	shedy	weiter	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe
328	B4-S005	B4	f83r	chedy	chdy	dain	qokeedy	diesen Posten übertragen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lege das Tuch ein, setze um, setze länger an und schließe
332	B4-S008	B4	f83r	saiin	aiin	STATEMENT_START	cheeky	Sollmaß	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme länger, lass länger ruhen, setze kurz an und schließe.
333	B4-S008	B4	f83r	cheeky	cheeky	saiin	sheey	länger bearbeiten	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme länger, lass länger ruhen, setze kurz an und schließe.
337	B4-S010	B4	f83r	oldy	oldy	STATEMENT_START	STATEMENT_END	fortsetzen; abschließen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe weiter und schließe
338	B4-S011	B4	f83r	saiin	aiin	STATEMENT_START	cheky	Sollmaß	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe
342	B4-S011	B4	f83r	chdy	chdy	okain	sol	diesen Posten übertragen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe
343	B4-S011	B4	f83r	sol	cheol	chdy	lkedy	weiter	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe
348	B4-S014	B4	f83r	or	chor	STATEMENT_START	chey	Arbeitsansatz	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.
349	B4-S014	B4	f83r	chey	chey	or	qockhey	dieser Posten	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.
353	B4-S015	B4	f83r	shey	cheey	qokain	kain	Klarlauf	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, führe ab und schließe.
359	B4-S016	B4	f83r	dal	al	qolkain	skar	dorthin	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine weitere Portion dorthin, giesse sie von dort aus, lass absetzen und schließe.
365	B5-S003	B5	f83r	dal	al	shedal	cheol	dorthin	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.
366	B5-S003	B5	f83r	cheol	cheol	dal	lol	weiter	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.
369	B5-S003	B5	f83r	aiin	aiin	chdal	sol	Sollmaß	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.
370	B5-S003	B5	f83r	sol	cheol	aiin	daiiin	weiter	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.
372	B5-S003	B5	f83r	chedy	chdy	daiiin	STATEMENT_END	diesen Posten übertragen	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.
376	B6-S001	B6	f83r	ol	cheol	raly	daiin	weiter	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.
377	B6-S001	B6	f83r	daiin	aiin	ol	ol	Sollmaß	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.
378	B6-S001	B6	f83r	ol	cheol	daiin	dain	weiter	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.
380	B6-S001	B6	f83r	chey	chey	dain	ldalor	dieser Posten	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.
