card_no	joint_tuple_id	surfaces	events	event_ids	registers	records	component_parse	small_value_de	lexicon_class	rule_source
PROC130	f2af6326898fb5b490a4	lochedy	1	E228	BIOLOGICAL	B2	L+O+CHD+DY	weiter hinausfuehren; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC131	90bcf0a9ec0ef56399e6	otal|qotal	3	E230|E237|E320	BIOLOGICAL	B3|B4	OT+AL	Folgestelle	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC132	a84fbe3ad380df345b97	chkeedy	1	E231	BIOLOGICAL	B3	CHK+EE+DY	länger wärmen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC133	5e8441397e7c0faf042b	chedchy	1	E240	BIOLOGICAL	B3	CHD+Y	dies umsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC134	ba540da978ea132f6da5	pchedal	1	E248	BIOLOGICAL	B3	P+CHD+AL	an der Stelle hineinführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC135	c45ebac60774620561e2	otedy	2	E249|E307	BIOLOGICAL	B3	OT+E+DY	kurzer Folgeschritt; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC136	348e81ba084c5acdb32b	shecthedchy	1	E250	BIOLOGICAL	B3	SH+E+CTH+CHD+Y	dies kurz bereit umsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC137	0bdc8b6db811b4e67a63	chary	1	E253	BIOLOGICAL	B3	AR+Y	dies aus der Quelle nehmen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC138	7d2404c835b10a2c06af	okair	1	E260	BIOLOGICAL	B3	OK+AIR	Wasser in Gang setzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC139	03626ca94cb17800d767	sheedy	1	E261	BIOLOGICAL	B3	SH+EE+DY	länger absetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC140	2b7fa918d1b2f5c656e3	lo	1	E263	BIOLOGICAL	B3	L+O	hinausfuehren	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC141	db167f8e9b53eefb58f8	qokshedy	1	E267	BIOLOGICAL	B3	OK+SH+E+DY	kurz absetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC142	abb23e5e6936b4147f76	shedal	2	E275|E364	BIOLOGICAL	B3|B5	SHED+AL	an der Stelle absetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC143	cb57b696b815fdef9cb7	shecthy	1	E276	BIOLOGICAL	B3	SH+E+CTH+Y	dies kurz bereit halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC144	2bc2ed2630dbdaaa6b59	dalchdy	1	E280	BIOLOGICAL	B3	AL+CHD+DY	an der Stelle überführen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC145	4de12cf322dfb76ded1e	otchedy|qotchedy	2	E281|E301	BIOLOGICAL	B3	OT+CHD+DY	danach umsetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC146	342c3f0777337648f4b3	cheedar	1	E285	BIOLOGICAL	B3	EE+AR	laenger aus der Quelle fuehren	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC147	d72f71baff01cd0a0406	chldaiin	1	E286	BIOLOGICAL	B3	L+AIIN	Abfuehrmass	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC148	d788d8d72d41b25a3c71	chealror	1	E290	BIOLOGICAL	B3	AL+R+OR	Ansatz an der Stelle abkuehlen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC149	9247e38d29c79a0d2fa5	cheeety	1	E296	BIOLOGICAL	B3	EEE+T+Y	dies vollstaendig fuellen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC150	b154ff779abe5f196c80	schedair	1	E300	BIOLOGICAL	B3	CHD+AIR	Wasser weiterfuehren	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC151	d784b2abcaf1a3703de2	chedain	1	E303	BIOLOGICAL	B3	CHD+AIN	eine Portion überführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC152	1779decef17481ec2853	qotedaiin	1	E305	BIOLOGICAL	B3	OT+E+AIIN	kurzes Folgemaß	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC153	7811a7daff25d476e28d	olsaly	1	E313	BIOLOGICAL	B3	OL+AL+Y	dies an der Stelle fortsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC154	e2eb77ca9d9e1a8ba29a	qolchey	1	E316	BIOLOGICAL	B4	OL+Y	dies weiterführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC155	eb2e4bc143f623ee03ac	qokylddy	1	E326	BIOLOGICAL	B4	OK+Y+LDDY	dies befestigen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC156	53cd0637c6820ba5e91f	dain	2	E327|E379	BIOLOGICAL	B4|B6	WHOLE[dain]	Tuch	MEMORIZED_WHOLE_CARD	BIOLOGICAL_SEVEN_WHOLE_CARDS
PROC157	92e43836d82f98bf02d3	sheey	1	E334	BIOLOGICAL	B4	SH+EE+Y	dies länger halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC158	daf32e6db9e04413ce7f	okeeol	1	E340	BIOLOGICAL	B4	OK+EE+OL	länger fortsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC159	b958a512ca6a3559e86e	lkedy	1	E344	BIOLOGICAL	B4	L+K+E+DY	kurz abführen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC160	232195d6ff2f326322f7	qokol	1	E346	BIOLOGICAL	B4	OK+OL	Fortsetzung einsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC161	ecce30bc8dcc400bf2c8	qockhey	1	E350	BIOLOGICAL	B4	O+CKH+E+Y	dies kurz durchführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC162	8aedd154964a78e555d6	dairydy	1	E351	BIOLOGICAL	B4	AIR+Y+DY	Wasserlauf schliessen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC163	21ed2873b71e57269c08	chckhal	1	E355	BIOLOGICAL	B4	CH+CKH+AL	Durchlassstelle	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC164	42cdc187d5b9ffc60063	solkey	1	E356	BIOLOGICAL	B4	SOLK+E+Y	kurz auffangen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC165	883a6708116c342cb10b	skar	1	E360	BIOLOGICAL	B4	K+AR	aus dem Vorrat zufuehren	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC166	601b77449028deed39de	otchdy	1	E362	BIOLOGICAL	B5	OT+CHD+DY	danach umsetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC167	8c97dfde96fbc78e3355	lol	1	E367	BIOLOGICAL	B5	WHOLE[lol]	warm	MEMORIZED_WHOLE_CARD	BIOLOGICAL_SEVEN_WHOLE_CARDS
PROC168	00d8ebe3c68294eeac39	chdal	1	E368	BIOLOGICAL	B5	CHD+AL	an der Stelle umsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC169	fcc1deda9e24ec268eb0	daiiin	1	E371	BIOLOGICAL	B5	WHOLE[daiiin]	zweite Stufe	MEMORIZED_WHOLE_CARD	BIOLOGICAL_SEVEN_WHOLE_CARDS
PROC170	1bfd786e6b8b63734a59	solkeey	1	E373	BIOLOGICAL	B6	SOLK+EE+Y	laenger auffangen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC171	43eb9aa12959b4d5cdc9	qekey	1	E374	BIOLOGICAL	B6	WHOLE[qekey]	roh	MEMORIZED_WHOLE_CARD	BIOLOGICAL_SEVEN_WHOLE_CARDS
PROC172	3e9c7f217843b588489d	raly	1	E375	BIOLOGICAL	B6	R+AL+Y	dies abkuehlen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
PROC173	97ddca78c9ebcc956d04	ldalor	1	E381	BIOLOGICAL	B6	L+AL+OR	Ansatz zur Stelle fuehren	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL
