group_serial	diagram_id	page	locus	event_index	opaque_local_id	surface_display	namespace_id	local_image_owner	local_content_class	bridge_class	matched_component_ids	matched_component_values_de	matched_character_fraction	residual_local_segments	astro_working_reading_de	orientation_rule	crosspage_rule
48	A1	f67r2	f67r2.19	2	A1:G048	ain	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_19	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B03_AIN_PART	gezaehlter Teil oder Unterabschnitt	3/3	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_19: gezaehlter Teil oder Unterabschnitt.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
49	A1	f67r2	f67r2.19	3	A1:G049	ar	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_19	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B10_AR_SOURCE	Ausgangssektor, Ursprung oder Bezugswert	2/2	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_19: Ausgangssektor, Ursprung oder Bezugswert.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
50	A1	f67r2	f67r2.19	4	A1:G050	amy	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_19	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/3	amy	Sternplatz A1_LEFT_LOCAL_FIELD_19: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest amy.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
51	A1	f67r2	f67r2.20	1	A1:G051	chocfhy	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_20	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B11_HO_INPUT	Himmelsobjekt oder Eingangsbedingung	2/7	c/cfhy	Sternplatz A1_LEFT_LOCAL_FIELD_20: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest c/cfhy.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
52	A1	f67r2	f67r2.20	2	A1:G052	saral	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_20	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	COMPOSED_COMPONENT_BRIDGE	B10_AR_SOURCE|B09_AL_TARGET	Ausgangssektor, Ursprung oder Bezugswert + Zielsektor, Zielstern oder Zielfeld	4/5	s	Sternplatz A1_LEFT_LOCAL_FIELD_20: Ausgangssektor, Ursprung oder Bezugswert + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest s.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
53	A1	f67r2	f67r2.21	1	A1:G053	sain	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_21	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B03_AIN_PART	gezaehlter Teil oder Unterabschnitt	3/4	s	Sternplatz A1_LEFT_LOCAL_FIELD_21: gezaehlter Teil oder Unterabschnitt; lokaler Namensrest s.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
54	A1	f67r2	f67r2.21	2	A1:G054	am	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_21	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/2	am	Sternplatz A1_LEFT_LOCAL_FIELD_21: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest am.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
55	A1	f67r2	f67r2.21	3	A1:G055	ar	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_21	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B10_AR_SOURCE	Ausgangssektor, Ursprung oder Bezugswert	2/2	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_21: Ausgangssektor, Ursprung oder Bezugswert.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
56	A1	f67r2	f67r2.22	1	A1:G056	okal	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_22	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:dort ansetzen	am Zielplatz setzen	4/4	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_22: am Zielplatz setzen.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
57	A1	f67r2	f67r2.23	1	A1:G057	oparchy	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_23	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B10_AR_SOURCE	Ausgangssektor, Ursprung oder Bezugswert	2/7	op/chy	Sternplatz A1_LEFT_LOCAL_FIELD_23: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest op/chy.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
58	A1	f67r2	f67r2.23	2	A1:G058	salsain	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_23	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	COMPOSED_COMPONENT_BRIDGE	B09_AL_TARGET|B03_AIN_PART	Zielsektor, Zielstern oder Zielfeld + gezaehlter Teil oder Unterabschnitt	5/7	s/s	Sternplatz A1_LEFT_LOCAL_FIELD_23: Zielsektor, Zielstern oder Zielfeld + gezaehlter Teil oder Unterabschnitt; lokaler Namensrest s/s.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
59	A1	f67r2	f67r2.24	1	A1:G059	sodar	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_24	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B10_AR_SOURCE	Ausgangssektor, Ursprung oder Bezugswert	2/5	sod	Sternplatz A1_LEFT_LOCAL_FIELD_24: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest sod.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
60	A1	f67r2	f67r2.24	2	A1:G060	ofar	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_24	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B10_AR_SOURCE	Ausgangssektor, Ursprung oder Bezugswert	2/4	of	Sternplatz A1_LEFT_LOCAL_FIELD_24: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest of.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
61	A1	f67r2	f67r2.24	3	A1:G061	ar	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_24	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B10_AR_SOURCE	Ausgangssektor, Ursprung oder Bezugswert	2/2	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_24: Ausgangssektor, Ursprung oder Bezugswert.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
62	A1	f67r2	f67r2.25	1	A1:G062	ydam	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_25	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/4	ydam	Sternplatz A1_LEFT_LOCAL_FIELD_25: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest ydam.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
63	A1	f67r2	f67r2.26	1	A1:G063	yteoor	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_26	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B08_OR_WORKSET	Bedingungs-, Tabellen- oder Wahlansatz	2/6	yteo	Sternplatz A1_LEFT_LOCAL_FIELD_26: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest yteo.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
64	A1	f67r2	f67r2.26	2	A1:G064	yto	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_26	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/3	yto	Sternplatz A1_LEFT_LOCAL_FIELD_26: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest yto.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
65	A1	f67r2	f67r2.26	3	A1:G065	ykor	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_26	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B08_OR_WORKSET	Bedingungs-, Tabellen- oder Wahlansatz	2/4	yk	Sternplatz A1_LEFT_LOCAL_FIELD_26: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest yk.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
66	A1	f67r2	f67r2.27	1	A1:G066	okeo	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_27	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B05_OK_SET	Diagrammposten setzen oder aktivieren	2/4	eo	Sternplatz A1_LEFT_LOCAL_FIELD_27: Diagrammposten setzen oder aktivieren; lokaler Namensrest eo.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
67	A1	f67r2	f67r2.27	2	A1:G067	r	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_27	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/1	r	Sternplatz A1_LEFT_LOCAL_FIELD_27: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest r.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
68	A1	f67r2	f67r2.27	3	A1:G068	aiin	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_27	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:Sollmaß	Sollwert oder Grad des bezeichneten Himmelsplatzes	4/4	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_27: Sollwert oder Grad des bezeichneten Himmelsplatzes.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
69	A1	f67r2	f67r2.27	4	A1:G069	am	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_27	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/2	am	Sternplatz A1_LEFT_LOCAL_FIELD_27: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest am.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
70	A1	f67r2	f67r2.28	1	A1:G070	okain	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_28	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:eine Portion zugeben	einen gezaehlten Teilwert zugeben	5/5	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_28: einen gezaehlten Teilwert zugeben.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
71	A1	f67r2	f67r2.28	2	A1:G071	am	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_28	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/2	am	Sternplatz A1_LEFT_LOCAL_FIELD_28: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest am.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
72	A1	f67r2	f67r2.29	1	A1:G072	ytody	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_29	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/5	ytody	Sternplatz A1_LEFT_LOCAL_FIELD_29: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest ytody.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
73	A1	f67r2	f67r2.29	2	A1:G073	saiin	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_29	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:Sollmaß	Sollwert oder Grad des bezeichneten Himmelsplatzes	5/5	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_29: Sollwert oder Grad des bezeichneten Himmelsplatzes.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
74	A1	f67r2	f67r2.30	1	A1:G074	ochol	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_30	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B07_OL_CONTINUE	im selben Ring, Band oder Satz fortsetzen	2/5	och	Sternplatz A1_LEFT_LOCAL_FIELD_30: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest och.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
75	A1	f67r2	f67r2.30	2	A1:G075	olol	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_30	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	COMPOSED_COMPONENT_BRIDGE	B07_OL_CONTINUE|B07_OL_CONTINUE	im selben Ring, Band oder Satz fortsetzen + im selben Ring, Band oder Satz fortsetzen	4/4	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_30: im selben Ring, Band oder Satz fortsetzen + im selben Ring, Band oder Satz fortsetzen.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
76	A1	f67r2	f67r2.31	1	A1:G076	opcholdy	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_31	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B07_OL_CONTINUE	im selben Ring, Band oder Satz fortsetzen	2/8	opch/dy	Sternplatz A1_LEFT_LOCAL_FIELD_31: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest opch/dy.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
77	A1	f67r2	f67r2.32	1	A1:G077	dosar	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_32	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B10_AR_SOURCE	Ausgangssektor, Ursprung oder Bezugswert	2/5	dos	Sternplatz A1_LEFT_LOCAL_FIELD_32: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest dos.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
78	A1	f67r2	f67r2.32	2	A1:G078	odas	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_32	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	LOCAL_ASTRO_NOMENCLATOR	LOCAL_NAME_OR_VALUE	gelerntes lokales Namen- oder Wertsegment	0/4	odas	Sternplatz A1_LEFT_LOCAL_FIELD_32: gelerntes lokales Namen- oder Wertsegment; lokaler Namensrest odas.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
79	A1	f67r2	f67r2.32	3	A1:G079	air	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_32	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B02_AIR_COURSE	Himmels-, Ring- oder Zeigerlauf	3/3	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_32: Himmels-, Ring- oder Zeigerlauf.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
80	A1	f67r2	f67r2.32	4	A1:G080	alaiin	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_32	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	COMPOSED_COMPONENT_BRIDGE	B09_AL_TARGET|B01_AIIN_VALUE	Zielsektor, Zielstern oder Zielfeld + Sollwert oder Grad eines Diagrammplatzes	6/6	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_32: Zielsektor, Zielstern oder Zielfeld + Sollwert oder Grad eines Diagrammplatzes.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
81	A1	f67r2	f67r2.33	1	A1:G081	dokan	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_33	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B05_OK_SET	Diagrammposten setzen oder aktivieren	2/5	d/an	Sternplatz A1_LEFT_LOCAL_FIELD_33: Diagrammposten setzen oder aktivieren; lokaler Namensrest d/an.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
82	A1	f67r2	f67r2.33	2	A1:G082	oear	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_33	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B10_AR_SOURCE	Ausgangssektor, Ursprung oder Bezugswert	2/4	oe	Sternplatz A1_LEFT_LOCAL_FIELD_33: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest oe.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
83	A1	f67r2	f67r2.33	3	A1:G083	odal	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_33	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B09_AL_TARGET	Zielsektor, Zielstern oder Zielfeld	2/4	od	Sternplatz A1_LEFT_LOCAL_FIELD_33: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest od.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
84	A1	f67r2	f67r2.34	1	A1:G084	ofar	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_34	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B10_AR_SOURCE	Ausgangssektor, Ursprung oder Bezugswert	2/4	of	Sternplatz A1_LEFT_LOCAL_FIELD_34: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest of.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
85	A1	f67r2	f67r2.34	2	A1:G085	oeoldan	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_34	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	COMPOSED_COMPONENT_BRIDGE	B07_OL_CONTINUE|B20_DAN_APPLY	im selben Ring, Band oder Satz fortsetzen + Bedingung oder Tabellenwert anwenden	5/7	oe	Sternplatz A1_LEFT_LOCAL_FIELD_34: im selben Ring, Band oder Satz fortsetzen + Bedingung oder Tabellenwert anwenden; lokaler Namensrest oe.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
86	A1	f67r2	f67r2.35	1	A1:G086	chol	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_35	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:fortsetzen	im selben Ring oder Band fortsetzen	4/4	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_35: im selben Ring oder Band fortsetzen.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
87	A1	f67r2	f67r2.35	2	A1:G087	giin	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_35	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B04_IIN_STAGE	Grad- oder Bedingungsstufe	3/4	g	Sternplatz A1_LEFT_LOCAL_FIELD_35: Grad- oder Bedingungsstufe; lokaler Namensrest g.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
88	A1	f67r2	f67r2.35	3	A1:G088	okol	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_35	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	COMPOSED_COMPONENT_BRIDGE	B05_OK_SET|B07_OL_CONTINUE	Diagrammposten setzen oder aktivieren + im selben Ring, Band oder Satz fortsetzen	4/4	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_35: Diagrammposten setzen oder aktivieren + im selben Ring, Band oder Satz fortsetzen.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
89	A1	f67r2	f67r2.36	1	A1:G089	ytor	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_36	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B08_OR_WORKSET	Bedingungs-, Tabellen- oder Wahlansatz	2/4	yt	Sternplatz A1_LEFT_LOCAL_FIELD_36: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest yt.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
90	A1	f67r2	f67r2.36	2	A1:G090	daiin	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_36	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:Sollmaß	Sollwert oder Grad des bezeichneten Himmelsplatzes	5/5	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_36: Sollwert oder Grad des bezeichneten Himmelsplatzes.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
91	A1	f67r2	f67r2.36	3	A1:G091	or	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_36	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	EXACT_PROSE_SURFACE_BRIDGE	EXACT:Ansatz	Bedingungs- oder Tabellensatz	2/2	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_36: Bedingungs- oder Tabellensatz.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
92	A1	f67r2	f67r2.37	1	A1:G092	ytoaiin	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_37	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	SINGLE_COMPONENT_BRIDGE	B01_AIIN_VALUE	Sollwert oder Grad eines Diagrammplatzes	4/7	yto	Sternplatz A1_LEFT_LOCAL_FIELD_37: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest yto.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
93	A1	f67r2	f67r2.38	1	A1:G093	otoldos	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_38	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	COMPOSED_COMPONENT_BRIDGE	B06_OT_NEXT|B07_OL_CONTINUE	naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen	4/7	dos	Sternplatz A1_LEFT_LOCAL_FIELD_38: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest dos.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
