packet_position	event_id	locus	statement_id	owner_de	surface	full_recipe	atomic_reading_de	pocket_core_recipe	specialist_recipe	specialist_roles	selected_by_desk	composite_junction_card	desk_action_de	final_inscription_by	whole_card_rule_de
69	E297	f83r.20	B3-S029	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	OK+E+DY	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
70	E298	f83r.20	B3-S030	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	qoky	OK+Y	ANSETZEN · DIES	OK+Y	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
71	E299	f83r.20	B3-S030	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	saiin	AIIN	MASS	AIIN	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
72	E300	f83r.22	B3-S030	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	schedair	CHD+AIR	UMSETZEN · LAUF	NONE	CHD+AIR	S02_PREPARATION_WET|S03_TRANSFER	S03_TRANSFER	YES	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
73	E301	f83r.22	B3-S030	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	otchedy	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	OT+DY	CHD	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
74	E302	f83r.22	B3-S031	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	OK+EE+DY	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
75	E303	f83r.22	B3-S032	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	chedain	CHD+AIN	UMSETZEN · PORTION	NONE	CHD+AIN	S02_PREPARATION_WET|S03_TRANSFER	S03_TRANSFER	YES	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
76	E304	f83r.22	B3-S032	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	chedy	CHD+Y	UMSETZEN · DIES	Y	CHD	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
77	E305	f83r.22	B3-S032	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	qotedaiin	OT+E+AIIN	DANACH · KURZ · MASS	OT+E+AIIN	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
78	E306	f83r.22	B3-S032	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	otaiin	OT+AIIN	DANACH · MASS	OT+AIIN	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
79	E307	f83r.22	B3-S032	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	otedy	OT+E+DY	DANACH · KURZ · SCHLUSS	OT+E+DY	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
80	E308	f83r.22	B3-S033	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	ldy	L+DY	WEITERLEITEN · SCHLUSS	DY	L	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
81	E309	f83r.24	B3-S034	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	soiiin	O+IIN	GANG · STUFE	O	IIN	S04_STATE_CONTROL	S04_STATE_CONTROL	NO	Ganze Zustandskarte waehlen; Grad und Schlussform gemeinsam pruefen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
82	E310	f83r.24	B3-S034	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	checthy	CTH+Y	BEREIT · DIES	Y	CTH	S04_STATE_CONTROL	S04_STATE_CONTROL	NO	Ganze Zustandskarte waehlen; Grad und Schlussform gemeinsam pruefen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
83	E311	f83r.24	B3-S034	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	chety	T+Y	EINTRAGEN · DIES	Y	T	S03_TRANSFER	S03_TRANSFER	NO	Ganze Transferkarte waehlen; fremden Komponentenhinweis mitlesen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
84	E312	f83r.24	B3-S034	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	otaiin	OT+AIIN	DANACH · MASS	OT+AIIN	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
85	E313	f83r.24	B3-S034	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	olsaly	OL+AL+Y	FORTSETZEN · ZIEL · DIES	OL+AL+Y	NONE	POCKET_CORE_ONLY	S01_MASTER_CORRECTOR	NO	Taschenkernkarte auf dem Entwurfsstreifen vormerken.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
86	E314	f83r.24	B3-S034	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	shedy	SHED+DY	ABSETZEN · SCHLUSS	DY	SHED	S04_STATE_CONTROL	S04_STATE_CONTROL	NO	Ganze Zustandskarte waehlen; Grad und Schlussform gemeinsam pruefen.	S01_MASTER_FINAL_COPY	Eine sichtbare Karte bleibt ungeteilt; kein Tisch schreibt nur ein Teilzeichen auf Pergament.
