unified_serial	page	unit_or_locus	source_group_identity	visible_identity	owner	construction	current_short_reading	selected_recipe_model	selected_article_reading_de
89	f56r	H5-S003	E089	kchey	H5	C03	Führe aus und beachte Dauer oder Endpunkt: diesen Posten kurz bearbeiten.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
90	f56r	H5-S003	E090	qokokchy	H5	C07	Führe es mit diesem laufenden Posten aus: erneut ansetzen.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
91	f56r	H5-S004	E091	okchy	H5	C07	Führe es mit diesem laufenden Posten aus: Posten zur Weiterbearbeitung ansetzen.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
92	f56r	H5-S004	E092	chokcheo	H5	C05	Führe es aus dem Vorrat oder am Ansatz aus: Auszug zugeben.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
93	f56r	H5-S004	E093	kchal	H5	C04	Führe es an der bezeichneten Stelle aus: an der Zielstelle bearbeiten.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
94	f56r	H5-S005	E094	sho	H5	C01	Setze die gelernte Fachkarte: Zutat.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
95	f56r	H5-S005	E095	chokchy	H5	C07	Führe es mit diesem laufenden Posten aus: Posten zur Weiterbearbeitung ansetzen.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
96	f56r	H5-S005	E096	kchoar	H5	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Auszug daraus.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
97	f56r	H5-S005	E097	sotodan	H5	C02	Danach oder in demselben Gang: danach anwenden.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
98	f56r	H5-S006	E098	otchey	H5	C02	Danach oder in demselben Gang: nächster Teilposten.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
99	f56r	H5-S006	E099	keol	H5	C02	Danach oder in demselben Gang: kurz weiterbearbeiten.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
100	f56r	H5-S006	E100	daiin	H5	C10	Setze Maß, Portion oder Stufe: Sollmaß.	M1_MEDICAL_MATERIA_RECIPE	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.
