global_running_ordinal	global_running_event_id	physical_page	source_panel	register	locus	source_order	source_statement_id	owner_de	surface	component_recipe	working_core_reading_de	portable_core_inventory	reading_layer	surface_status	admission_color	owner_class	owner_local_reading_de	back_projected_core_reading_de	roundtrip_exact	local_expansion_rule
1136	G407-E1136	f71v	f71v	CELESTIAL	f71v.18	1316	P1009-S049	dritte lokale Ringgruppe	kal	K+AL	GEBEN · ZIELORT	K|AL	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	LOKALE_RINGGRUPPE	WERT ZUORDNEN · ZIELPOSITION	GEBEN · ZIELORT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1137	G407-E1137	f72r	f72r1	CELESTIAL	f72r1.1	1317	P1009-S050	Tierkreis-Ringgruppe A	oteeo	OT+EE+O	DANACH · GRAD II · AUSFÜHRUNG	OT	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	NÄCHSTE POSITION · GRAD II · AUSFÜHRUNG	DANACH · GRAD II · AUSFÜHRUNG	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1138	G407-E1138	f72r	f72r1	CELESTIAL	f72r1.1	1318	P1009-S050	Tierkreis-Ringgruppe A	cthey	CH+T+E+Y	NEHMEN · EINSTELLEN · GRAD I · POSTEN	CH|T|Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION AUFNEHMEN · WERT EINSTELLEN · GRAD I · POSITIONSPOSTEN	NEHMEN · EINSTELLEN · GRAD I · POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1139	G407-E1139	f72r	f72r1	CELESTIAL	f72r1.1	1319	P1009-S050	Tierkreis-Ringgruppe A	chlol	L+OL	VERBINDUNG · FORTSETZEN	L|OL	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	RINGVERBINDUNG · RINGFOLGE FORTSETZEN	VERBINDUNG · FORTSETZEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1140	G407-E1140	f72r	f72r1	CELESTIAL	f72r1.1	1320	P1009-S050	Tierkreis-Ringgruppe A	cheol	CH+E+O+L	NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG	CH|L	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION AUFNEHMEN · GRAD I · AUSFÜHRUNG · RINGVERBINDUNG	NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1141	G407-E1141	f72r	f72r1	CELESTIAL	f72r1.1	1321	P1009-S050	Tierkreis-Ringgruppe A	olcheor	OL+CH+E+O+DY	FORTSETZEN · NEHMEN · GRAD I · AUSFÜHRUNG · SCHLUSS	OL|CH	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	RINGFOLGE FORTSETZEN · POSITION AUFNEHMEN · GRAD I · AUSFÜHRUNG · SCHLUSS	FORTSETZEN · NEHMEN · GRAD I · AUSFÜHRUNG · SCHLUSS	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1142	G407-E1142	f72r	f72r1	CELESTIAL	f72r1.1	1322	P1009-S051	Tierkreis-Ringgruppe A	al	AL	ZIELORT	AL	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	ZIELPOSITION	ZIELORT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1143	G407-E1143	f72r	f72r1	CELESTIAL	f72r1.1	1323	P1009-S051	Tierkreis-Ringgruppe A	oteey	OT+EE+Y	DANACH · GRAD II · POSTEN	OT|Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	NÄCHSTE POSITION · GRAD II · POSITIONSPOSTEN	DANACH · GRAD II · POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1144	G407-E1144	f72r	f72r1	CELESTIAL	f72r1.1	1324	P1009-S051	Tierkreis-Ringgruppe A	chedal	CHD+AL	BEARBEITEN · ZIELORT	CHD|AL	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	EINTRAG BEARBEITEN · ZIELPOSITION	BEARBEITEN · ZIELORT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1145	G407-E1145	f72r	f72r1	CELESTIAL	f72r1.1	1325	P1009-S051	Tierkreis-Ringgruppe A	oteedy	OT+EE+DY	DANACH · GRAD II · SCHLUSS	OT	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	NÄCHSTE POSITION · GRAD II · SCHLUSS	DANACH · GRAD II · SCHLUSS	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1146	G407-E1146	f72r	f72r1	CELESTIAL	f72r1.1	1326	P1009-S052	Tierkreis-Ringgruppe A	okeodaly	OK+E+O+D_ADDR+AL+Y	SETZEN · GRAD I · AUSFÜHRUNG · HIER · ZIELORT · POSTEN	OK|AL|Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION SETZEN · GRAD I · AUSFÜHRUNG · HIER · ZIELPOSITION · POSITIONSPOSTEN	SETZEN · GRAD I · AUSFÜHRUNG · HIER · ZIELORT · POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1147	G407-E1147	f72r	f72r1	CELESTIAL	f72r1.1	1327	P1009-S052	Tierkreis-Ringgruppe A	chol	OL	FORTSETZEN	OL	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	RINGFOLGE FORTSETZEN	FORTSETZEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1148	G407-E1148	f72r	f72r1	CELESTIAL	f72r1.1	1328	P1009-S052	Tierkreis-Ringgruppe A	chokeol	OK+E+OL	SETZEN · GRAD I · FORTSETZEN	OK|OL	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION SETZEN · GRAD I · RINGFOLGE FORTSETZEN	SETZEN · GRAD I · FORTSETZEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1149	G407-E1149	f72r	f72r1	CELESTIAL	f72r1.1	1329	P1009-S052	Tierkreis-Ringgruppe A	cheoky	CH+E+O+K+Y	NEHMEN · GRAD I · AUSFÜHRUNG · GEBEN · POSTEN	CH|K|Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION AUFNEHMEN · GRAD I · AUSFÜHRUNG · WERT ZUORDNEN · POSITIONSPOSTEN	NEHMEN · GRAD I · AUSFÜHRUNG · GEBEN · POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1150	G407-E1150	f72r	f72r1	CELESTIAL	f72r1.1	1330	P1009-S052	Tierkreis-Ringgruppe A	okaiir	OK+IIN+R	SETZEN · STUFE · MARKIEREN	OK|R	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION SETZEN · STUFE · POSITION MARKIEREN	SETZEN · STUFE · MARKIEREN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1151	G407-E1151	f72r	f72r1	CELESTIAL	f72r1.1	1331	P1009-S052	Tierkreis-Ringgruppe A	okeedy	OK+EE+DY	SETZEN · GRAD II · SCHLUSS	OK	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION SETZEN · GRAD II · SCHLUSS	SETZEN · GRAD II · SCHLUSS	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1152	G407-E1152	f72r	f72r1	CELESTIAL	f72r1.1	1332	P1009-S053	Tierkreis-Ringgruppe A	sheoltey	SH+E+OL+T+E+Y	HALTEN · GRAD I · FORTSETZEN · EINSTELLEN · GRAD I · POSTEN	SH|OL|T|Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION HALTEN · GRAD I · RINGFOLGE FORTSETZEN · WERT EINSTELLEN · GRAD I · POSITIONSPOSTEN	HALTEN · GRAD I · FORTSETZEN · EINSTELLEN · GRAD I · POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1153	G407-E1153	f72r	f72r1	CELESTIAL	f72r1.1	1333	P1009-S053	Tierkreis-Ringgruppe A	cheor	CH+E+O+R	NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN	CH|R	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION AUFNEHMEN · GRAD I · AUSFÜHRUNG · POSITION MARKIEREN	NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1154	G407-E1154	f72r	f72r1	CELESTIAL	f72r1.1	1334	P1009-S053	Tierkreis-Ringgruppe A	aiin	AIIN	WERT	AIIN	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITIONSWERT	WERT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1155	G407-E1155	f72r	f72r1	CELESTIAL	f72r1.1	1335	P1009-S053	Tierkreis-Ringgruppe A	ydal	Y+AL	POSTEN · ZIELORT	Y|AL	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITIONSPOSTEN · ZIELPOSITION	POSTEN · ZIELORT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1156	G407-E1156	f72r	f72r1	CELESTIAL	f72r1.1	1336	P1009-S053	Tierkreis-Ringgruppe A	okochey	OK+O+Y	SETZEN · AUSFÜHRUNG · POSTEN	OK|Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION SETZEN · AUSFÜHRUNG · POSITIONSPOSTEN	SETZEN · AUSFÜHRUNG · POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1157	G407-E1157	f72r	f72r1	CELESTIAL	f72r1.1	1337	P1009-S053	Tierkreis-Ringgruppe A	sho	SH+O	HALTEN · AUSFÜHRUNG	SH	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION HALTEN · AUSFÜHRUNG	HALTEN · AUSFÜHRUNG	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1158	G407-E1158	f72r	f72r1	CELESTIAL	f72r1.1	1338	P1009-S053	Tierkreis-Ringgruppe A	okalshey	S+A_ADDR+L+SH+E+Y	WÄHLEN · HIER · VERBINDUNG · HALTEN · GRAD I · POSTEN	S|L|SH|Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION WÄHLEN · HIER · RINGVERBINDUNG · POSITION HALTEN · GRAD I · POSITIONSPOSTEN	WÄHLEN · HIER · VERBINDUNG · HALTEN · GRAD I · POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1159	G407-E1159	f72r	f72r1	CELESTIAL	f72r1.1	1339	P1009-S053	Tierkreis-Ringgruppe A	shol	SH+OL	HALTEN · FORTSETZEN	SH|OL	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION HALTEN · RINGFOLGE FORTSETZEN	HALTEN · FORTSETZEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1160	G407-E1160	f72r	f72r1	CELESTIAL	f72r1.1	1340	P1009-S053	Tierkreis-Ringgruppe A	chalaiin	AL+AIIN	ZIELORT · WERT	AL|AIIN	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	ZIELPOSITION · POSITIONSWERT	ZIELORT · WERT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1161	G407-E1161	f72r	f72r1	CELESTIAL	f72r1.1	1341	P1009-S053	Tierkreis-Ringgruppe A	chekeol	CH+K+E+OL	NEHMEN · GEBEN · GRAD I · FORTSETZEN	CH|K|OL	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION AUFNEHMEN · WERT ZUORDNEN · GRAD I · RINGFOLGE FORTSETZEN	NEHMEN · GEBEN · GRAD I · FORTSETZEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1162	G407-E1162	f72r	f72r1	CELESTIAL	f72r1.1	1342	P1009-S053	Tierkreis-Ringgruppe A	kol	K+OL	GEBEN · FORTSETZEN	K|OL	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	WERT ZUORDNEN · RINGFOLGE FORTSETZEN	GEBEN · FORTSETZEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1163	G407-E1163	f72r	f72r1	CELESTIAL	f72r1.1	1343	P1009-S053	Tierkreis-Ringgruppe A	otos	OT+O+S	DANACH · AUSFÜHRUNG · WÄHLEN	OT|S	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	NÄCHSTE POSITION · AUSFÜHRUNG · POSITION WÄHLEN	DANACH · AUSFÜHRUNG · WÄHLEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1164	G407-E1164	f72r	f72r1	CELESTIAL	f72r1.1	1344	P1009-S053	Tierkreis-Ringgruppe A	ar	AR	AUSGANG	AR	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	AUSGANGSPOSITION	AUSGANG	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1165	G407-E1165	f72r	f72r1	CELESTIAL	f72r1.1	1345	P1009-S053	Tierkreis-Ringgruppe A	aiin	AIIN	WERT	AIIN	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITIONSWERT	WERT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1166	G407-E1166	f72r	f72r1	CELESTIAL	f72r1.1	1346	P1009-S053	Tierkreis-Ringgruppe A	otam	OT+AM_ADDR	DANACH · HIER	OT	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	NÄCHSTE POSITION · HIER	DANACH · HIER	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1167	G407-E1167	f72r	f72r1	CELESTIAL	f72r1.1	1347	P1009-S053	Tierkreis-Ringgruppe A	otam	OT+AM_ADDR	DANACH · HIER	OT	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	NÄCHSTE POSITION · HIER	DANACH · HIER	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1168	G407-E1168	f72r	f72r1	CELESTIAL	f72r1.1	1348	P1009-S053	Tierkreis-Ringgruppe A	chotam	CH+OT+AM_ADDR	NEHMEN · DANACH · HIER	CH|OT	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION AUFNEHMEN · NÄCHSTE POSITION · HIER	NEHMEN · DANACH · HIER	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1169	G407-E1169	f72r	f72r1	CELESTIAL	f72r1.1	1349	P1009-S053	Tierkreis-Ringgruppe A	sal	S+AL	WÄHLEN · ZIELORT	S|AL	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION WÄHLEN · ZIELPOSITION	WÄHLEN · ZIELORT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1170	G407-E1170	f72r	f72r1	CELESTIAL	f72r1.1	1350	P1009-S053	Tierkreis-Ringgruppe A	okeo	OK+E+O	SETZEN · GRAD I · AUSFÜHRUNG	OK	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION SETZEN · GRAD I · AUSFÜHRUNG	SETZEN · GRAD I · AUSFÜHRUNG	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1171	G407-E1171	f72r	f72r1	CELESTIAL	f72r1.1	1351	P1009-S053	Tierkreis-Ringgruppe A	dar	D_ADDR+AR	HIER · AUSGANG	AR	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	HIER · AUSGANGSPOSITION	HIER · AUSGANG	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1172	G407-E1172	f72r	f72r1	CELESTIAL	f72r1.1	1352	P1009-S053	Tierkreis-Ringgruppe A	ar	AR	AUSGANG	AR	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	AUSGANGSPOSITION	AUSGANG	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1173	G407-E1173	f72r	f72r1	CELESTIAL	f72r1.1	1353	P1009-S053	Tierkreis-Ringgruppe A	adal	A_ADDR+AL	HIER · ZIELORT	AL	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	HIER · ZIELPOSITION	HIER · ZIELORT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1174	G407-E1174	f72r	f72r1	CELESTIAL	f72r1.1	1354	P1009-S053	Tierkreis-Ringgruppe A	dar	D_ADDR+AR	HIER · AUSGANG	AR	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	HIER · AUSGANGSPOSITION	HIER · AUSGANG	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1175	G407-E1175	f72r	f72r1	CELESTIAL	f72r1.1	1355	P1009-S053	Tierkreis-Ringgruppe A	okeeas	OK+EE+Y	SETZEN · GRAD II · POSTEN	OK|Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION SETZEN · GRAD II · POSITIONSPOSTEN	SETZEN · GRAD II · POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1176	G407-E1176	f72r	f72r1	CELESTIAL	f72r1.1	1356	P1009-S053	Tierkreis-Ringgruppe A	aiin	AIIN	WERT	AIIN	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITIONSWERT	WERT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1177	G407-E1177	f72r	f72r1	CELESTIAL	f72r1.1	1357	P1009-S053	Tierkreis-Ringgruppe A	oteey	OT+EE+Y	DANACH · GRAD II · POSTEN	OT|Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	NÄCHSTE POSITION · GRAD II · POSITIONSPOSTEN	DANACH · GRAD II · POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1178	G407-E1178	f72r	f72r1	CELESTIAL	f72r1.1	1358	P1009-S053	Tierkreis-Ringgruppe A	okaiin	OK+AIIN	SETZEN · WERT	OK|AIIN	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION SETZEN · POSITIONSWERT	SETZEN · WERT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1179	G407-E1179	f72r	f72r1	CELESTIAL	f72r1.12	1376	P1009-S054	Tierkreis-Ringgruppe B	oteodar	OT+E+O+D_ADDR+AR	DANACH · GRAD I · AUSFÜHRUNG · HIER · AUSGANG	OT|AR	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	NÄCHSTE POSITION · GRAD I · AUSFÜHRUNG · HIER · AUSGANGSPOSITION	DANACH · GRAD I · AUSFÜHRUNG · HIER · AUSGANG	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1180	G407-E1180	f72r	f72r1	CELESTIAL	f72r1.12	1377	P1009-S054	Tierkreis-Ringgruppe B	ytey	T+E+Y	EINSTELLEN · GRAD I · POSTEN	T|Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	WERT EINSTELLEN · GRAD I · POSITIONSPOSTEN	EINSTELLEN · GRAD I · POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1181	G407-E1181	f72r	f72r1	CELESTIAL	f72r1.12	1378	P1009-S054	Tierkreis-Ringgruppe B	otey	OT+E+Y	DANACH · GRAD I · POSTEN	OT|Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	NÄCHSTE POSITION · GRAD I · POSITIONSPOSTEN	DANACH · GRAD I · POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1182	G407-E1182	f72r	f72r1	CELESTIAL	f72r1.12	1379	P1009-S054	Tierkreis-Ringgruppe B	shetey	SH+E+T+E+Y	HALTEN · GRAD I · EINSTELLEN · GRAD I · POSTEN	SH|T|Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION HALTEN · GRAD I · WERT EINSTELLEN · GRAD I · POSITIONSPOSTEN	HALTEN · GRAD I · EINSTELLEN · GRAD I · POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1183	G407-E1183	f72r	f72r1	CELESTIAL	f72r1.12	1380	P1009-S054	Tierkreis-Ringgruppe B	chokshor	OK+OR	SETZEN · EINHEIT	OK|OR	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION SETZEN · POSITIONSEINHEIT	SETZEN · EINHEIT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
1184	G407-E1184	f72r	f72r1	CELESTIAL	f72r1.12	1381	P1009-S054	Tierkreis-Ringgruppe B	okalal	OK+AL+AL	SETZEN · ZIELORT · ZIELORT	OK|AL|AL	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	PASS1026_SELECTED_RECIPE	GREEN_SELECTED_BASE	TIERKREISRING	POSITION SETZEN · ZIELPOSITION · ZIELPOSITION	SETZEN · ZIELORT · ZIELORT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
