stream_ordinal	event_id	statement_id	physical_page	register	owner_de	surface	component_recipe	intake_tier	ordered_literal_reading_de	order_safe_clause_de	dual_channel_reading_de	state_and_clause_match_gdt438
997	G407-E0997	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	qofair	CARRIER_Q+O+LOCAL_CHAR_F+AIR	T0_EXACT_OBSERVED	BEGINNMARKER · AUSFÜHRUNG · HIER · BAHN	Im laufenden Gang ordne den Positionswert [wie zuvor] zu; entlang der Ringbahn; als neuen Einsatz und als Ausführung; an der bezeichneten Stelle.	Kernfolge: BEGINNMARKER · AUSFÜHRUNG · HIER · BAHN. Im laufenden Gang ordne den Positionswert [wie zuvor] zu; entlang der Ringbahn; als neuen Einsatz und als Ausführung; an der bezeichneten Stelle.	YES
998	G407-E0998	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ypair	Y+P+AIR	T0_EXACT_OBSERVED	POSTEN · EINSETZEN · BAHN	Setze den Positionsposten ein; entlang der Ringbahn.	Kernfolge: POSTEN · EINSETZEN · BAHN. Setze den Positionsposten ein; entlang der Ringbahn.	YES
999	G407-E0999	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ykoaiin	Y+K+O+AIIN	T0_EXACT_OBSERVED	POSTEN · GEBEN · AUSFÜHRUNG · WERT	Ordne den Positionsposten und den Positionswert zu; als Ausführung.	Kernfolge: POSTEN · GEBEN · AUSFÜHRUNG · WERT. Ordne den Positionsposten und den Positionswert zu; als Ausführung.	YES
1000	G407-E1000	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ydoly	Y+D_ADDR+OL+Y	T0_EXACT_OBSERVED	POSTEN · HIER · FORTSETZEN · POSTEN	Weiter im laufenden Gang ordne den Positionsposten [außen] und den Positionsposten [innen] zu; an der bezeichneten Stelle.	Kernfolge: POSTEN · HIER · FORTSETZEN · POSTEN. Weiter im laufenden Gang ordne den Positionsposten [außen] und den Positionsposten [innen] zu; an der bezeichneten Stelle.	YES
1001	G407-E1001	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ytalchos	Y+T+AL+CH+O+S	T0_EXACT_OBSERVED	POSTEN · EINSTELLEN · ZIELORT · NEHMEN · AUSFÜHRUNG · WÄHLEN	Stelle den Positionsposten ein, nimm den Positionsposten auf und wähle den Positionsposten; zur Zielposition; als Ausführung.	Kernfolge: POSTEN · EINSTELLEN · ZIELORT · NEHMEN · AUSFÜHRUNG · WÄHLEN. Stelle den Positionsposten ein, nimm den Positionsposten auf und wähle den Positionsposten; zur Zielposition; als Ausführung.	YES
1002	G407-E1002	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	oly	OL+Y	T0_EXACT_OBSERVED	FORTSETZEN · POSTEN	Weiter im laufenden Gang wähle den Positionsposten.	Kernfolge: FORTSETZEN · POSTEN. Weiter im laufenden Gang wähle den Positionsposten.	YES
1003	G407-E1003	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	okey	OK+E+Y	T0_EXACT_OBSERVED	SETZEN · GRAD I · POSTEN	Setze den Positionsposten; auf Grad I.	Kernfolge: SETZEN · GRAD I · POSTEN. Setze den Positionsposten; auf Grad I.	YES
1004	G407-E1004	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	sshey	S+SH+E+Y	T0_EXACT_OBSERVED	WÄHLEN · HALTEN · GRAD I · POSTEN	Wähle den Positionsposten und halte den Positionsposten; auf Grad I.	Kernfolge: WÄHLEN · HALTEN · GRAD I · POSTEN. Wähle den Positionsposten und halte den Positionsposten; auf Grad I.	YES
1005	G407-E1005	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	sy	Y	T0_EXACT_OBSERVED	POSTEN	Im laufenden Gang halte den Positionsposten.	Kernfolge: POSTEN. Im laufenden Gang halte den Positionsposten.	YES
1006	G407-E1006	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	shees	SH+EE+S	T0_EXACT_OBSERVED	HALTEN · GRAD II · WÄHLEN	Halte den Positionsposten [wie zuvor] und wähle den Positionsposten [wie zuvor]; auf Grad II.	Kernfolge: HALTEN · GRAD II · WÄHLEN. Halte den Positionsposten [wie zuvor] und wähle den Positionsposten [wie zuvor]; auf Grad II.	YES
1007	G407-E1007	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	qeykeey	CARRIER_Q+E+Y+K+EE+Y	T0_EXACT_OBSERVED	BEGINNMARKER · GRAD I · POSTEN · GEBEN · GRAD II · POSTEN	Ordne den Positionsposten [außen] und den Positionsposten [innen] zu; als neuen Einsatz, auf Grad I und auf Grad II.	Kernfolge: BEGINNMARKER · GRAD I · POSTEN · GEBEN · GRAD II · POSTEN. Ordne den Positionsposten [außen] und den Positionsposten [innen] zu; als neuen Einsatz, auf Grad I und auf Grad II.	YES
1008	G407-E1008	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ykchey	Y+K+CH+E+Y	T0_EXACT_OBSERVED	POSTEN · GEBEN · NEHMEN · GRAD I · POSTEN	Ordne den Positionsposten [außen] und den Positionsposten [innen] zu und nimm den Positionsposten [außen] und den Positionsposten [innen] auf; auf Grad I.	Kernfolge: POSTEN · GEBEN · NEHMEN · GRAD I · POSTEN. Ordne den Positionsposten [außen] und den Positionsposten [innen] zu und nimm den Positionsposten [außen] und den Positionsposten [innen] auf; auf Grad I.	YES
1009	G407-E1009	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ykchey	Y+K+CH+E+Y	T0_EXACT_OBSERVED	POSTEN · GEBEN · NEHMEN · GRAD I · POSTEN	Ordne den Positionsposten [außen] und den Positionsposten [innen] zu und nimm den Positionsposten [außen] und den Positionsposten [innen] auf; auf Grad I.	Kernfolge: POSTEN · GEBEN · NEHMEN · GRAD I · POSTEN. Ordne den Positionsposten [außen] und den Positionsposten [innen] zu und nimm den Positionsposten [außen] und den Positionsposten [innen] auf; auf Grad I.	YES
1010	G407-E1010	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	qokeochy	OK+E+O+CH+Y	T0_EXACT_OBSERVED	SETZEN · GRAD I · AUSFÜHRUNG · NEHMEN · POSTEN	Setze den Positionsposten und nimm den Positionsposten auf; auf Grad I und als Ausführung.	Kernfolge: SETZEN · GRAD I · AUSFÜHRUNG · NEHMEN · POSTEN. Setze den Positionsposten und nimm den Positionsposten auf; auf Grad I und als Ausführung.	YES
1011	G407-E1011	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	oaiin	O+AIIN	T0_EXACT_OBSERVED	AUSFÜHRUNG · WERT	Im laufenden Gang nimm den Positionswert auf; als Ausführung.	Kernfolge: AUSFÜHRUNG · WERT. Im laufenden Gang nimm den Positionswert auf; als Ausführung.	YES
1012	G407-E1012	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	okol	OK+OL	T0_EXACT_OBSERVED	SETZEN · FORTSETZEN	Weiter setze den Positionswert [wie zuvor].	Kernfolge: SETZEN · FORTSETZEN. Weiter setze den Positionswert [wie zuvor].	YES
1013	G407-E1013	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ar	AR	T0_EXACT_OBSERVED	AUSGANG	Im laufenden Gang setze den Positionswert [wie zuvor]; von der Ausgangsposition.	Kernfolge: AUSGANG. Im laufenden Gang setze den Positionswert [wie zuvor]; von der Ausgangsposition.	YES
1014	G407-E1014	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	olar	OL+AR	T0_EXACT_OBSERVED	FORTSETZEN · AUSGANG	Weiter im laufenden Gang setze den Positionswert [wie zuvor]; von der Ausgangsposition.	Kernfolge: FORTSETZEN · AUSGANG. Weiter im laufenden Gang setze den Positionswert [wie zuvor]; von der Ausgangsposition.	YES
1015	G407-E1015	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	yshey	Y+SH+E+Y	T0_EXACT_OBSERVED	POSTEN · HALTEN · GRAD I · POSTEN	Halte den Positionsposten [außen] und den Positionsposten [innen]; auf Grad I.	Kernfolge: POSTEN · HALTEN · GRAD I · POSTEN. Halte den Positionsposten [außen] und den Positionsposten [innen]; auf Grad I.	YES
1016	G407-E1016	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	qokeeody	OK+EE+O+D_ADDR+Y	T0_EXACT_OBSERVED	SETZEN · GRAD II · AUSFÜHRUNG · HIER · POSTEN	Setze den Positionsposten; auf Grad II und als Ausführung; an der bezeichneten Stelle.	Kernfolge: SETZEN · GRAD II · AUSFÜHRUNG · HIER · POSTEN. Setze den Positionsposten; auf Grad II und als Ausführung; an der bezeichneten Stelle.	YES
1017	G407-E1017	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	cheos	CH+E+O+S	T0_EXACT_OBSERVED	NEHMEN · GRAD I · AUSFÜHRUNG · WÄHLEN	Nimm den Positionsposten [wie zuvor] auf und wähle den Positionsposten [wie zuvor]; auf Grad I und als Ausführung.	Kernfolge: NEHMEN · GRAD I · AUSFÜHRUNG · WÄHLEN. Nimm den Positionsposten [wie zuvor] auf und wähle den Positionsposten [wie zuvor]; auf Grad I und als Ausführung.	YES
1018	G407-E1018	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	oeeos	O+EE+O+S	T0_EXACT_OBSERVED	AUSFÜHRUNG · GRAD II · AUSFÜHRUNG · WÄHLEN	Wähle den Positionsposten [wie zuvor]; als Ausführung, auf Grad II und als Ausführung.	Kernfolge: AUSFÜHRUNG · GRAD II · AUSFÜHRUNG · WÄHLEN. Wähle den Positionsposten [wie zuvor]; als Ausführung, auf Grad II und als Ausführung.	YES
1019	G407-E1019	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	qockhy	CARRIER_Q+O+CH+K+Y	T0_EXACT_OBSERVED	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · GEBEN · POSTEN	Nimm den Positionsposten auf und ordne den Positionsposten zu; als neuen Einsatz und als Ausführung.	Kernfolge: BEGINNMARKER · AUSFÜHRUNG · NEHMEN · GEBEN · POSTEN. Nimm den Positionsposten auf und ordne den Positionsposten zu; als neuen Einsatz und als Ausführung.	YES
1020	G407-E1020	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	chos	CH+O+S	T0_EXACT_OBSERVED	NEHMEN · AUSFÜHRUNG · WÄHLEN	Nimm den Positionsposten [wie zuvor] auf und wähle den Positionsposten [wie zuvor]; als Ausführung.	Kernfolge: NEHMEN · AUSFÜHRUNG · WÄHLEN. Nimm den Positionsposten [wie zuvor] auf und wähle den Positionsposten [wie zuvor]; als Ausführung.	YES
1021	G407-E1021	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	aiin	AIIN	T0_EXACT_OBSERVED	WERT	Im laufenden Gang wähle den Positionswert.	Kernfolge: WERT. Im laufenden Gang wähle den Positionswert.	YES
1022	G407-E1022	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	okeeody	OK+EE+O+D_ADDR+Y	T0_EXACT_OBSERVED	SETZEN · GRAD II · AUSFÜHRUNG · HIER · POSTEN	Setze den Positionsposten; auf Grad II und als Ausführung; an der bezeichneten Stelle.	Kernfolge: SETZEN · GRAD II · AUSFÜHRUNG · HIER · POSTEN. Setze den Positionsposten; auf Grad II und als Ausführung; an der bezeichneten Stelle.	YES
1023	G407-E1023	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	qokoaiin	OK+O+AIIN	T0_EXACT_OBSERVED	SETZEN · AUSFÜHRUNG · WERT	Setze den Positionswert; als Ausführung.	Kernfolge: SETZEN · AUSFÜHRUNG · WERT. Setze den Positionswert; als Ausführung.	YES
1024	G407-E1024	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	odain	O+D_ADDR+AIN	T0_EXACT_OBSERVED	AUSFÜHRUNG · HIER · ANTEIL	Im laufenden Gang setze den Sektoranteil; als Ausführung; an der bezeichneten Stelle.	Kernfolge: AUSFÜHRUNG · HIER · ANTEIL. Im laufenden Gang setze den Sektoranteil; als Ausführung; an der bezeichneten Stelle.	YES
1025	G407-E1025	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ar	AR	T0_EXACT_OBSERVED	AUSGANG	Im laufenden Gang setze den Sektoranteil [wie zuvor]; von der Ausgangsposition.	Kernfolge: AUSGANG. Im laufenden Gang setze den Sektoranteil [wie zuvor]; von der Ausgangsposition.	YES
1026	G407-E1026	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	air	AIR	T0_EXACT_OBSERVED	BAHN	Im laufenden Gang setze den Sektoranteil [wie zuvor]; entlang der Ringbahn.	Kernfolge: BAHN. Im laufenden Gang setze den Sektoranteil [wie zuvor]; entlang der Ringbahn.	YES
1027	G407-E1027	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ay	A_ADDR+Y	T0_EXACT_OBSERVED	HIER · POSTEN	Im laufenden Gang setze den Positionsposten; an der bezeichneten Stelle.	Kernfolge: HIER · POSTEN. Im laufenden Gang setze den Positionsposten; an der bezeichneten Stelle.	YES
1028	G407-E1028	P1009-S042	f68r1	CELESTIAL	mehrteilige Sternstellentafel	shokchy	SH+OK+CH+Y	T0_EXACT_OBSERVED	HALTEN · SETZEN · NEHMEN · POSTEN	Halte den Positionsposten, setze den Positionsposten und nimm den Positionsposten auf.	Kernfolge: HALTEN · SETZEN · NEHMEN · POSTEN. Halte den Positionsposten, setze den Positionsposten und nimm den Positionsposten auf.	YES
1029	G407-E1029	P1009-S042	f68r1	CELESTIAL	mehrteilige Sternstellentafel	chteey	CH+T+EE+Y	T0_EXACT_OBSERVED	NEHMEN · EINSTELLEN · GRAD II · POSTEN	Nimm den Positionsposten auf und stelle den Positionsposten ein; auf Grad II.	Kernfolge: NEHMEN · EINSTELLEN · GRAD II · POSTEN. Nimm den Positionsposten auf und stelle den Positionsposten ein; auf Grad II.	YES
1030	G407-E1030	P1009-S042	f68r1	CELESTIAL	mehrteilige Sternstellentafel	choteey	CH+OT+EE+Y	T0_EXACT_OBSERVED	NEHMEN · DANACH · GRAD II · POSTEN	Danach nimm den Positionsposten auf; auf Grad II.	Kernfolge: NEHMEN · DANACH · GRAD II · POSTEN. Danach nimm den Positionsposten auf; auf Grad II.	YES
1031	G407-E1031	P1009-S042	f68r1	CELESTIAL	mehrteilige Sternstellentafel	cphol	CH+P+OL	T0_EXACT_OBSERVED	NEHMEN · EINSETZEN · FORTSETZEN	Weiter nimm den Positionsposten [wie zuvor] auf und setze den Positionsposten [wie zuvor] ein.	Kernfolge: NEHMEN · EINSETZEN · FORTSETZEN. Weiter nimm den Positionsposten [wie zuvor] auf und setze den Positionsposten [wie zuvor] ein.	YES
1032	G407-E1032	P1009-S042	f68r1	CELESTIAL	mehrteilige Sternstellentafel	cheor	CH+E+O+R	T0_EXACT_OBSERVED	NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN	Nimm den Positionsposten [wie zuvor] auf und markiere den Positionsposten [wie zuvor]; auf Grad I und als Ausführung.	Kernfolge: NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN. Nimm den Positionsposten [wie zuvor] auf und markiere den Positionsposten [wie zuvor]; auf Grad I und als Ausführung.	YES
1033	G407-E1033	P1009-S042	f68r1	CELESTIAL	mehrteilige Sternstellentafel	opcheeol	O+P+CH+EE+OL	T0_EXACT_OBSERVED	AUSFÜHRUNG · EINSETZEN · NEHMEN · GRAD II · FORTSETZEN	Weiter setze den Positionsposten [wie zuvor] ein und nimm den Positionsposten [wie zuvor] auf; als Ausführung und auf Grad II.	Kernfolge: AUSFÜHRUNG · EINSETZEN · NEHMEN · GRAD II · FORTSETZEN. Weiter setze den Positionsposten [wie zuvor] ein und nimm den Positionsposten [wie zuvor] auf; als Ausführung und auf Grad II.	YES
1034	G407-E1034	P1009-S042	f68r1	CELESTIAL	mehrteilige Sternstellentafel	otor	OT+OR	T0_EXACT_OBSERVED	DANACH · EINHEIT	Danach im laufenden Gang nimm die Positionseinheit auf.	Kernfolge: DANACH · EINHEIT. Danach im laufenden Gang nimm die Positionseinheit auf.	YES
1035	G407-E1035	P1009-S042	f68r1	CELESTIAL	mehrteilige Sternstellentafel	choctheeey	CH+O+CH+T+EEE+Y	T0_EXACT_OBSERVED	NEHMEN · AUSFÜHRUNG · NEHMEN · EINSTELLEN · GRAD III · POSTEN	Nimm den Positionsposten auf, nimm den Positionsposten auf und stelle den Positionsposten ein; als Ausführung und auf Grad III.	Kernfolge: NEHMEN · AUSFÜHRUNG · NEHMEN · EINSTELLEN · GRAD III · POSTEN. Nimm den Positionsposten auf, nimm den Positionsposten auf und stelle den Positionsposten ein; als Ausführung und auf Grad III.	YES
1036	G407-E1036	P1009-S042	f68r1	CELESTIAL	mehrteilige Sternstellentafel	okchoal	OK+CH+O+AL	T0_EXACT_OBSERVED	SETZEN · NEHMEN · AUSFÜHRUNG · ZIELORT	Setze den Positionsposten [wie zuvor] und nimm den Positionsposten [wie zuvor] auf; zur Zielposition; als Ausführung.	Kernfolge: SETZEN · NEHMEN · AUSFÜHRUNG · ZIELORT. Setze den Positionsposten [wie zuvor] und nimm den Positionsposten [wie zuvor] auf; zur Zielposition; als Ausführung.	YES
1037	G407-E1037	P1009-S042	f68r1	CELESTIAL	mehrteilige Sternstellentafel	tochso	T+O+CH+S+O	T0_EXACT_OBSERVED	EINSTELLEN · AUSFÜHRUNG · NEHMEN · WÄHLEN · AUSFÜHRUNG	Stelle den Positionsposten [wie zuvor] ein, nimm den Positionsposten [wie zuvor] auf und wähle den Positionsposten [wie zuvor]; als Ausführung und als Ausführung.	Kernfolge: EINSTELLEN · AUSFÜHRUNG · NEHMEN · WÄHLEN · AUSFÜHRUNG. Stelle den Positionsposten [wie zuvor] ein, nimm den Positionsposten [wie zuvor] auf und wähle den Positionsposten [wie zuvor]; als Ausführung und als Ausführung.	YES
1038	G407-E1038	P1009-S042	f68r1	CELESTIAL	mehrteilige Sternstellentafel	otchl	OT+CH+L	T0_EXACT_OBSERVED	DANACH · NEHMEN · VERBINDUNG	Danach nimm den Positionsposten [wie zuvor] auf; über die Ringverbindung.	Kernfolge: DANACH · NEHMEN · VERBINDUNG. Danach nimm den Positionsposten [wie zuvor] auf; über die Ringverbindung.	YES
1039	G407-E1039	P1009-S042	f68r1	CELESTIAL	mehrteilige Sternstellentafel	qokeeedy	OK+EEE+DY	T0_EXACT_OBSERVED	SETZEN · GRAD III · SCHLUSS	Setze den Positionsposten [wie zuvor]; auf Grad III; schließe den Schritt.	Kernfolge: SETZEN · GRAD III · SCHLUSS. Setze den Positionsposten [wie zuvor]; auf Grad III; schließe den Schritt.	YES
1040	G407-E1040	P1009-S043	f68r1	CELESTIAL	mehrteilige Sternstellentafel	cheey	SH+EE+Y	T0_EXACT_OBSERVED	HALTEN · GRAD II · POSTEN	Halte den Positionsposten; auf Grad II.	Kernfolge: HALTEN · GRAD II · POSTEN. Halte den Positionsposten; auf Grad II.	YES
1041	G407-E1041	P1009-S043	f68r1	CELESTIAL	mehrteilige Sternstellentafel	cheeteey	CH+EE+T+EE+Y	T0_EXACT_OBSERVED	NEHMEN · GRAD II · EINSTELLEN · GRAD II · POSTEN	Nimm den Positionsposten auf und stelle den Positionsposten ein; auf Grad II und auf Grad II.	Kernfolge: NEHMEN · GRAD II · EINSTELLEN · GRAD II · POSTEN. Nimm den Positionsposten auf und stelle den Positionsposten ein; auf Grad II und auf Grad II.	YES
1042	G407-E1042	P1009-S043	f68r1	CELESTIAL	mehrteilige Sternstellentafel	yteody	Y+T+E+O+DY	T0_EXACT_OBSERVED	POSTEN · EINSTELLEN · GRAD I · AUSFÜHRUNG · SCHLUSS	Stelle den Positionsposten ein; auf Grad I und als Ausführung; schließe den Schritt.	Kernfolge: POSTEN · EINSTELLEN · GRAD I · AUSFÜHRUNG · SCHLUSS. Stelle den Positionsposten ein; auf Grad I und als Ausführung; schließe den Schritt.	YES
1043	G407-E1043	P1009-S044	f68r1	CELESTIAL	mehrteilige Sternstellentafel	chpor	CH+P+OR	T0_EXACT_OBSERVED	NEHMEN · EINSETZEN · EINHEIT	Nimm die Positionseinheit auf und setze die Positionseinheit ein.	Kernfolge: NEHMEN · EINSETZEN · EINHEIT. Nimm die Positionseinheit auf und setze die Positionseinheit ein.	YES
1044	G407-E1044	P1009-S044	f68r1	CELESTIAL	mehrteilige Sternstellentafel	cheokorchey	CH+E+O+K+OR+CH+E+Y	T0_EXACT_OBSERVED	NEHMEN · GRAD I · AUSFÜHRUNG · GEBEN · EINHEIT · NEHMEN · GRAD I · POSTEN	Nimm die Positionseinheit und den Positionsposten auf, ordne die Positionseinheit und den Positionsposten zu und nimm die Positionseinheit und den Positionsposten auf; auf Grad I, als Ausführung und auf Grad I.	Kernfolge: NEHMEN · GRAD I · AUSFÜHRUNG · GEBEN · EINHEIT · NEHMEN · GRAD I · POSTEN. Nimm die Positionseinheit und den Positionsposten auf, ordne die Positionseinheit und den Positionsposten zu und nimm die Positionseinheit und den Positionsposten auf; auf Grad I, als Ausführung und auf Grad I.	YES
1045	G407-E1045	P1009-S044	f68r1	CELESTIAL	mehrteilige Sternstellentafel	chod	CH+O+D_ADDR	T0_EXACT_OBSERVED	NEHMEN · AUSFÜHRUNG · HIER	Nimm den Positionsposten [wie zuvor] auf; als Ausführung; an der bezeichneten Stelle.	Kernfolge: NEHMEN · AUSFÜHRUNG · HIER. Nimm den Positionsposten [wie zuvor] auf; als Ausführung; an der bezeichneten Stelle.	YES
1046	G407-E1046	P1009-S044	f68r1	CELESTIAL	mehrteilige Sternstellentafel	ykor	Y+K+OR	T0_EXACT_OBSERVED	POSTEN · GEBEN · EINHEIT	Ordne den Positionsposten und die Positionseinheit zu.	Kernfolge: POSTEN · GEBEN · EINHEIT. Ordne den Positionsposten und die Positionseinheit zu.	YES
1047	G407-E1047	P1009-S044	f68r1	CELESTIAL	mehrteilige Sternstellentafel	shey	SH+E+Y	T0_EXACT_OBSERVED	HALTEN · GRAD I · POSTEN	Halte den Positionsposten; auf Grad I.	Kernfolge: HALTEN · GRAD I · POSTEN. Halte den Positionsposten; auf Grad I.	YES
1048	G407-E1048	P1009-S044	f68r1	CELESTIAL	mehrteilige Sternstellentafel	qocheey	CARRIER_Q+O+CH+EE+Y	T0_EXACT_OBSERVED	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · GRAD II · POSTEN	Nimm den Positionsposten auf; als neuen Einsatz, als Ausführung und auf Grad II.	Kernfolge: BEGINNMARKER · AUSFÜHRUNG · NEHMEN · GRAD II · POSTEN. Nimm den Positionsposten auf; als neuen Einsatz, als Ausführung und auf Grad II.	YES
1049	G407-E1049	P1009-S044	f68r1	CELESTIAL	mehrteilige Sternstellentafel	chokal	OK+AL	T0_EXACT_OBSERVED	SETZEN · ZIELORT	Setze den Positionsposten [wie zuvor]; zur Zielposition.	Kernfolge: SETZEN · ZIELORT. Setze den Positionsposten [wie zuvor]; zur Zielposition.	YES
1050	G407-E1050	P1009-S044	f68r1	CELESTIAL	mehrteilige Sternstellentafel	okeey	OK+EE+Y	T0_EXACT_OBSERVED	SETZEN · GRAD II · POSTEN	Setze den Positionsposten; auf Grad II.	Kernfolge: SETZEN · GRAD II · POSTEN. Setze den Positionsposten; auf Grad II.	YES
1051	G407-E1051	P1009-S044	f68r1	CELESTIAL	mehrteilige Sternstellentafel	ror	R+OR	T0_EXACT_OBSERVED	MARKIEREN · EINHEIT	Markiere die Positionseinheit.	Kernfolge: MARKIEREN · EINHEIT. Markiere die Positionseinheit.	YES
1052	G407-E1052	P1009-S044	f68r1	CELESTIAL	mehrteilige Sternstellentafel	eckhear	E+CH+K+E+AR	T0_EXACT_OBSERVED	GRAD I · NEHMEN · GEBEN · GRAD I · AUSGANG	Nimm die Positionseinheit [wie zuvor] auf und ordne die Positionseinheit [wie zuvor] zu; von der Ausgangsposition; auf Grad I und auf Grad I.	Kernfolge: GRAD I · NEHMEN · GEBEN · GRAD I · AUSGANG. Nimm die Positionseinheit [wie zuvor] auf und ordne die Positionseinheit [wie zuvor] zu; von der Ausgangsposition; auf Grad I und auf Grad I.	YES
1053	G407-E1053	P1009-S044	f68r1	CELESTIAL	mehrteilige Sternstellentafel	daram	DA+R+A_ADDR+AM_ADDR	T0_EXACT_OBSERVED	ZWEITE STUFE · MARKIEREN · HIER · HIER	Markiere die Positionseinheit [wie zuvor]; auf der zweiten Stufe; an der bezeichneten Stelle und an der bezeichneten Stelle.	Kernfolge: ZWEITE STUFE · MARKIEREN · HIER · HIER. Markiere die Positionseinheit [wie zuvor]; auf der zweiten Stufe; an der bezeichneten Stelle und an der bezeichneten Stelle.	YES
1054	G407-E1054	P1009-S044	f68r1	CELESTIAL	mehrteilige Sternstellentafel	dchor	D_ADDR+CH+OR	T0_EXACT_OBSERVED	HIER · NEHMEN · EINHEIT	Nimm die Positionseinheit auf; an der bezeichneten Stelle.	Kernfolge: HIER · NEHMEN · EINHEIT. Nimm die Positionseinheit auf; an der bezeichneten Stelle.	YES
1055	G407-E1055	P1009-S044	f68r1	CELESTIAL	mehrteilige Sternstellentafel	okaiiin	OK+A_ADDR+LOCAL_CHAR_I+IIN	T0_EXACT_OBSERVED	SETZEN · HIER · VARIANTE · STUFE	Setze die Positionseinheit [wie zuvor]; auf der bezeichneten Stufe; an der bezeichneten Stelle und mit der lokalen Variante.	Kernfolge: SETZEN · HIER · VARIANTE · STUFE. Setze die Positionseinheit [wie zuvor]; auf der bezeichneten Stufe; an der bezeichneten Stelle und mit der lokalen Variante.	YES
1056	G407-E1056	P1009-S044	f68r1	CELESTIAL	mehrteilige Sternstellentafel	yky	Y+K+Y	T0_EXACT_OBSERVED	POSTEN · GEBEN · POSTEN	Ordne den Positionsposten [außen] und den Positionsposten [innen] zu.	Kernfolge: POSTEN · GEBEN · POSTEN. Ordne den Positionsposten [außen] und den Positionsposten [innen] zu.	YES
1057	G407-E1057	P1009-S044	f68r1	CELESTIAL	mehrteilige Sternstellentafel	dary	DA+R+Y	T0_EXACT_OBSERVED	ZWEITE STUFE · MARKIEREN · POSTEN	Markiere den Positionsposten; auf der zweiten Stufe.	Kernfolge: ZWEITE STUFE · MARKIEREN · POSTEN. Markiere den Positionsposten; auf der zweiten Stufe.	YES
1058	G407-E1058	P1009-S044	f68r1	CELESTIAL	mehrteilige Sternstellentafel	chkchykoly	CH+K+CH+Y+K+OL+Y	T0_EXACT_OBSERVED	NEHMEN · GEBEN · NEHMEN · POSTEN · GEBEN · FORTSETZEN · POSTEN	Weiter nimm den Positionsposten [außen] und den Positionsposten [innen] auf, ordne den Positionsposten [außen] und den Positionsposten [innen] zu, nimm den Positionsposten [außen] und den Positionsposten [innen] auf und ordne den Positionsposten [außen] und den Positionsposten [innen] zu.	Kernfolge: NEHMEN · GEBEN · NEHMEN · POSTEN · GEBEN · FORTSETZEN · POSTEN. Weiter nimm den Positionsposten [außen] und den Positionsposten [innen] auf, ordne den Positionsposten [außen] und den Positionsposten [innen] zu, nimm den Positionsposten [außen] und den Positionsposten [innen] auf und ordne den Positionsposten [außen] und den Positionsposten [innen] zu.	YES
