card_no	surfaces	component_recipe	atomic_expansion_de	short_default_de	composition_mode	events	pages	records	event_ids
PROC136	shecthedchy	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREIT · UMSETZEN · ARBEITSPOSTEN	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f83r	B3	E250
PROC137	chary	AR+Y	VORRAT · ARBEITSPOSTEN	VORRAT · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f83r	B3	E253
PROC138	okair	OK+AIR	ANSETZEN · FLUESSIGKEITSLAUF	ANSETZEN · FLUESSIGKEITSLAUF	PRODUCTIVE_COMPOSITION	1	f83r	B3	E260
PROC139	sheedy	SH+EE+DY	HALTEN · LANG · SCHLUSS	HALTEN · LANG; SCHLUSS	PRODUCTIVE_COMPOSITION	1	f83r	B3	E261
PROC140	lo	L+O	WEITERLEITEN · ARBEITSGANG	WEITERLEITEN · ARBEITSGANG	PRODUCTIVE_COMPOSITION	1	f83r	B3	E263
PROC141	qokshedy	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	ANSETZEN · HALTEN · KURZ; SCHLUSS	PRODUCTIVE_COMPOSITION	1	f83r	B3	E267
PROC142	shedal	SHED+AL	ABSETZEN · ZIELSTELLE	ABSETZEN · ZIELSTELLE	PRODUCTIVE_COMPOSITION	2	f83r	B3|B5	E275|E364
PROC143	shecthy	SH+E+CTH+Y	HALTEN · KURZ · BEREIT · ARBEITSPOSTEN	HALTEN · KURZ · BEREIT · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f83r	B3	E276
PROC144	dalchdy	AL+CHD+DY	ZIELSTELLE · UMSETZEN · SCHLUSS	ZIELSTELLE · UMSETZEN; SCHLUSS	PRODUCTIVE_COMPOSITION	1	f83r	B3	E280
PROC145	otchedy|qotchedy	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	DANACH · UMSETZEN; SCHLUSS	PRODUCTIVE_COMPOSITION	2	f83r	B3	E281|E301
PROC146	cheedar	EE+AR	LANG · VORRAT	LANG · VORRAT	PRODUCTIVE_COMPOSITION	1	f83r	B3	E285
PROC147	chldaiin	L+AIIN	WEITERLEITEN · SOLLMASS	WEITERLEITEN · SOLLMASS	PRODUCTIVE_COMPOSITION	1	f83r	B3	E286
PROC148	chealror	AL+R+OR	ZIELSTELLE · KUEHLEN · ANSATZ	ZIELSTELLE · KUEHLEN · ANSATZ	PRODUCTIVE_COMPOSITION	1	f83r	B3	E290
PROC149	cheeety	EEE+T+Y	VOLL · EINTRAGEN · ARBEITSPOSTEN	VOLL · EINTRAGEN · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f83r	B3	E296
PROC150	schedair	CHD+AIR	UMSETZEN · FLUESSIGKEITSLAUF	UMSETZEN · FLUESSIGKEITSLAUF	PRODUCTIVE_COMPOSITION	1	f83r	B3	E300
PROC151	chedain	CHD+AIN	UMSETZEN · PORTION	UMSETZEN · PORTION	PRODUCTIVE_COMPOSITION	1	f83r	B3	E303
PROC152	qotedaiin	OT+E+AIIN	DANACH · KURZ · SOLLMASS	DANACH · KURZ · SOLLMASS	PRODUCTIVE_COMPOSITION	1	f83r	B3	E305
PROC153	olsaly	OL+AL+Y	FORTSETZEN · ZIELSTELLE · ARBEITSPOSTEN	FORTSETZEN · ZIELSTELLE · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f83r	B3	E313
PROC154	qolchey	OL+Y	FORTSETZEN · ARBEITSPOSTEN	FORTSETZEN · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f83r	B4	E316
PROC155	qokylddy	OK+Y+LD+DY	ANSETZEN · ARBEITSPOSTEN · BEFESTIGEN · SCHLUSS	ANSETZEN · ARBEITSPOSTEN · BEFESTIGEN; SCHLUSS	COMPOSITION_WITH_SINGLETON_ATOM	1	f83r	B4	E326
PROC156	dain	AIN	PORTION	PORTION	PRODUCTIVE_COMPOSITION	2	f83r	B4|B6	E327|E379
PROC157	sheey	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	HALTEN · LANG · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f83r	B4	E334
PROC158	okeeol	OK+EE+OL	ANSETZEN · LANG · FORTSETZEN	ANSETZEN · LANG · FORTSETZEN	PRODUCTIVE_COMPOSITION	1	f83r	B4	E340
PROC159	lkedy	L+K+E+DY	WEITERLEITEN · ZUDOSIEREN · KURZ · SCHLUSS	WEITERLEITEN · ZUDOSIEREN · KURZ; SCHLUSS	PRODUCTIVE_COMPOSITION	1	f83r	B4	E344
PROC160	qokol	OK+OL	ANSETZEN · FORTSETZEN	ANSETZEN · FORTSETZEN	PRODUCTIVE_COMPOSITION	1	f83r	B4	E346
PROC161	qockhey	O+CKH+E+Y	ARBEITSGANG · DURCHLASS · KURZ · ARBEITSPOSTEN	ARBEITSGANG · DURCHLASSKANAL · KURZ · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f83r	B4	E350
PROC162	dairydy	AIR+Y+DY	FLUESSIGKEITSLAUF · ARBEITSPOSTEN · SCHLUSS	FLUESSIGKEITSLAUF · ARBEITSPOSTEN; SCHLUSS	PRODUCTIVE_COMPOSITION	1	f83r	B4	E351
PROC163	chckhal	CH+CKH+AL	ABNEHMEN · DURCHLASS · ZIELSTELLE	ABNEHMEN · DURCHLASSKANAL · ZIELSTELLE	PRODUCTIVE_COMPOSITION	1	f83r	B4	E355
PROC164	solkey	SOLK+E+Y	AUFFANGEN · KURZ · ARBEITSPOSTEN	AUFFANGEN · KURZ · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f83r	B4	E356
PROC165	skar	K+AR	ZUDOSIEREN · VORRAT	ZUDOSIEREN · VORRAT	PRODUCTIVE_COMPOSITION	1	f83r	B4	E360
PROC166	otchdy	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	DANACH · UMSETZEN; SCHLUSS	PRODUCTIVE_COMPOSITION	1	f83r	B5	E362
PROC167	lol	L+OL	WEITERLEITEN · FORTSETZEN	WEITERLEITEN · FORTSETZEN	PRODUCTIVE_COMPOSITION	1	f83r	B5	E367
PROC168	chdal	CHD+AL	UMSETZEN · ZIELSTELLE	UMSETZEN · ZIELSTELLE	PRODUCTIVE_COMPOSITION	1	f83r	B5	E368
PROC169	daiiin	DA+IIN	ZWEITMARKER · ARBEITSSTUFE	ZWEITMARKER · ARBEITSSTUFE	COMPOSITION_WITH_SINGLETON_ATOM	1	f83r	B5	E371
PROC170	solkeey	SOLK+EE+Y	AUFFANGEN · LANG · ARBEITSPOSTEN	AUFFANGEN · LANG · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f83r	B6	E373
PROC171	qekey	E+K+E+Y	KURZ · ZUDOSIEREN · KURZ · ARBEITSPOSTEN	KURZ · ZUDOSIEREN · KURZ · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f83r	B6	E374
PROC172	raly	R+AL+Y	KUEHLEN · ZIELSTELLE · ARBEITSPOSTEN	KUEHLEN · ZIELSTELLE · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f83r	B6	E375
PROC173	ldalor	L+AL+OR	WEITERLEITEN · ZIELSTELLE · ANSATZ	WEITERLEITEN · ZIELSTELLE · ANSATZ	PRODUCTIVE_COMPOSITION	1	f83r	B6	E381
