statement_id	page	record	events	surface_sequence	component_sequence	atomic_sequence_de	literal_commands_de	complete_workshop_paraphrase_de	closes
B2-S012	f82r	B2	8	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	WEITERLEITEN · ABNEHMEN · ARBEITSPOSTEN | HALTEN · LANG · ARBEITSPOSTEN | BEREIT · KURZ · ARBEITSPOSTEN | ANSETZEN · LANG · ARBEITSPOSTEN | WEITERLEITEN · LANG · ARBEITSPOSTEN | SOLLMASS | ARBEITSPOSTEN | ANSETZEN · VOLL · SCHLUSS	WEITERLEITEN · ABNEHMEN · ARBEITSPOSTEN | HALTEN · LANG · ARBEITSPOSTEN | BEREIT · KURZ · ARBEITSPOSTEN | ANSETZEN · LANG · ARBEITSPOSTEN | WEITERLEITEN · LANG · ARBEITSPOSTEN | SOLLMASS | ARBEITSPOSTEN | ANSETZEN · VOLL; SCHLUSS	Weiterleiten abnehmen arbeitsposten; dann Halten lang arbeitsposten; dann Bereit kurz arbeitsposten; dann Ansetzen lang arbeitsposten; dann Weiterleiten lang arbeitsposten; dann Sollmass; dann Arbeitsposten; dann Ansetzen voll; schritt schliessen.	YES
B2-S013	f82r	B2	1	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	WEITERLEITEN · UMSETZEN; SCHLUSS	Weiterleiten umsetzen; schritt schliessen.	YES
B2-S014	f82r	B2	1	lar	L+AR	WEITERLEITEN · VORRAT	WEITERLEITEN · VORRAT	Weiterleiten vorrat.	NO
B2-S015	f82r	B2	2	tshey qokeedy	SH+E+Y | OK+EE+DY	HALTEN · KURZ · ARBEITSPOSTEN | ANSETZEN · LANG · SCHLUSS	HALTEN · KURZ · ARBEITSPOSTEN | ANSETZEN · LANG; SCHLUSS	Halten kurz arbeitsposten; dann Ansetzen lang; schritt schliessen.	YES
B2-S016	f82r	B2	8	cheal lchedar ches aiin oteey qokaiin okey pchedy	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	ZIELSTELLE | WEITERLEITEN · UMSETZEN · VORRAT | ABNEHMEN · KURZ · TEILEN | SOLLMASS | DANACH · LANG · ARBEITSPOSTEN | ANSETZEN · SOLLMASS | ANSETZEN · KURZ · ARBEITSPOSTEN | EINFUELLEN · UMSETZEN · SCHLUSS	ZIELSTELLE | WEITERLEITEN · UMSETZEN · VORRAT | ABNEHMEN · KURZ · TEILEN | SOLLMASS | DANACH · LANG · ARBEITSPOSTEN | ANSETZEN · SOLLMASS | ANSETZEN · KURZ · ARBEITSPOSTEN | EINFUELLEN · UMSETZEN; SCHLUSS	Zielstelle; dann Weiterleiten umsetzen vorrat; dann Abnehmen kurz teilen; dann Sollmass; dann Danach lang arbeitsposten; dann Ansetzen sollmass; dann Ansetzen kurz arbeitsposten; dann Einfuellen umsetzen; schritt schliessen.	YES
B2-S017	f82r	B2	2	rsheal daldy	R+SH+E+AL | AL+DY	KUEHLEN · HALTEN · KURZ · ZIELSTELLE | ZIELSTELLE · SCHLUSS	KUEHLEN · HALTEN · KURZ · ZIELSTELLE | ZIELSTELLE; SCHLUSS	Kuehlen halten kurz zielstelle; dann Zielstelle; schritt schliessen.	YES
B2-S018	f82r	B2	1	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	ANSETZEN · LANG; SCHLUSS	Ansetzen lang; schritt schliessen.	YES
B2-S019	f82r	B2	1	rshedy	R+SHED+DY	KUEHLEN · ABSETZEN · SCHLUSS	KUEHLEN · ABSETZEN; SCHLUSS	Kuehlen absetzen; schritt schliessen.	YES
B2-S020	f82r	B2	1	qoteedy	OT+EE+DY	DANACH · LANG · SCHLUSS	DANACH · LANG; SCHLUSS	Danach lang; schritt schliessen.	YES
B2-S021	f82r	B2	1	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	ANSETZEN · LANG; SCHLUSS	Ansetzen lang; schritt schliessen.	YES
B2-S022	f82r	B2	1	lochedy	L+O+CHD+DY	WEITERLEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	WEITERLEITEN · ARBEITSGANG · UMSETZEN; SCHLUSS	Weiterleiten arbeitsgang umsetzen; schritt schliessen.	YES
B3-S001	f83r	B3	1	olkeedy	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	AUFFANGEN · LANG; SCHLUSS	Auffangen lang; schritt schliessen.	YES
B3-S002	f83r	B3	2	qotal chkeedy	OT+AL | CHK+EE+DY	DANACH · ZIELSTELLE | WAERMEN · LANG · SCHLUSS	DANACH · ZIELSTELLE | WAERMEN · LANG; SCHLUSS	Danach zielstelle; dann Waermen lang; schritt schliessen.	YES
B3-S003	f83r	B3	4	chey daiin chey lchedy	Y | AIIN | Y | L+CHD+DY	ARBEITSPOSTEN | SOLLMASS | ARBEITSPOSTEN | WEITERLEITEN · UMSETZEN · SCHLUSS	ARBEITSPOSTEN | SOLLMASS | ARBEITSPOSTEN | WEITERLEITEN · UMSETZEN; SCHLUSS	Arbeitsposten; dann Sollmass; dann Arbeitsposten; dann Weiterleiten umsetzen; schritt schliessen.	YES
B3-S004	f83r	B3	3	qokaiin qotal dar	OK+AIIN | OT+AL | AR	ANSETZEN · SOLLMASS | DANACH · ZIELSTELLE | VORRAT	ANSETZEN · SOLLMASS | DANACH · ZIELSTELLE | VORRAT	Ansetzen sollmass; dann Danach zielstelle; dann Vorrat.	NO
B3-S005	f83r	B3	1	schedy	CHD+DY	UMSETZEN · SCHLUSS	UMSETZEN; SCHLUSS	Umsetzen; schritt schliessen.	YES
B3-S006	f83r	B3	3	chedchy qokal olchedy	CHD+Y | OK+AL | OL+CHD+DY	UMSETZEN · ARBEITSPOSTEN | ANSETZEN · ZIELSTELLE | FORTSETZEN · UMSETZEN · SCHLUSS	UMSETZEN · ARBEITSPOSTEN | ANSETZEN · ZIELSTELLE | FORTSETZEN · UMSETZEN; SCHLUSS	Umsetzen arbeitsposten; dann Ansetzen zielstelle; dann Fortsetzen umsetzen; schritt schliessen.	YES
B3-S007	f83r	B3	3	qokaiin chedy qokeedy	OK+AIIN | CHD+Y | OK+EE+DY	ANSETZEN · SOLLMASS | UMSETZEN · ARBEITSPOSTEN | ANSETZEN · LANG · SCHLUSS	ANSETZEN · SOLLMASS | UMSETZEN · ARBEITSPOSTEN | ANSETZEN · LANG; SCHLUSS	Ansetzen sollmass; dann Umsetzen arbeitsposten; dann Ansetzen lang; schritt schliessen.	YES
B3-S008	f83r	B3	1	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	WEITERLEITEN · UMSETZEN; SCHLUSS	Weiterleiten umsetzen; schritt schliessen.	YES
B3-S009	f83r	B3	1	qoky	OK+Y	ANSETZEN · ARBEITSPOSTEN	ANSETZEN · ARBEITSPOSTEN	Ansetzen arbeitsposten.	NO
B3-S010	f83r	B3	2	pchedal otedy	P+CHD+AL | OT+E+DY	EINFUELLEN · UMSETZEN · ZIELSTELLE | DANACH · KURZ · SCHLUSS	EINFUELLEN · UMSETZEN · ZIELSTELLE | DANACH · KURZ; SCHLUSS	Einfuellen umsetzen zielstelle; dann Danach kurz; schritt schliessen.	YES
B3-S011	f83r	B3	4	shecthedchy qoky chedy chary	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	HALTEN · KURZ · BEREIT · UMSETZEN · ARBEITSPOSTEN | ANSETZEN · ARBEITSPOSTEN | UMSETZEN · ARBEITSPOSTEN | VORRAT · ARBEITSPOSTEN	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN | ANSETZEN · ARBEITSPOSTEN | UMSETZEN · ARBEITSPOSTEN | VORRAT · ARBEITSPOSTEN	Halten kurz bis bereit; umsetzen arbeitsposten; dann Ansetzen arbeitsposten; dann Umsetzen arbeitsposten; dann Vorrat arbeitsposten.	NO
B3-S012	f83r	B3	2	sor shedy	OR | SHED+DY	ANSATZ | ABSETZEN · SCHLUSS	ANSATZ | ABSETZEN; SCHLUSS	Ansatz; dann Absetzen; schritt schliessen.	YES
B3-S013	f83r	B3	4	qokaiin chkain shcthey qokedy	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	ANSETZEN · SOLLMASS | ZUDOSIEREN · PORTION | BEREIT · KURZ · ARBEITSPOSTEN | ANSETZEN · KURZ · SCHLUSS	ANSETZEN · SOLLMASS | ZUDOSIEREN · PORTION | BEREIT · KURZ · ARBEITSPOSTEN | ANSETZEN · KURZ; SCHLUSS	Ansetzen sollmass; dann Zudosieren portion; dann Bereit kurz arbeitsposten; dann Ansetzen kurz; schritt schliessen.	YES
B3-S014	f83r	B3	2	okair sheedy	OK+AIR | SH+EE+DY	ANSETZEN · FLUESSIGKEITSLAUF | HALTEN · LANG · SCHLUSS	ANSETZEN · FLUESSIGKEITSLAUF | HALTEN · LANG; SCHLUSS	Ansetzen fluessigkeitslauf; dann Halten lang; schritt schliessen.	YES
B3-S015	f83r	B3	1	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	WEITERLEITEN · UMSETZEN; SCHLUSS	Weiterleiten umsetzen; schritt schliessen.	YES
B3-S016	f83r	B3	2	lo qokchedy	L+O | OK+CHD+DY	WEITERLEITEN · ARBEITSGANG | ANSETZEN · UMSETZEN · SCHLUSS	WEITERLEITEN · ARBEITSGANG | ANSETZEN · UMSETZEN; SCHLUSS	Weiterleiten arbeitsgang; dann Ansetzen umsetzen; schritt schliessen.	YES
B3-S017	f83r	B3	1	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	ANSETZEN · LANG; SCHLUSS	Ansetzen lang; schritt schliessen.	YES
B3-S018	f83r	B3	1	shedy	SHED+DY	ABSETZEN · SCHLUSS	ABSETZEN; SCHLUSS	Absetzen; schritt schliessen.	YES
B3-S019	f83r	B3	1	qokshedy	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	ANSETZEN · HALTEN · KURZ; SCHLUSS	Ansetzen halten kurz; schritt schliessen.	YES
B3-S020	f83r	B3	2	dal lchedy	AL | L+CHD+DY	ZIELSTELLE | WEITERLEITEN · UMSETZEN · SCHLUSS	ZIELSTELLE | WEITERLEITEN · UMSETZEN; SCHLUSS	Zielstelle; dann Weiterleiten umsetzen; schritt schliessen.	YES
B3-S021	f83r	B3	11	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY	ANSETZEN · SOLLMASS | BEREIT · ARBEITSPOSTEN | ZIELSTELLE | ARBEITSPOSTEN | SOLLMASS | ABSETZEN · ZIELSTELLE | HALTEN · KURZ · BEREIT · ARBEITSPOSTEN | ARBEITSPOSTEN | ZIELSTELLE | BEREIT · ARBEITSPOSTEN | ZIELSTELLE · UMSETZEN · SCHLUSS	ANSETZEN · SOLLMASS | BEREIT · ARBEITSPOSTEN | ZIELSTELLE | ARBEITSPOSTEN | SOLLMASS | ABSETZEN · ZIELSTELLE | HALTEN · KURZ · BEREIT · ARBEITSPOSTEN | ARBEITSPOSTEN | ZIELSTELLE | BEREIT · ARBEITSPOSTEN | ZIELSTELLE · UMSETZEN; SCHLUSS	Ansetzen sollmass; dann Bereit arbeitsposten; dann Zielstelle; dann Arbeitsposten; dann Sollmass; dann Absetzen zielstelle; dann Halten kurz bereit arbeitsposten; dann Arbeitsposten; dann Zielstelle; dann Bereit arbeitsposten; dann Zielstelle umsetzen; schritt schliessen.	YES
B3-S022	f83r	B3	1	qotchedy	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	DANACH · UMSETZEN; SCHLUSS	Danach umsetzen; schritt schliessen.	YES
B3-S023	f83r	B3	1	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	WEITERLEITEN · UMSETZEN; SCHLUSS	Weiterleiten umsetzen; schritt schliessen.	YES
B3-S024	f83r	B3	1	tchedy	CHD+DY	UMSETZEN · SCHLUSS	UMSETZEN; SCHLUSS	Umsetzen; schritt schliessen.	YES
B3-S025	f83r	B3	1	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	ANSETZEN · UMSETZEN; SCHLUSS	Ansetzen umsetzen; schritt schliessen.	YES
B3-S026	f83r	B3	7	cheedar chldaiin chedy qokain checthy chealror solkeedy	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	LANG · VORRAT | WEITERLEITEN · SOLLMASS | UMSETZEN · ARBEITSPOSTEN | ANSETZEN · PORTION | BEREIT · ARBEITSPOSTEN | ZIELSTELLE · KUEHLEN · ANSATZ | AUFFANGEN · LANG · SCHLUSS	LANG · VORRAT | WEITERLEITEN · SOLLMASS | UMSETZEN · ARBEITSPOSTEN | ANSETZEN · PORTION | BEREIT · ARBEITSPOSTEN | ZIELSTELLE · KUEHLEN · ANSATZ | AUFFANGEN · LANG; SCHLUSS	Lang vorrat; dann Weiterleiten sollmass; dann Umsetzen arbeitsposten; dann Ansetzen portion; dann Bereit arbeitsposten; dann Zielstelle kuehlen ansatz; dann Auffangen lang; schritt schliessen.	YES
B3-S027	f83r	B3	1	qoteedy	OT+EE+DY	DANACH · LANG · SCHLUSS	DANACH · LANG; SCHLUSS	Danach lang; schritt schliessen.	YES
B3-S028	f83r	B3	2	qokeey qokedy	OK+EE+Y | OK+E+DY	ANSETZEN · LANG · ARBEITSPOSTEN | ANSETZEN · KURZ · SCHLUSS	ANSETZEN · LANG · ARBEITSPOSTEN | ANSETZEN · KURZ; SCHLUSS	Ansetzen lang arbeitsposten; dann Ansetzen kurz; schritt schliessen.	YES
B3-S029	f83r	B3	3	sol cheeety qokedy	OL | EEE+T+Y | OK+E+DY	FORTSETZEN | VOLL · EINTRAGEN · ARBEITSPOSTEN | ANSETZEN · KURZ · SCHLUSS	FORTSETZEN | VOLL · EINTRAGEN · ARBEITSPOSTEN | ANSETZEN · KURZ; SCHLUSS	Fortsetzen; dann Voll eintragen arbeitsposten; dann Ansetzen kurz; schritt schliessen.	YES
B3-S030	f83r	B3	4	qoky saiin schedair otchedy	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	ANSETZEN · ARBEITSPOSTEN | SOLLMASS | UMSETZEN · FLUESSIGKEITSLAUF | DANACH · UMSETZEN · SCHLUSS	ANSETZEN · ARBEITSPOSTEN | SOLLMASS | UMSETZEN · FLUESSIGKEITSLAUF | DANACH · UMSETZEN; SCHLUSS	Ansetzen arbeitsposten; dann Sollmass; dann Umsetzen fluessigkeitslauf; dann Danach umsetzen; schritt schliessen.	YES
B3-S031	f83r	B3	1	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	ANSETZEN · LANG; SCHLUSS	Ansetzen lang; schritt schliessen.	YES
B3-S032	f83r	B3	5	chedain chedy qotedaiin otaiin otedy	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY	UMSETZEN · PORTION | UMSETZEN · ARBEITSPOSTEN | DANACH · KURZ · SOLLMASS | DANACH · SOLLMASS | DANACH · KURZ · SCHLUSS	UMSETZEN · PORTION | UMSETZEN · ARBEITSPOSTEN | DANACH · KURZ · SOLLMASS | DANACH · SOLLMASS | DANACH · KURZ; SCHLUSS	Umsetzen portion; dann Umsetzen arbeitsposten; dann Danach kurz sollmass; dann Danach sollmass; dann Danach kurz; schritt schliessen.	YES
B3-S033	f83r	B3	1	ldy	L+DY	WEITERLEITEN · SCHLUSS	WEITERLEITEN; SCHLUSS	Weiterleiten; schritt schliessen.	YES
B3-S034	f83r	B3	6	soiiin checthy chety otaiin olsaly shedy	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	ARBEITSGANG · ARBEITSSTUFE | BEREIT · ARBEITSPOSTEN | EINTRAGEN · ARBEITSPOSTEN | DANACH · SOLLMASS | FORTSETZEN · ZIELSTELLE · ARBEITSPOSTEN | ABSETZEN · SCHLUSS	ARBEITSGANG · ARBEITSSTUFE | BEREIT · ARBEITSPOSTEN | EINTRAGEN · ARBEITSPOSTEN | DANACH · SOLLMASS | FORTSETZEN · ZIELSTELLE · ARBEITSPOSTEN | ABSETZEN; SCHLUSS	Arbeitsgang arbeitsstufe; dann Bereit arbeitsposten; dann Eintragen arbeitsposten; dann Danach sollmass; dann Fortsetzen zielstelle arbeitsposten; dann Absetzen; schritt schliessen.	YES
B4-S001	f83r	B4	1	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	ANSETZEN · LANG; SCHLUSS	Ansetzen lang; schritt schliessen.	YES
B4-S002	f83r	B4	3	qolchey qokeey qokedy	OL+Y | OK+EE+Y | OK+E+DY	FORTSETZEN · ARBEITSPOSTEN | ANSETZEN · LANG · ARBEITSPOSTEN | ANSETZEN · KURZ · SCHLUSS	FORTSETZEN · ARBEITSPOSTEN | ANSETZEN · LANG · ARBEITSPOSTEN | ANSETZEN · KURZ; SCHLUSS	Fortsetzen arbeitsposten; dann Ansetzen lang arbeitsposten; dann Ansetzen kurz; schritt schliessen.	YES
B4-S003	f83r	B4	7	chedy otal otchey qokeey qoky tol shedy	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	UMSETZEN · ARBEITSPOSTEN | DANACH · ZIELSTELLE | DANACH · ARBEITSPOSTEN | ANSETZEN · LANG · ARBEITSPOSTEN | ANSETZEN · ARBEITSPOSTEN | FORTSETZEN | ABSETZEN · SCHLUSS	UMSETZEN · ARBEITSPOSTEN | DANACH · ZIELSTELLE | DANACH · ARBEITSPOSTEN | ANSETZEN · LANG · ARBEITSPOSTEN | ANSETZEN · ARBEITSPOSTEN | FORTSETZEN | ABSETZEN; SCHLUSS	Umsetzen arbeitsposten; dann Danach zielstelle; dann Danach arbeitsposten; dann Ansetzen lang arbeitsposten; dann Ansetzen arbeitsposten; dann Fortsetzen; dann Absetzen; schritt schliessen.	YES
B4-S004	f83r	B4	1	qokylddy	OK+Y+LD+DY	ANSETZEN · ARBEITSPOSTEN · BEFESTIGEN · SCHLUSS	ANSETZEN · ARBEITSPOSTEN · BEFESTIGEN; SCHLUSS	Ansetzen arbeitsposten befestigen; schritt schliessen.	YES
B4-S005	f83r	B4	3	dain chedy qokeedy	AIN | CHD+Y | OK+EE+DY	PORTION | UMSETZEN · ARBEITSPOSTEN | ANSETZEN · LANG · SCHLUSS	PORTION | UMSETZEN · ARBEITSPOSTEN | ANSETZEN · LANG; SCHLUSS	Portion; dann Umsetzen arbeitsposten; dann Ansetzen lang; schritt schliessen.	YES
B4-S006	f83r	B4	1	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	HALTEN · DURCHLASSKANAL · KURZ; SCHLUSS	Halten durchlasskanal kurz; schritt schliessen.	YES
B4-S007	f83r	B4	1	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	HALTEN · DURCHLASSKANAL · KURZ; SCHLUSS	Halten durchlasskanal kurz; schritt schliessen.	YES
B4-S008	f83r	B4	4	saiin cheeky sheey qokedy	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	SOLLMASS | WAERMEN · LANG · ARBEITSPOSTEN | HALTEN · LANG · ARBEITSPOSTEN | ANSETZEN · KURZ · SCHLUSS	SOLLMASS | WAERMEN · LANG · ARBEITSPOSTEN | HALTEN · LANG · ARBEITSPOSTEN | ANSETZEN · KURZ; SCHLUSS	Sollmass; dann Waermen lang arbeitsposten; dann Halten lang arbeitsposten; dann Ansetzen kurz; schritt schliessen.	YES
B4-S009	f83r	B4	1	shedy	SHED+DY	ABSETZEN · SCHLUSS	ABSETZEN; SCHLUSS	Absetzen; schritt schliessen.	YES
B4-S010	f83r	B4	1	oldy	OL+DY	FORTSETZEN · SCHLUSS	FORTSETZEN; SCHLUSS	Fortsetzen; schritt schliessen.	YES
B4-S011	f83r	B4	7	saiin cheky okeeol okain chdy sol lkedy	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	SOLLMASS | WAERMEN · KURZ · ARBEITSPOSTEN | ANSETZEN · LANG · FORTSETZEN | ANSETZEN · PORTION | UMSETZEN · ARBEITSPOSTEN | FORTSETZEN | WEITERLEITEN · ZUDOSIEREN · KURZ · SCHLUSS	SOLLMASS | WAERMEN · KURZ · ARBEITSPOSTEN | ANSETZEN · LANG · FORTSETZEN | ANSETZEN · PORTION | UMSETZEN · ARBEITSPOSTEN | FORTSETZEN | WEITERLEITEN · ZUDOSIEREN · KURZ; SCHLUSS	Sollmass; dann Waermen kurz arbeitsposten; dann Ansetzen lang fortsetzen; dann Ansetzen portion; dann Umsetzen arbeitsposten; dann Fortsetzen; dann Weiterleiten zudosieren kurz; schritt schliessen.	YES
B4-S012	f83r	B4	1	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	WEITERLEITEN · UMSETZEN; SCHLUSS	Weiterleiten umsetzen; schritt schliessen.	YES
B4-S013	f83r	B4	2	qokol shedy	OK+OL | SHED+DY	ANSETZEN · FORTSETZEN | ABSETZEN · SCHLUSS	ANSETZEN · FORTSETZEN | ABSETZEN; SCHLUSS	Ansetzen fortsetzen; dann Absetzen; schritt schliessen.	YES
B4-S014	f83r	B4	4	or chey qockhey dairydy	OR | Y | O+CKH+E+Y | AIR+Y+DY	ANSATZ | ARBEITSPOSTEN | ARBEITSGANG · DURCHLASS · KURZ · ARBEITSPOSTEN | FLUESSIGKEITSLAUF · ARBEITSPOSTEN · SCHLUSS	ANSATZ | ARBEITSPOSTEN | ARBEITSGANG · DURCHLASSKANAL · KURZ · ARBEITSPOSTEN | FLUESSIGKEITSLAUF · ARBEITSPOSTEN; SCHLUSS	Ansatz; dann Arbeitsposten; dann Arbeitsgang durchlasskanal kurz arbeitsposten; dann Fluessigkeitslauf arbeitsposten; schritt schliessen.	YES
B4-S015	f83r	B4	6	qokain shey kain chckhal solkey lchedy	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	ANSETZEN · PORTION | HALTEN · LANG · ARBEITSPOSTEN | ZUDOSIEREN · PORTION | ABNEHMEN · DURCHLASS · ZIELSTELLE | AUFFANGEN · KURZ · ARBEITSPOSTEN | WEITERLEITEN · UMSETZEN · SCHLUSS	ANSETZEN · PORTION | HALTEN · LANG · ARBEITSPOSTEN | ZUDOSIEREN · PORTION | ABNEHMEN · DURCHLASSKANAL · ZIELSTELLE | AUFFANGEN · KURZ · ARBEITSPOSTEN | WEITERLEITEN · UMSETZEN; SCHLUSS	Ansetzen portion; dann Halten lang arbeitsposten; dann Zudosieren portion; dann Abnehmen durchlasskanal zielstelle; dann Auffangen kurz arbeitsposten; dann Weiterleiten umsetzen; schritt schliessen.	YES
B4-S016	f83r	B4	4	qolkain dal skar shedy	OL+K+AIN | AL | K+AR | SHED+DY	FORTSETZEN · ZUDOSIEREN · PORTION | ZIELSTELLE | ZUDOSIEREN · VORRAT | ABSETZEN · SCHLUSS	FORTSETZEN · ZUDOSIEREN · PORTION | ZIELSTELLE | ZUDOSIEREN · VORRAT | ABSETZEN; SCHLUSS	Fortsetzen zudosieren portion; dann Zielstelle; dann Zudosieren vorrat; dann Absetzen; schritt schliessen.	YES
B5-S001	f83r	B5	1	otchdy	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	DANACH · UMSETZEN; SCHLUSS	Danach umsetzen; schritt schliessen.	YES
B5-S002	f83r	B5	1	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	ANSETZEN · UMSETZEN; SCHLUSS	Ansetzen umsetzen; schritt schliessen.	YES
B5-S003	f83r	B5	9	shedal dal cheol lol chdal aiin sol daiiin chedy	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	ABSETZEN · ZIELSTELLE | ZIELSTELLE | FORTSETZEN | WEITERLEITEN · FORTSETZEN | UMSETZEN · ZIELSTELLE | SOLLMASS | FORTSETZEN | ZWEITMARKER · ARBEITSSTUFE | UMSETZEN · ARBEITSPOSTEN	ABSETZEN · ZIELSTELLE | ZIELSTELLE | FORTSETZEN | WEITERLEITEN · FORTSETZEN | UMSETZEN · ZIELSTELLE | SOLLMASS | FORTSETZEN | ZWEITMARKER · ARBEITSSTUFE | UMSETZEN · ARBEITSPOSTEN	Absetzen zielstelle; dann Zielstelle; dann Fortsetzen; dann Weiterleiten fortsetzen; dann Umsetzen zielstelle; dann Sollmass; dann Fortsetzen; dann Zweitmarker arbeitsstufe; dann Umsetzen arbeitsposten.	NO
B6-S001	f83r	B6	9	solkeey qekey raly ol daiin ol dain chey ldalor	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR	AUFFANGEN · LANG · ARBEITSPOSTEN | KURZ · ZUDOSIEREN · KURZ · ARBEITSPOSTEN | KUEHLEN · ZIELSTELLE · ARBEITSPOSTEN | FORTSETZEN | SOLLMASS | FORTSETZEN | PORTION | ARBEITSPOSTEN | WEITERLEITEN · ZIELSTELLE · ANSATZ	AUFFANGEN · LANG · ARBEITSPOSTEN | KURZ · ZUDOSIEREN · KURZ · ARBEITSPOSTEN | KUEHLEN · ZIELSTELLE · ARBEITSPOSTEN | FORTSETZEN | SOLLMASS | FORTSETZEN | PORTION | ARBEITSPOSTEN | WEITERLEITEN · ZIELSTELLE · ANSATZ	Auffangen lang arbeitsposten; dann Kurz zudosieren kurz arbeitsposten; dann Kuehlen zielstelle arbeitsposten; dann Fortsetzen; dann Sollmass; dann Fortsetzen; dann Portion; dann Arbeitsposten; dann Weiterleiten zielstelle ansatz.	NO
