realization_ordinal	realization_id	root	register	function_family	invariant_core_concept	concrete_default_de	realization_source	slot_count	physical_page_count	owner_count	status	guard
105	GDT582-F105	LOCAL_CHAR_B	BIOLOGICAL	MODIFIER	B_VARIANT	in der b-Variante	REGISTER_REALIZATION	1	1	1	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
106	GDT582-F106	LOCAL_CHAR_B	PHARMA	MODIFIER	B_VARIANT	in der b-Variante	REGISTER_REALIZATION	1	1	1	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
107	GDT582-F107	LOCAL_CHAR_F	BIOLOGICAL	MODIFIER	FINE_FORM	in Feinform	REGISTER_REALIZATION	5	4	4	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
108	GDT582-F108	LOCAL_CHAR_F	CELESTIAL	MODIFIER	FINE_FORM	bei der f-Marke	REGISTER_REALIZATION	12	4	8	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
109	GDT582-F109	LOCAL_CHAR_F	HERBAL	MODIFIER	FINE_FORM	in Feinform	REGISTER_REALIZATION	22	9	9	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
110	GDT582-F110	LOCAL_CHAR_F	PHARMA	MODIFIER	FINE_FORM	in Feinform	REGISTER_REALIZATION	7	3	6	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
111	GDT582-F111	LOCAL_CHAR_F	SOURCE_SECTION_T	MODIFIER	FINE_FORM	in Feinform	PORTABLE_CORE_REALIZATION	20	2	9	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
112	GDT582-F112	LOCAL_CHAR_G	BIOLOGICAL	MODIFIER	ALTERNATE_FORM	in der Alternativform	REGISTER_REALIZATION	2	2	2	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
113	GDT582-F113	LOCAL_CHAR_G	CELESTIAL	MODIFIER	ALTERNATE_FORM	bei der g-Marke	REGISTER_REALIZATION	2	2	2	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
114	GDT582-F114	LOCAL_CHAR_G	HERBAL	MODIFIER	ALTERNATE_FORM	in der Alternativform	REGISTER_REALIZATION	7	4	4	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
115	GDT582-F115	LOCAL_CHAR_G	PHARMA	MODIFIER	ALTERNATE_FORM	in der Alternativform	REGISTER_REALIZATION	1	1	1	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
116	GDT582-F116	LOCAL_CHAR_G	SOURCE_SECTION_T	MODIFIER	ALTERNATE_FORM	in der Alternativform	PORTABLE_CORE_REALIZATION	1	1	1	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
117	GDT582-F117	LOCAL_CHAR_I	BIOLOGICAL	MODIFIER	INNER_FORM	in der Innenform	REGISTER_REALIZATION	3	3	3	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
118	GDT582-F118	LOCAL_CHAR_I	CELESTIAL	MODIFIER	INNER_FORM	bei der i-Marke	REGISTER_REALIZATION	5	4	5	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
119	GDT582-F119	LOCAL_CHAR_I	HERBAL	MODIFIER	INNER_FORM	in der Innenform	REGISTER_REALIZATION	4	4	4	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
120	GDT582-F120	LOCAL_CHAR_I	PHARMA	MODIFIER	INNER_FORM	in der Innenform	REGISTER_REALIZATION	4	1	3	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
121	GDT582-F121	LOCAL_CHAR_I	SOURCE_SECTION_T	MODIFIER	INNER_FORM	in der Innenform	PORTABLE_CORE_REALIZATION	3	1	2	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
122	GDT582-F122	LOCAL_CHAR_J	PHARMA	MODIFIER	J_VARIANT	in der j-Variante	REGISTER_REALIZATION	1	1	1	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
123	GDT582-F123	LOCAL_CHAR_Z	CELESTIAL	MODIFIER	Z_VARIANT	bei der z-Marke	REGISTER_REALIZATION	1	1	1	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
124	GDT582-F124	M_LOCAL	BIOLOGICAL	MODIFIER	MIDDLE_SITE	an der Mittelstelle	PORTABLE_CORE_REALIZATION	1	1	1	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
125	GDT582-F125	M_LOCAL	CELESTIAL	MODIFIER	MIDDLE_SITE	an der Messmarke	REGISTER_REALIZATION	1	1	1	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
126	GDT582-F126	M_LOCAL	HERBAL	MODIFIER	MIDDLE_SITE	an der Mittelstelle	PORTABLE_CORE_REALIZATION	8	5	5	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
127	GDT582-F127	M_LOCAL	PHARMA	MODIFIER	MIDDLE_SITE	an der Mittelstelle	REGISTER_REALIZATION	5	2	4	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
128	GDT582-F128	O	BIOLOGICAL	MODIFIER	FORM_OR_MODE	in Anwendungsform	REGISTER_REALIZATION	128	7	21	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
129	GDT582-F129	O	CELESTIAL	MODIFIER	FORM_OR_MODE	in Eintragsform	REGISTER_REALIZATION	298	6	26	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
130	GDT582-F130	O	HERBAL	MODIFIER	FORM_OR_MODE	in Zubereitungsform	REGISTER_REALIZATION	222	12	12	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
131	GDT582-F131	O	PHARMA	MODIFIER	FORM_OR_MODE	in Arzneiform	REGISTER_REALIZATION	205	3	16	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
132	GDT582-F132	O	SOURCE_SECTION_T	MODIFIER	FORM_OR_MODE	in Arbeitsform	REGISTER_REALIZATION	120	2	11	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
133	GDT582-F133	OK	BIOLOGICAL	ACTION	SET_OR_OPEN_BATCH	Beschicke oder bereite vor	REGISTER_REALIZATION	490	7	22	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
134	GDT582-F134	OK	CELESTIAL	ACTION	SET_OR_OPEN_BATCH	Trage ein	REGISTER_REALIZATION	169	6	27	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
135	GDT582-F135	OK	HERBAL	ACTION	SET_OR_OPEN_BATCH	Setze den Pflanzenansatz an	REGISTER_REALIZATION	141	12	12	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
136	GDT582-F136	OK	PHARMA	ACTION	SET_OR_OPEN_BATCH	Setze den Ansatz an	REGISTER_REALIZATION	96	3	18	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
137	GDT582-F137	OK	SOURCE_SECTION_T	ACTION	SET_OR_OPEN_BATCH	Setze an	REGISTER_REALIZATION	65	2	10	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
138	GDT582-F138	OR	BIOLOGICAL	OBJECT	UNIT_OR_BATCH	Becken- oder Körpereinheit	REGISTER_REALIZATION	85	7	18	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
139	GDT582-F139	OR	CELESTIAL	OBJECT	UNIT_OR_BATCH	Sektoreinheit	REGISTER_REALIZATION	48	6	21	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
140	GDT582-F140	OR	HERBAL	OBJECT	UNIT_OR_BATCH	Pflanzen- oder Arbeitseinheit	REGISTER_REALIZATION	115	12	12	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
141	GDT582-F141	OR	PHARMA	OBJECT	UNIT_OR_BATCH	Gefäß- oder Arbeitseinheit	REGISTER_REALIZATION	58	3	15	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
142	GDT582-F142	OR	SOURCE_SECTION_T	OBJECT	UNIT_OR_BATCH	Ansatz	REGISTER_REALIZATION	26	2	10	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
143	GDT582-F143	OS	CELESTIAL	MODIFIER	PRIOR_REFERENCE	am Außenring	REGISTER_REALIZATION	4	2	3	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
144	GDT582-F144	OS	HERBAL	MODIFIER	PRIOR_REFERENCE	mit Vorbezug	REGISTER_REALIZATION	2	2	2	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
145	GDT582-F145	OS	SOURCE_SECTION_T	MODIFIER	PRIOR_REFERENCE	mit Vorbezug	PORTABLE_CORE_REALIZATION	2	1	1	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
146	GDT582-F146	P	BIOLOGICAL	ACTION	INSERT_OR_APPLY	Bringe ein oder wende an	REGISTER_REALIZATION	84	7	15	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
147	GDT582-F147	P	CELESTIAL	ACTION	INSERT_OR_APPLY	Setze ein	REGISTER_REALIZATION	23	5	9	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
148	GDT582-F148	P	HERBAL	ACTION	INSERT_OR_APPLY	Bringe ein	REGISTER_REALIZATION	45	12	12	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
149	GDT582-F149	P	PHARMA	ACTION	INSERT_OR_APPLY	Gib hinein	REGISTER_REALIZATION	18	3	9	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
150	GDT582-F150	P	SOURCE_SECTION_T	ACTION	INSERT_OR_APPLY	Bringe ein	REGISTER_REALIZATION	26	2	10	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
151	GDT582-F151	R	BIOLOGICAL	ACTION	CHECK_OR_MARK	Kennzeichne oder prüfe	REGISTER_REALIZATION	64	7	15	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
152	GDT582-F152	R	CELESTIAL	ACTION	CHECK_OR_MARK	Markiere	REGISTER_REALIZATION	25	6	11	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
153	GDT582-F153	R	HERBAL	ACTION	CHECK_OR_MARK	Kennzeichne oder prüfe	REGISTER_REALIZATION	16	8	8	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
154	GDT582-F154	R	PHARMA	ACTION	CHECK_OR_MARK	Kennzeichne oder prüfe	REGISTER_REALIZATION	22	3	10	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
155	GDT582-F155	R	SOURCE_SECTION_T	ACTION	CHECK_OR_MARK	Kennzeichne oder prüfe	REGISTER_REALIZATION	25	2	10	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
156	GDT582-F156	S	BIOLOGICAL	ACTION	SELECT_OR_SEPARATE	Wähle oder leite um	REGISTER_REALIZATION	145	7	24	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
157	GDT582-F157	S	CELESTIAL	ACTION	SELECT_OR_SEPARATE	Wähle aus	REGISTER_REALIZATION	91	6	21	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
158	GDT582-F158	S	HERBAL	ACTION	SELECT_OR_SEPARATE	Wähle oder trenne ab	REGISTER_REALIZATION	71	12	12	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
159	GDT582-F159	S	PHARMA	ACTION	SELECT_OR_SEPARATE	Wähle oder trenne ab	REGISTER_REALIZATION	56	3	14	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
160	GDT582-F160	S	SOURCE_SECTION_T	ACTION	SELECT_OR_SEPARATE	Sondere aus	REGISTER_REALIZATION	39	2	12	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
161	GDT582-F161	SH	BIOLOGICAL	ACTION	HOLD_OR_REST	Halte oder bade	REGISTER_REALIZATION	398	7	19	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
162	GDT582-F162	SH	CELESTIAL	ACTION	HOLD_OR_REST	Halte fest	REGISTER_REALIZATION	90	6	20	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
163	GDT582-F163	SH	HERBAL	ACTION	HOLD_OR_REST	Halte oder lass ziehen	REGISTER_REALIZATION	133	12	12	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
164	GDT582-F164	SH	PHARMA	ACTION	HOLD_OR_REST	Halte oder lass ziehen	REGISTER_REALIZATION	60	3	12	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
165	GDT582-F165	SH	SOURCE_SECTION_T	ACTION	HOLD_OR_REST	Lass ruhen	REGISTER_REALIZATION	113	2	10	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
166	GDT582-F166	S_ADDR	BIOLOGICAL	MODIFIER	END_SITE	an der Stations-Endstelle	REGISTER_REALIZATION	3	3	3	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
167	GDT582-F167	S_ADDR	CELESTIAL	MODIFIER	END_SITE	an der seitlichen Ringstelle	REGISTER_REALIZATION	29	5	11	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
168	GDT582-F168	S_ADDR	PHARMA	MODIFIER	END_SITE	an der Drogen-Endstelle	REGISTER_REALIZATION	4	2	3	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
169	GDT582-F169	S_ADDR	SOURCE_SECTION_T	MODIFIER	END_SITE	an der Endstelle	REGISTER_REALIZATION	2	2	2	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
170	GDT582-F170	S_LABEL	CELESTIAL	MODIFIER	S_VARIANT	in der s-Klasse	REGISTER_REALIZATION	3	1	1	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
171	GDT582-F171	T	BIOLOGICAL	ACTION	ADJUST_OR_TEMPER	Reguliere oder temperiere	REGISTER_REALIZATION	108	7	16	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
172	GDT582-F172	T	CELESTIAL	ACTION	ADJUST_OR_TEMPER	Stelle ein	REGISTER_REALIZATION	73	6	19	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
173	GDT582-F173	T	HERBAL	ACTION	ADJUST_OR_TEMPER	Stelle ein oder temperiere	REGISTER_REALIZATION	131	12	12	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
174	GDT582-F174	T	PHARMA	ACTION	ADJUST_OR_TEMPER	Stelle ein oder temperiere	REGISTER_REALIZATION	24	3	11	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
175	GDT582-F175	T	SOURCE_SECTION_T	ACTION	ADJUST_OR_TEMPER	Stelle ein oder temperiere	REGISTER_REALIZATION	48	2	10	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
176	GDT582-F176	Y	BIOLOGICAL	OBJECT	CURRENT_GOOD_OR_BATCH	Stationsansatz	REGISTER_REALIZATION	828	7	25	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
177	GDT582-F177	Y	CELESTIAL	OBJECT	CURRENT_GOOD_OR_BATCH	Ringposition	REGISTER_REALIZATION	421	6	27	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
178	GDT582-F178	Y	HERBAL	OBJECT	CURRENT_GOOD_OR_BATCH	Pflanzencharge	REGISTER_REALIZATION	434	12	12	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
179	GDT582-F179	Y	PHARMA	OBJECT	CURRENT_GOOD_OR_BATCH	Drogencharge	REGISTER_REALIZATION	228	3	24	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
180	GDT582-F180	Y	SOURCE_SECTION_T	OBJECT	CURRENT_GOOD_OR_BATCH	Arbeitsgut	REGISTER_REALIZATION	214	2	12	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
181	GDT582-F181	Z_ADDR	CELESTIAL	MODIFIER	Z_SITE	an der Zielmarke	REGISTER_REALIZATION	2	1	1	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
