locus_row	diagram_id	page	locus	local_namespace	visible_owners	groups	group_serials	transferred_groups	residual_groups	components	operation_components	instruction_class	controlled_reading_de	orientation	cross_instrument_join
78	A2	f68r1	f68r1.4	A68_MULTIPANEL_STAR_ATLAS	A2_MULTIPANEL_HEADER_FRAGMENT_04	2	217|218	0	2	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «dchor okaiiin» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
79	A2	f68r1	f68r1.5	A68_MULTIPANEL_STAR_ATLAS	A2_MULTIPANEL_HEADER_FRAGMENT_05	1	219	1	0	Y+K+Y	K	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: dies + zufuehren + dies.	UNSPECIFIED	NONE
80	A2	f68r1	f68r1.6	A68_MULTIPANEL_STAR_ATLAS	A2_MULTIPANEL_HEADER_FRAGMENT_06	1	220	1	0	AR+Y	NONE	PARAMETER_OR_ADDRESS	Am sichtbaren Besitzer: von dort + dies.	UNSPECIFIED	NONE
81	A2	f68r1	f68r1.7	A68_MULTIPANEL_STAR_ATLAS	A2_MULTIPANEL_HEADER_FRAGMENT_07	1	221	1	0	CHK+Y+K+OL+Y	CHK+K	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: waermen + dies + zufuehren + fortsetzen + dies.	UNSPECIFIED	NONE
82	A2	f68r1	f68r1.8	A68_MULTIPANEL_STAR_ATLAS	A2_CENTRE_KEY_UNRESOLVED	1	222	1	0	OK+O+AL+Y	OK	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: ansetzen + Arbeitsgang + Stelle + dies.	UNSPECIFIED	NONE
83	A2	f68r1	f68r1.9	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_01	1	223	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «odchecthy» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
84	A2	f68r1	f68r1.10	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_02	1	224	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «otcheody» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
85	A2	f68r1	f68r1.11	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_03	1	225	1	0	OK+O+AL+Y	OK	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: ansetzen + Arbeitsgang + Stelle + dies.	UNSPECIFIED	NONE
86	A2	f68r1	f68r1.12	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_04	1	226	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «chocfhy» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
87	A2	f68r1	f68r1.13	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_05	1	227	1	0	O+CTH+E+Y	CTH	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: Arbeitsgang + bereit + kurz + dies.	UNSPECIFIED	NONE
88	A2	f68r1	f68r1.14	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_06	1	228	1	0	OT+SH+E+Y	SH	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: danach + halten + kurz + dies.	UNSPECIFIED	NONE
89	A2	f68r1	f68r1.15	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_07	1	229	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «otydy» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
90	A2	f68r1	f68r1.16	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_08	1	230	1	0	OK+E+AR	OK	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: ansetzen + kurz + von dort.	UNSPECIFIED	NONE
91	A2	f68r1	f68r1.17	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_09	1	231	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «cphocthy» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
92	A2	f68r1	f68r1.18	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_10	1	232	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «ytchody» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
93	A2	f68r1	f68r1.19	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_11	1	233	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «otys» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
94	A2	f68r1	f68r1.20	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_12	1	234	1	0	OL+OR	NONE	PARAMETER_OR_ADDRESS	Am sichtbaren Besitzer: weiterer Ansatz.	UNSPECIFIED	NONE
95	A2	f68r1	f68r1.21	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_13	1	235	1	0	O+CKH+Y	CKH	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: Arbeitsgang + Durchlass + dies.	UNSPECIFIED	NONE
96	A2	f68r1	f68r1.22	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_14	1	236	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «ofcheor» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
97	A2	f68r1	f68r1.23	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_15	1	237	1	0	OT+CHD+DY	CHD+DY	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: danach umsetzen; Schluss.	UNSPECIFIED	NONE
98	A2	f68r1	f68r1.24	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_16	1	238	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «otykchs» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
99	A2	f68r1	f68r1.25	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_17	1	239	1	0	OT+OL	NONE	PARAMETER_OR_ADDRESS	Am sichtbaren Besitzer: danach fortsetzen.	UNSPECIFIED	NONE
100	A2	f68r1	f68r1.26	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_18	1	240	1	0	OT+OR	NONE	PARAMETER_OR_ADDRESS	Am sichtbaren Besitzer: danach + Ansatz.	UNSPECIFIED	NONE
101	A2	f68r1	f68r1.27	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_19	1	241	1	0	O+IIN+AR	NONE	PARAMETER_OR_ADDRESS	Am sichtbaren Besitzer: Arbeitsgang + Sollstufe + von dort.	UNSPECIFIED	NONE
102	A2	f68r1	f68r1.28	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_20	1	242	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «okoldy» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
103	A2	f68r1	f68r1.29	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_21	1	243	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «ykchdy» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
104	A2	f68r1	f68r1.30	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_22	1	244	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «oeeody» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
105	A2	f68r1	f68r1.31	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_23	1	245	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «ocphy» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
106	A2	f68r1	f68r1.32	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_24	1	246	1	0	OK+EE+O+AL	OK	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: ansetzen + laenger + Arbeitsgang + Stelle.	UNSPECIFIED	NONE
107	A2	f68r1	f68r1.33	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_25	1	247	1	0	OK+OR	OK	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: ansetzen + Ansatz.	UNSPECIFIED	NONE
108	A2	f68r1	f68r1.34	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_26	1	248	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «osdaiin» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
109	A2	f68r1	f68r1.35	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_27	1	249	1	0	OT+O+CHD+Y	CHD	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: danach + Arbeitsgang + umsetzen + dies.	UNSPECIFIED	NONE
110	A2	f68r1	f68r1.36	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_28	1	250	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «dolchedy» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
111	A2	f68r1	f68r1.37	A68_MULTIPANEL_STAR_ATLAS	A2_CENTRAL_LEGEND_UNRESOLVED	5	251|252|253|254|255	2	3	OK+Y+E+AR	OK	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: verwende dies; «okchdy»[mehrdeutig]; «okardy»[mehrdeutig]; kurz + von dort; «oygy»[lokaler Name].	UNSPECIFIED	NONE
112	A3	f69v	f69v.1	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_WHEEL_RING_TEXT	40	256|257|258|259|260|261|262|263|264|265|266|267|268|269|270|271|272|273|274|275|276|277|278|279|280|281|282|283|284|285|286|287|288|289|290|291|292|293|294|295	26	14	Y+K+Y+AR+AR+Y+K+AR+AR+O+T+E+Y+OT+OK+EEE+Y+OK+EE+Y+T+EE+O+Y+Y+OT+Y+Y+Y+HO+AIIN+OK+AR+OK+AR+OL+Y+T+O+OT+Y+OT+EE+O+AR+O+AR	K+K+T+OK+OK+T+OK+OK+T	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: «dair»[lokaler Name]; dies + zufuehren + dies; «otaza»[lokaler Name]; von dort; von dort; dies + zufuehren + von dort; «okoirsh»[lokaler Name]; von dort; «chetody»[mehrdeutig]; «okeeos»[lokaler Name]; Arbeitsgang; fuellen + kurz + dies; danach + ansetzen + vollstaendig + dies; «okeeody»[mehrdeutig]; länger ansetzen; «doiir»[lokaler Name]; fuellen + laenger + Arbeitsgang; dies; dies; danach; dies; «okedy»[mehrdeutig]; «chsdy»[lokaler Name]; «okeod»[lokaler Name]; dies; dies; Zutat + Mass; ansetzen + von dort; ansetzen + von dort; fortsetzen; «chees»[lokaler Name]; dies + fuellen + Arbeitsgang; «odair»[lokaler Name]; danach + dies; danach + laenger + Arbeitsgang; von dort; Arbeitsgang; «eykeody»[mehrdeutig]; «dchor»[lokaler Name]; von dort.	UNSPECIFIED	NONE
113	A3	f69v	f69v.2	A69_MIDDLE_CLOUD_WAVE_WHEEL	A3_MIDDLE_WHEEL_RING_TEXT	38	296|297|298|299|300|301|302|303|304|305|306|307|308|309|310|311|312|313|314|315|316|317|318|319|320|321|322|323|324|325|326|327|328|329|330|331|332|333	31	7	OL+Y+K+AR+AL+OL+Y+Y+K+EE+AL+CHEO+O+CKH+Y+SH+EE+Y+AIIN+Y+AL+Y+E+T+E+Y+CH+E+AR+Y+Y+Y+K+E+Y+CH+Y+Y+OL+Y+K+AR+OL+Y+Y+AL+O+DY+AIR+Y+OK+Y+Y+Y+Y	K+K+CKH+SH+T+CH+K+CH+K+DY+OK	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: «yka»[lokaler Name]; fortsetzen; dies + zufuehren + von dort; Stelle; «ykady»[lokaler Name]; «iokeeor»[lokaler Name]; Klarauszug; fortsetzen + dies; dies + zufuehren + laenger + Stelle; Auszug; «oaram»[lokaler Name]; Arbeitsgang + Durchlass + dies; dies länger halten; Mass; dies; «daiial»[lokaler Name]; «cheody»[mehrdeutig]; Stelle; dies + kurz + fuellen + kurz + dies; abziehen + kurz + von dort; dies; dies; dies + zufuehren + kurz + dies; abziehen; dies; dies; fortsetzen; dies + zufuehren + von dort; fortsetzen; dies; «ykeeody»[mehrdeutig]; dies; Stelle; Arbeitsgang abschließen; Wasser + dies; verwende dies; dies + dies; dies.	UNSPECIFIED	NONE
114	A3	f69v	f69v.3	A69_RIGHT_FACE_RAY_WHEEL	A3_RIGHT_WHEEL_RING_TEXT	29	334|335|336|337|338|339|340|341|342|343|344|345|346|347|348|349|350|351|352|353|354|355|356|357|358|359|360|361|362	17	12	CHD+Y+OT+O+AR+AR+Y+OT+E+OR+HO+OT+AIR+OT+EE+AL+CHEO+R+AR+AIR+OK+E+O+AL+OT+E+O+AR+AR+Y+AL+OT+EE+Y+OT+EE+Y	CHD+R+OK	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: «doair»[lokaler Name]; «otaldal»[mehrdeutig]; «dair»[lokaler Name]; dies umsetzen; danach + Arbeitsgang + von dort; von dort; dies; danach + kurz + Ansatz; Zutat; danach + Wasser; «chda»[lokaler Name]; danach + laenger + Stelle; Auszug + abkuehlen; von dort; Wasser; «oteody»[mehrdeutig]; «ytyd»[lokaler Name]; «a»[lokaler Name]; «dchy»[lokaler Name]; «otoly»[mehrdeutig]; ansetzen + kurz + Arbeitsgang + Stelle; danach + kurz + Arbeitsgang + von dort + von dort; «cheteeser»[lokaler Name]; «dair»[lokaler Name]; dies; «okody»[mehrdeutig]; Stelle; nächsten Posten länger halten; nächsten Posten länger halten.	UNSPECIFIED	NONE
115	A3	f69v	f69v.4	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_01	2	363|364	2	0	OK+EE+Y+AR	OK	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: länger ansetzen; von dort.	UNSPECIFIED	NONE
116	A3	f69v	f69v.5	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_02	2	365|366	2	0	OK+E+O+Y	OK	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: ansetzen + kurz + Arbeitsgang; dies.	UNSPECIFIED	NONE
117	A3	f69v	f69v.6	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_03	1	367	1	0	O+HO+Y+K	K	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: Arbeitsgang + Zutat + dies + zufuehren.	UNSPECIFIED	NONE
118	A3	f69v	f69v.7	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_04	1	368	1	0	Y+K+EE+Y	K	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: dies + zufuehren + laenger + dies.	UNSPECIFIED	NONE
119	A3	f69v	f69v.8	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_05	1	369	1	0	Y+T+OR+Y	T	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: dies + fuellen + Ansatz + dies.	UNSPECIFIED	NONE
120	A3	f69v	f69v.9	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_06	1	370	1	0	O+EE+Y	NONE	PARAMETER_OR_ADDRESS	Am sichtbaren Besitzer: Arbeitsgang + laenger + dies.	UNSPECIFIED	NONE
121	A3	f69v	f69v.10	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_07	1	371	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «ytody» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
122	A3	f69v	f69v.11	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_08	1	372	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «okody» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
123	A3	f69v	f69v.12	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_09	1	373	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «otody» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
124	A3	f69v	f69v.13	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_10	1	374	1	0	OK+E+AL	OK	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: ansetzen + kurz + Stelle.	UNSPECIFIED	NONE
125	A3	f69v	f69v.14	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_11	1	375	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «okeod» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
126	A3	f69v	f69v.15	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_12	1	376	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «oteeys» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
127	A3	f69v	f69v.16	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_13	1	377	1	0	OT+E+OL	NONE	PARAMETER_OR_ADDRESS	Am sichtbaren Besitzer: danach + kurz + fortsetzen.	UNSPECIFIED	NONE
128	A3	f69v	f69v.17	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_14	1	378	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «ykeydy» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
129	A3	f69v	f69v.18	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_15	1	379	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «okeod» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
130	A3	f69v	f69v.19	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_16	1	380	1	0	AR+AL	NONE	PARAMETER_OR_ADDRESS	Am sichtbaren Besitzer: von dort + Stelle.	UNSPECIFIED	NONE
131	A3	f69v	f69v.20	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_17	1	381	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «saiir» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
132	A3	f69v	f69v.21	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_18	1	382	1	0	OK+OL+AR	OK	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: ansetzen + fortsetzen + von dort.	UNSPECIFIED	NONE
133	A3	f69v	f69v.22	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_19	1	383	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «ykeody» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
134	A3	f69v	f69v.23	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_20	1	384	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «sarydy» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
135	A3	f69v	f69v.24	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_21	1	385	1	0	OT+Y	NONE	PARAMETER_OR_ADDRESS	Am sichtbaren Besitzer: danach + dies.	UNSPECIFIED	NONE
136	A3	f69v	f69v.25	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_22	2	386|387	2	0	OK+EE+Y+Y	OK	OPERATIONAL_INSTRUCTION	Am sichtbaren Besitzer: länger ansetzen; dies.	UNSPECIFIED	NONE
137	A3	f69v	f69v.26	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_23	2	388|389	1	1	OK+E+Y	OK	MIXED_LOCAL_NAME_AND_OPERATION	Am sichtbaren Besitzer: kurz ansetzen; «d»[lokaler Name].	UNSPECIFIED	NONE
138	A3	f69v	f69v.27	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_24	1	390	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «okeod» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
139	A3	f69v	f69v.28	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_25	1	391	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «okodchy» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
140	A3	f69v	f69v.29	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_26	1	392	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «okeody» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
141	A3	f69v	f69v.30	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_27	1	393	0	1	NONE	NONE	LOCAL_NAME_ONLY	Kopiere die lokale Etikette «okcheys» am sichtbaren Besitzer; Wert aus dem lokalen Exemplar.	UNSPECIFIED	NONE
142	A3	f69v	f69v.31	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_28	2	394|395	1	1	O+AR	NONE	MIXED_LOCAL_NAME_AND_PARAMETER	Am sichtbaren Besitzer: Arbeitsgang + von dort; «alys»[lokaler Name].	UNSPECIFIED	NONE
